id	lemma	partOfSpeech	token	context
book.v.1	book	v	booked	Since this is the only time many Japanese are permitted to take a vacation, it is the worst time to visit Japan, since every hotel, inn, train, and even plane is booked up months in advance.
book.v.2	book	v	book	Your hotel concierge or tour desk has current schedules and can book tickets for you.
book.v.3	book	v	booked	Despite security problems at Logan (see, e.g., two local Fox 25 television investigative reports in February and April 2001, and an email in August 2001 from a former FAA special agent to the agency's leadership regarding his concerns about lax security at the airport), no evidence suggests that such issues entered into the terrorists' targeting: they simply booked heavily fueled east-to-west transcontinental flights of the large Boeing aircraft they trained to fly that were scheduled to take off at nearly the same time.
book.v.4	book	v	booked	they yeah and you go in you know and of course it's booked for months on end
book.v.5	book	v	booked	All the Eilat activities can be booked through Red Sea Sports (see Scuba Diving, below).
book.v.6	book	v	booking	Two years ago, Oprah stopped booking freak guests.
book.v.7	book	v	booked	Often reserved in part for package tours, these ships are also open to independent travelers, and staterooms can even be booked in advance overseas with such lines as Victoria Cruises.
book.v.8	book	v	booked	Unable to buy a ticket to Madrid at the height of the tourist season, Binalshibh booked a seat on a flight to Reus, near Barcelona, the next day.
book.v.9	book	v	booking	Tour operators offer any number of excursions, some more esoteric than others, with brochures and booking facilities available through your hotel or a local travel agent.
book.v.10	book	v	booked	we really lucked out because the ship we were supposed to be on developed engine trouble two days before our cruise so they said we could either cancel reschedule or take whatever was available so we took whatever was available and we left a day early and they put us up at the Cocoa Beach Hilton and the ship that was available the only uh rooms that hadn't been booked were the suites
book.v.11	book	v	booked	There is a lively theater scene in the Lake District during the summer, but many performances can be fully booked months ahead.
book.v.12	book	v	booked	Ken Bode, moderator of PBS' journalists round-table, Washington Week in Review , spelled out the case for defilement right after the story broke that big-time campaign money would get you booked overnight with Honest Abe.
book.v.13	book	v	booked	and then we kind of booked some other things on our own that was so it was sort of a piece meal thing
book.v.14	book	v	book	You can book tickets for performances on your arrival but popular acts or plays may sell out quickly.
book.v.15	book	v	booked	And did you see yesterday that Dennis Rodman said he's interested in joining the Dallas Mavericks but, quote, "his calendar is booked through this weekend"?
book.v.16	book	v	booked	"As Hurricane Floyd was coming our way, I booked a room near Atlanta, so we could get the heck out of here," the aggrieved Ms.
book.v.18	book	v	book	You can tour the house and its extensive gardens, but you must book in advance.
book.v.19	book	v	booked	uh came back out and walked around a little bit more and went home so it it's quite an interesting uh deal they don't even take reservations because they're so booked like that that uh
book.v.20	book	v	booked	Ronald Dellums routinely booked first class seats for his trips, at a cost to taxpayers of six times the basic government rate.
book.v.21	book	v	booked	Whether you have booked in advance or not, try to arrive at the plaza de toros with an hour to spare, enough time to watch the crowd and feel the tension rising.
book.v.22	book	v	book	You can book at the tourist office.
book.v.23	book	v	booked	All of our Six summer camping sessions are booked to capacity (and, truth be told, with maybe one our two extra returning campers squeezed in) and we have a waiting list of 60 children who are hoping to come if a spot should open.
