id	lemma	partOfSpeech	token	context
br-e03.snum=18	win	v	win	If our national interest lies in being able to fight and win a war rather than committing national suicide, then we must take a much more penetrating look at ballistic missiles.
br-a15.snum=18	win	v	won	Mizell has won both of his starts.
br-f17.snum=5	win	v	winning	Thus at the same time that William Henry Harrison was preparing to pacify the aborigines of Indiana Territory and winning fame at the battle of Tippecanoe, Anglo-Saxon settlement made a great leap into the center of the North American continent to the west of the American agricultural frontier.
br-p24.snum=165	win	v	win	I tell you when it's necessary to hurt in order to win - you wonn't do it.
br-a23.snum=83	win	v	won	In poultry judging, blues were won by John Nyberg of Tualatin, Anne Batchelder of Hillsboro, Jim Shaw of Hillsboro, Stephanie Shaw of Hillsboro and Lynn Robinson of Tigard.
br-a11.snum=67	win	v	winning	She was moving up to the allowance department after winning a $ 10000 claiming event.
br-a23.snum=75	win	v	won	Janet Jossy of North Plains won grand champion honors of the 4 - H sheep showman contest.
br-f25.snum=35	win	v	win	In their first two years in high school, Jewish boys in this town make strenuous exertions to win positions on the school teams.
br-e09.snum=6	win	v	winning	Monel shows improvement with each work-out and looks the makings of a good brood mare after winning her share of races.
br-a13.snum=94	win	v	won	The powerful New York Yankees won their 19th world series in a 5 - game romp over outclassed Cincinnati, crushing the Reds in a humiliating 13 - 5 barrage Monday in the loosely played finale.
br-b14.snum=105	win	v	won	Too many people were afraid if the GOP won , they'd have to spend all their time praying.
br-c17.snum=62	win	v	winning	Keys has no such objections to Metrecal, Quaker Oats's Quota and other 900-calorie milk formulas that are currently winning favor from dieters.
br-b06.snum=87	win	v	win	The Indochina struggle was a war to stay out of in 1954, when Gen. Ridgway estimated it would take a minimum of 10 to 15 divisions at the outset to win a war the French were losing.
br-g39.snum=45	win	v	won	When the troupe traveled to New York to participate in a one act play competition-and won - Mercer, instead of returning with the rest of the company in triumph, remained in New York.
br-b22.snum=73	win	v	won	The party that won used to say something about a New Frontier.
br-f08.snum=36	win	v	win	To win her favors, her husband first took an additional job, then desperately began to embezzle from his employer.
br-a14.snum=22	win	v	winning	At a ceremony in the reception room of Mayor Richardson Dilworth, the Eagles were honored for winning the championship.
br-a39.snum=30	win	v	win	Although both concede they would like to hit 60, they stick primarily to the baseball player's standard quote: "The important thing is to win the pennant''.
br-a14.snum=111	win	v	won	So he picked up a stroke with the provisional ball and won the tournament by the margin of that stroke.
br-g21.snum=43	win	v	won	In 1952, it will be remembered, the G. O. P. without positive program campaigned on the popular disillusionment with liberal leadership and won overwhelmingly.
br-b04.snum=62	win	v	won	If the party of Adenauer and Erhart, with 45 per cent of the vote, approaches the party of Willy Brandt, which won 36 per cent, the result would be a stiffening of the old resolve.
br-a15.snum=71	win	v	win	St. Louis University found a way to win a baseball game.
br-f23.snum=52	win	v	win	Fearful of inviting a military showdown with the West which they could not win , the Communists seek to undermine Western power where the nuclear might of the West is irrelevant - in backwoods guerrilla skirmishes, in mob uprisings in the streets, in parliaments, in clandestine meetings of undercover conspirators, at the United Nations, on the propaganda front, at diplomatic conferences - preferably at the highest level.
br-j58.snum=28	win	v	winning	The results of the election of 1859 found Republican candidates not only winning the offices of governor and lieutenant-governor but also obtaining the two Congressional offices from the eastern and western sections of the state.
br-a06.snum=63	win	v	win	In his only attack on the Republicans, Hughes said, "The three Republican candidates for governor are tripping over their feet for popular slogans to win the primary.
win.v.bnc.00034395	win	v	win	In this way, short-handed teams still have a chance to  win  and the match is therefore meaningful.
win.v.bnc.00048767	win	v	won	Beating the Ingham family monopoly was Michael Calvert ( Yorks ) who  won  the 16's title 76 46 75 against a tiring Richard Stamp ( Lincs ).
win.v.bnc.00047850	win	v	win	One man who would sacrifice all his prize money for the year just to  win  the Wimbledon Singles Crown that has eluded him is Ivan Lendl, and the tension clearly showed when he lost to the Canadian Grant Connell in windy, dark, and damp conditions in the Stella Artois Championship at Queen's Club.
win.v.bnc.00062758	win	v	wins	The best caption  wins  24 tins of Pedigree Chum, a big bag of Mixer, a sack of Pedigree Formula, and four packets of treats.
win.v.bnc.00064079	win	v	won	Mr Hamilton-Renwick  won  Best of Breed at Crufts in the early 1950s, with Birling Rachel, the first of the breed to attract serious interest.
win.v.bnc.00041560	win	v	won	In her letter she told him about her job, her salary and the contract she had  won  yesterday.
win.v.bnc.00016131	win	v	won	There were no teas being served and, anyway, everybody in Little Tuckett knew that either Mrs Clancy or Mrs Feather always  won  the Cake Competition.
win.v.bnc.00034611	win	v	win	It is as though the panel has developed a blind spot which does not admit the possibility that the newcomer might  win .
win.v.bnc.00059383	win	v	won	Those under 50, and over-50s who complete the traverse after the tankards have been  won , will get a signed certificate.
win.v.bnc.00074795	win	v	win	It seems that every time I come back from a big disappointment I  win .
win.v.bnc.00074845	win	v	won	Not since 1985, when he  won  a Tour de France time trial, had Vanderaerden shown such form against the clock.
win.v.bnc.00047697	win	v	win	Perhaps he thought I was the impersonator, dressed as a man, hoping to  win  his confidence and thus learn the kind of mannerisms and opinions he might reveal only in private.
win.v.bnc.00050973	win	v	won	My bandsaw competes with the radial-arm for clatters and bangs so the big router  won  with a large chamfer bit.
win.v.bnc.00048146	win	v	wins	Donna  wins  for herself a Head Electra Master racket of stiff graphite construction in the head with slightly softer flex in the shaft.
win.v.bnc.00050342	win	v	won	Neale's Happy Eater, which  won  a second prize in the three veneer category.
win.v.bnc.00048667	win	v	won	Ms Bueno, who  won  20 Grand Slam titles in an on-court career abruptly curtailed through injury in the late sixties, commented today: Tennis Interlink is an exciting new concept which will enhance our sport at many levels.
win.v.bnc.00044239	win	v	win	We also tested a sample of autistic children in the chocolate-finding task and found that they were again behaving just like the three-year-olds: going to the baited box for twenty trials, despite wanting to  win  chocolates and occasionally trying to filch them from the experimenter's bag.
win.v.bnc.00010361	win	v	won	It might have  won , I said, and you know what you think of prizes.
win.v.bnc.00005504	win	v	win	Its withers will never  win  any of the races Ronnie had been telling himself about, and he is reluctant to return from this long, defeated, dark-thoughted walk to break the bad news or his adventure to his wife and daughters.
win.v.bnc.00073800	win	v	won	The biggest rises about 12.6 per cent are being  won  in smaller companies with a turnover of less than 5m.
win.v.bnc.00063995	win	v	win	As the game progresses, owners should start to  win  the chase or the tug-of-war so, by the end of each game scenario before Fido has lost interest they are in possession of the toy, playing with it and not allowing Fido to have it.
win.v.bnc.00022750	win	v	win	The first entry drawn after the closing date which matches the judges' decision will  win .
win.v.bnc.00035475	win	v	win	It therefore follows that even if you are two points ahead at the 30 seconds' bell, the opponent can still pull these back and take the final point to  win .
win.v.bnc.00048696	win	v	win	Styled to  win  The first Slazenger clothing collection designed by Coats Viyella is action packed both in terms of styling and colour.
win.v.bnc.00060325	win	v	won	The sack  won  an award from the Design Council and comes with a number of extras including an eternal document wallet.
