id	lemma	partOfSpeech	token	context
late.j.1	late	j	late	After 30 years as a troublemaker, bully, and media hound, O'Hair vanished in late 1995 along with her son and granddaughter.
late.j.2	late	j	late	After the "Keating Five" scandal of the late 1980s (in which five senators, including John McCain, were accused of interfering with the investigation of a large donor's savings and loan), the Senate ostensibly tightened its own ethics rules to go beyond the legal requirements.
late.j.3	late	j	late	The LAT reefers the story but notes that health questions dogged the late Sen.
late.j.4	late	j	late	In the late 1950s, when I visited New York City as a boy with my parents, Radio City was still one of the obligatory tourist sites.
late.j.5	late	j	late	Chicano muralists have painted images of Guadalupe in her traditional Aztec setting on barrio walls since the late 1960s, and often other cultural symbols, such as a low-rider car, are added to emphasize the Chicano experience.
late.j.6	late	j	late	What does that say for verisimilitude in the animated film, which is the only direct descendant of the late Novel as narrative.
late.j.7	late	j	late	too serious a problem but i don't know if it was from the the the late freezes that were or the early freezes we had that caused this tree damage and you know Sperry said you know that's what happened to the Crepe Myrtles
late.j.8	late	j	late	yeah i don't think i uh i would have to say i probably didn't get to spend as much time as i would have liked to either uh however i did you know uh early on i was in the retail business and i worked late hours so i saw less of them then but then when i changed over and got into electronics industry i uh
late.j.9	late	j	late	okay yes yes i know because i know when my mother was a you know going into the work force there wasn't very many opportunities for her i guess she's in her late forties you were expected to stay home and take care of the kids and i've never faced that at all
late.j.10	late	j	late	In late 2002, LSC hired an experienced consultant to study and report on existing systems in the legal services community and make recommendations on approaches LSC could adopt.
late.j.11	late	j	late	There is the case of Victor Hugo, a poet of long ago--born in France in 1802, died in 1885--who in recent years has somehow risen ghostily from his grandiose patriot's tomb in the Pantheon to become, in our late 20 th century, the poet of the hour, so far as music goes.
late.j.12	late	j	late	He stared down the emptying hallat a few students heading to their cars,their late jobs, home.
late.j.13	late	j	late	A late painting like Christine Lerolle Embroidering (1897), with its complex weave of frames within frames, is a veritable catalog of the craftsmanlike bric-a-brac Renoir admired: the embroidery frame constructed of bamboo; William Morris wallpaper; a Japanese vase; the rough-hewed paintings of Degas and Renoir himself that the connoisseurs are inspecting in the background.
late.j.14	late	j	late	In the late 1980s, I myself had expressed hopes that intensive-supervision parole programs could protect the public and its purse.
late.j.15	late	j	late	This observation used to dismay the late Nobel laureate George Stigler: He maintained that the grand institution of matrimony is demeaned by those who can't be bothered to negotiate its details.
late.j.16	late	j	late	It was Sinatra's Pack's bad-boy behavior the late-'90s ersatz swells are celebrating, not the fine tailoring on his three-button suits.
late.j.17	late	j	late	Cook feels FDR did much less than he could have to help European refugees in the late 1930s.
late.j.18	late	j	late	but uh i do uh uh another student who i didn't know personally at Rice uh but uh it's not that small that uh large a community about a week ago uh was shot in the head with a gun yeah um he was you know going home sort of late at night after studying and uh
late.j.19	late	j	late	Journalism about Los Hermanos Penitentes has been sensationalistic, with lengthy descriptions of their Semana Santa rituals, especially when Anglo Americans migrated to New Mexico during the late nineteenth century.
late.j.20	late	j	late	Beginning in the late 1970s, Wal-Mart sought to reduce its costs by using emerging information technologies to track consumer sales at the checkout counter, monitor its inventory of goods within and across stores, and then supply its stores on an ongoing basis via highly efficient, centralized distribution methods.
late.j.21	late	j	late	The two programs in this region, the Legal Aid Society of San Diego and Inland Counties Legal Services, were relatively late in region-wide planning.
late.j.22	late	j	late	The face has an obviously simian cast--yet the creature sports a tweed coat and spectacles and parts his silver hair on the side; he bears a distinct resemblance to the late George Burns.
late.j.23	late	j	late	Nonetheless, the image from his late work that stays with you is a little picture from the Phillips Collection called Return From School After the Storm (circa 1939).
late.j.24	late	j	late	Thus the Slate mind pierces the false consciousness of late capitalism.
late.j.25	late	j	late	Beginning in the late preschool years, children can learn to program.
late.j.26	late	j	late	In the late 1990s, these extremist groups suffered major defeats by Kurdish forces.
late.j.27	late	j	late	Furthermore, the BrdU staining revealed the size and pattern of replication clusters, which are related to the general patterns of DNA replication in mammalian cell nuclei at early, mid and late S phase [ 31].
late.j.28	late	j	late	Because of the development's late break, of the early editions, only the LAT front has it, in the form of a reefer box.
late.j.29	late	j	late	Miller first heard rock in 1956 as a teen-ager, won early renown as a rock critic in the late 1960s with Rolling Stone , and was rock critic for Newsweek in the 1980s.
late.j.30	late	j	late	According to the architecture historian Peter Collins, the use of the word style to designate the architecture of a particular period or country is relatively late.
late.j.31	late	j	late	During the late 1970s the zoot suit received wide recognition and popularity with the production of a successful play by Luis Valdez.
