id	lemma	partOfSpeech	token	context
paper.n.1	paper	n	paper	The site, which will officially launch next month, is a nonpartisan "political action destination," one of a growing number of sites betting that average voters would rather rattle off an e-mail to an elected official than sign a petition, call, or actually put pen to paper.
paper.n.2	paper	n	paper	"It is significant that the United States, one of the largest producers of mines, has shown--if belatedly--a willingness to join a comprehensive framework for eliminating land mines," said the paper, wondering why such a major policy shift should have been "made public in such an unusual form."
paper.n.3	paper	n	paper	Soon afterward, mediaibc.com, a site for "media professionals," was hacked into and put out of commission for some time, the paper said.
paper.n.4	paper	n	paper	Actually, your sister's routine with the paper towels is merely one of taking precautions.
paper.n.5	paper	n	paper	The purpose of this paper is to describe these two methods for correcting corpus uterine cancer incidence rates and probabilities.
paper.n.6	paper	n	paper	One is never in danger of finding out about, say, the latest news from the Canadian prime minister in the Post . Similarly, one will never read about the latest exploits of Mr. Sean "Puffy" Combs and Miss Jennifer Lopez in the Times . Essay question: How would each paper cover it, should Mr. Sean "Puffy" Combs ever bitch-slap the Canadian prime minister?
paper.n.7	paper	n	paper	Bowman concludes his paper with some fascinating oddities.
paper.n.8	paper	n	paper	and uh we can put like regular white paper in and they've started recycling in the school systems white paper only not yellow paper or lined paper you know just the plain white paper
paper.n.9	paper	n	paper	They also protect the preferred subclasses of mail, low rates for Periodicals, classifications that are not market based, rates that do not follow costs, and a range of other practices discussed in this paper.
paper.n.10	paper	n	paper	Marcel adjusts two monitors to play continuous hardcore porn to a soundtrack of Bartok and Lygeti, and strews condoms, paper towels and Crisco cans all around the mattresses on the plastic-coated floor.
paper.n.11	paper	n	paper	The same paper said in an editorial that the summit is "not the be-all and end-all, because even if the sides sign some sort of agreement, it will not be able to reverse in one fell swoop the feeling of alienation that prevails between them."
paper.n.12	paper	n	paper	Michael Daniels, Bernie Devlin, and Kathryn Roeder of Carnegie Mellon University took the same studies on which Herrnstein and Murray based their estimate, and subjected them to a computer meta-analysis ("a powerful method of statistical analysis"-- The Bell Curve ). Their paper, which has not yet been published, says: "In brief, studies of IQ, and our reanalyses of them, suggest a narrow-sense heritability of 34 per cent and a broad-sense heritability of 46 per cent.
paper.n.13	paper	n	paper	Physicians have often raced to put pen to paper and reveal the signs and symptoms of their more illustrious deceased patients.
paper.n.14	paper	n	paper	Another AP item in the Post reports that at her weekly news conference, Janet Reno admitted she has become so confused over the computer system in her office that she has forsaken it for paper and pencil.
paper.n.15	paper	n	paper	And that's paltry besides the WP 's 4,000-word front-page effort on the same subject, to which the paper saw fit to assign 14 staffers.
paper.n.16	paper	n	paper	The LAT lead reports that President Clinton visited Capitol Hill Thursday to attend a memorial service for Lawton Chiles, a onetime Florida senator and governor, with the paper noting that Chiles' daughter made a clear reference to the impeachment trial by stressing to the senators in attendance the importance of mercy.
paper.n.17	paper	n	paper	The paper reports, for instance, that one DOD site featured the floor plan and photos of the inside of the home of the Chairman of the Joint Chiefs.
paper.n.18	paper	n	paper	Border Patrol agents were still using manual typewriters; inspectors at ports of entry were using a paper watchlist; the asylum and other benefits systems did not effectively deter fraudulent applicants.
paper.n.19	paper	n	paper	Bradley said it would cost "between $50 billion and $65 billion a year" and would be funded either "from the surplus" or "through the enormous savings that we can get through the application of technology to the medical system," such as "moving things from paper to Internet."
paper.n.20	paper	n	paper	The paper said the IRA has invited Gen.
