id	lemma	partOfSpeech	token	context
br-f25.snum=52	important	a	important	There is, to begin, an important sex difference.
br-d01.snum=27	important	a	important	Science has simply left us helpless and powerless in this important sector of our lives.
br-j52.snum=3	important	a	important	To find a place for them in their theory of knowledge would require them to revise the theory radically, and yet that theory was what they regarded as their most important discovery.
br-e26.snum=61	important	a	important	But in such an important question, we would be satisfied if the judgment were that the principal objection to the identity of forces which produce electricity and magnetism were only a difficulty, and not a thing which is contrary to it.
br-j60.snum=22	important	a	important	The railroad siding is still important - it is usually, though not always, true that long-haul shipment by rail is cheaper than trucking.
br-k09.snum=18	important	a	important	I put a lot more trust in my two legs than in the gun, because the most important thing I had learned about war was that you could run away and survive to talk about it.
br-r08.snum=48	important	a	important	Done in the modern style of a "confession'', Fink tells in exquisite detail how he came to know, and, more important , love his mother's pet salamander, Alicia.
br-j23.snum=57	important	a	important	The common ultimate values, ends and goals fostered by religion are a most important factor.
br-k28.snum=5	important	a	important	But he knew how important it was for her to keep her figure.
br-f20.snum=36	important	a	important	But as November 1924 drew close the Democratic hierarchy was sorely troubled by grapevine reports that O ' Banion was being wooed by the opposition, and was meeting and conferring with important Republicans.
br-g44.snum=41	important	a	important	When these fields are surveyed together, important patterns of relationship emerge indicating a vast community of reciprocal influence, a continuity of thought and expression including many traditions, primarily literary, religious, and philosophical, but frequently including contact with the fine arts and even, to some extent, with science.
br-j23.snum=82	important	a	important	Much of the important individual and social action has been owing to religious incentives.
br-g01.snum=49	important	a	important	Old attitudes are held more tenaciously in the Tidewater than the Piedmont; so that a line running down the length of the South marking the upper limits of tidewater would roughly divide the Old South from the new, but with, of course, important minority enclaves.
br-j05.snum=66	important	a	important	Related to micelle formation is the technologically important ability of detergent actives to congregate at oil water interfaces in such a manner that the polar ( or ionized ) end of the molecule is directed towards the aqueous phase and the hydrocarbon chain towards the oily phase.
br-b13.snum=2	important	a	important	That is why it is important to invest in comfortable, airy types of shoes.
br-j08.snum=9	important	a	important	An important operational procedure in BW for an enemy would be to create an aerosol or cloud of agent over the target area.
br-k27.snum=67	important	a	important	A bustle of sheets being smoothed and pillows being arranged indicated the fille de chambre's presence inside; they listened and suddenly a step towards the door announced another important fact.
br-g16.snum=25	important	a	important	But Aristotle kept the principle of levels and even augmented it by describing in the Poetics what kinds of character and action must be imitated if the play is to be a vehicle of serious and important human truths.
br-j32.snum=64	important	a	important	Only the assignment of the information cells is important .
