id	lemma	partOfSpeech	token	context
image.n.1	image	n	Images	Images of him with his tailored arms across the shoulders of other leaders seem reflections of genuine impulse, all the more poignant in the context of sober modern dress.
image.n.2	image	n	image	The mainstream brands base their sales pitches on descriptors such as "gentle," "plush," and "cottony softness," but although names such as Cottonelle trade on the image of cotton, the products are wood-based, whereas one relative newcomer to the market is actually made from the fluffy plant.
image.n.3	image	n	image	Glenn has spent 36 years protecting the five hours of his life he spent in space, 36 years living up to an impossibly heroic image.
image.n.4	image	n	image	Military confrontation with Iraq would instantly supplant the Lewinsky story and would convert Clinton's image from lecher to leader.
image.n.5	image	n	image	Why should Bush get credit for keeping his hands clean and preserving his above-the-fray image if, as Forbes alleges, he has achieved this by letting the RLC do his dirty work?
image.n.6	image	n	image	In the cold light of day, it's an image that's as likely to make you feel icky as nostalgic--a half-smoked fag with some cheesy lip gloss on it.
image.n.7	image	n	image	Thomason and the White House aren't talking, so I consulted my own image expert, Jackson Bain.
image.n.8	image	n	image	Yet no Clinton administration figure depends more on image than the attorney general, and none has relied so much on words and symbols as a substitute for action.
image.n.9	image	n	images	Fed a compelling diet of music and images, the consultant and the producer agree, a docile and credulous public will go for just about anything.
image.n.10	image	n	image	To start with an image of the tragic,what would have beenthis poem's end--if this morningI hadn't eaten a roll with jam I might havesaid, finally, the nightdid what night always does, it swallowedmy two friends, their arms slung around each other's waists,after I drove off chasing my highbeams.Outside their shingled walls & roof earlierand surrounded by pinewoodsthat evening my friends & I had been saying goodbyewhen one of them--the man--surprised by the baby-seat suddenly visiblein the back of the car (lit up by an interior lightas I opened the door)--he said, my friend said Jeez, they (meaning Michaela & our daughter Simone),they won't be able to go anywhere.Seeing I was as far as 150 miles from homewith the car, & my beinga potential traffic fatality,or worse (deadbeat dad, abandoner), he was right.I saw myself a moment as indispensable, happy to be needed, much likea canoe-paddling guide or gondola pilot.But my other friend--the woman--squinting at the baby-seatwith pity & amusement, she saidFor christ's sake, you might as well wear a chastity belt.And somehowthe mention of sex dragged death behind it--I meannow that I have settled(with responsibilities)my dates with this or that sexual tsunami should bea thing of the past,right?So there I was--caught between being one man or another, neither.Really, none of this is tragic.Can I be loved enough, that's my story.
image.n.11	image	n	image	Tuesday, Bush warned, "Too often, on social issues, my party has painted an image of America slouching toward Gomorrah.
image.n.12	image	n	image	When asked about the Bible's literal account of creation, as opposed to the attractive concept of divine creation, every major Republican presidential candidate--even Bauer--has squirmed, ducked, and tried to steer the discussion back to "faith," "morals," and the general idea that humans "were created in the image of God."
image.n.13	image	n	image	In fact, beneath Cagney's amoral public image there seems to have been a Norman Rockwell struggling to get out.
image.n.14	image	n	image	As a candidate, Clinton deftly balanced hints of codependency with the image of a leader in control of policy and the political process.
image.n.15	image	n	images	In this poem, he sees divine grandeur not simply in a trite vision of "nature," but in nature as human nature affects it, too: industrial images such as shaking metal foil or crushed oil embody the grandeur.
image.n.16	image	n	image	He felt the long rhinestone cigarette holder undercut his butch image.
image.n.17	image	n	image	But by hiring a PR firm to manage his image, wooing reporters with occasional jokes, and bonding with Prime Minister Tony Blair, Charles has staged an astounding revival.
image.n.18	image	n	image	So the shift in the image of Gates has been an interesting one for me to watch.
image.n.19	image	n	image	And, since rock's into defining moments, perhaps we can agree that, if July 9, 1955, is Year Zero, then the day David Bowie became the Man Who Sold Himself--for a rock 'n' roller's only inventory is his image and his songs--is Year Zero-Zero-Zero-Zero-Zero-Zero--the $55 million day rock 'n' roll finally gave up on revolution.
image.n.20	image	n	image	This is how class works in America: a shared imagery of taste and behavior; a stark inequality of material, educational, and social means in measuring up to the image of how you ought to be.
image.n.21	image	n	image	well i didn't really hate him or anything but i think the image of the team as a whole just had a real dark image and he he wanted to make these you know the uh
image.n.22	image	n	image	In George W.'s case, it's part of his jovial laid-back image.
image.n.23	image	n	image	I believe the most unsettling image currently extant in popular culture is that of Bob Dole under the influence of Viagra.
image.n.24	image	n	images	Hugo's drawings, many of them abstract images presaging the work of the 20 th century painters Jean Dubuffet and Franz Kline, are "one of the most striking testimonies to the power of the unconscious in all Western art" (Robert Hughes, Time ). (In
image.n.25	image	n	image	And is the wholesome image of Annette Funicello spoiled for Italian mouseketeers who know about the tormento dei funicelli , or torture of the packthreads, in which 15th-century Neopolitans painfully lashed together the wrists and forearms of their prisoners?
image.n.26	image	n	image	In his early villas, Le Corbusier used white-painted pipe railings to create a nautical image; in later buildings like the Carpenter Center for the Visual Arts at Harvard, flat steel bars take the place of pipes.
image.n.27	image	n	image	Throughout the years the image of Zozobra changed from a simple twenty-foot puppet to the elaborate forty-foot figure with animated eyes, arms, and mouth that he is today.
image.n.28	image	n	images	They fashion tools and fashion pictorial representations with perspective, use of pigment for line, shading, juxtaposition of images in complicated interactions and with both sympathetic magic and delight in the world and their own skill.
image.n.29	image	n	images	The images we see or hear described in the movie are vaguely countercultural (a Santa-with-an-erection cartoon), not sick ( Hustler 's real-life jokes about Betty Ford's mastectomy); they are soft-core (centerfold-style nudes), not hard-core (the pictorial of a woman gagged and bound on the top of a car).
image.n.30	image	n	image	In an area stretching from the permanently traffic-jammed Piazza Dante, between Via San Biagio dei Librai and Via Tribunali and over to the Porta Capuana, the popular image of old Naples survives.
image.n.31	image	n	images	Although by age 4 children know that not all TV programming is real, they judge TV reality according to whether the images resemble people and objects in everyday life.
image.n.32	image	n	image	It is the consensus of mnemonists that the more bizarre, sharp, or humorous the image, the more effective the mnemonic.
image.n.33	image	n	image	The painting depicts the favor or miracle that occurred, the holy image or saint responsible for the miracle, and a short text that describes what occurred, including the location and date of the event.
image.n.34	image	n	image	exactly it's puts puts forth a better image it's uh my company doesn't usually have casual days we had our first one in four at least since i've been there which is four years not too long ago and i didn't feel comfortable dressing like many people came in like warm ups and no and i
image.n.35	image	n	image	The category theory image is at least a start with respect to catalytic closure.
image.n.36	image	n	image	The focus of that image turns out to have been the focus of the other images as well: the meaty knuckle of Stalin's left middle finger, weighing on the table with a force of tons.
image.n.37	image	n	images	In one place he shows how the rhetorical shape of a passage in Gibbon's Decline and Fall of the Roman Empire , with its paired images and a ribbing of parallel verbs, finds a visual counterpoint in works of landscape design and even dance notation.
image.n.38	image	n	images	Dolphins and fish are popular themes, as are stylized images of Greek gods.
