id	lemma	partOfSpeech	token	context
help.v.1	help	v	helped	The trouble is that Stephanopoulos himself helped propagate those lies in the first place.
help.v.2	help	v	helped	But the International Herald Tribune reported, with apparent surprise, that the euro, which Strauss-Kahn helped bring into being in January, has hardly moved on the foreign exchange markets.
help.v.3	help	v	help	He's a "salesman" who can help Microsoft by focusing on customers.
help.v.4	help	v	help	HDZ seems to be trying to time his death for maximal electoral benefit, hoping to generate a swell of patriotic sympathy that will help the party on election day.
help.v.5	help	v	help	In a short column, George Bush exhorts all Americans to help needier folks.
help.v.6	help	v	help	We hope that you will consider a personal gift to help us reach as many of our young people as possible.
help.v.7	help	v	helped	That's ironic, since I think it was just that insularity that helped them, much in the same way that AOL has benefited from being in the Virginia suburbs rather than in Silicon Valley.
help.v.8	help	v	help	The following passage will help to explain the slightly off-putting title and will impart to the reader a sample of the author's humor, which I find engaging:
help.v.9	help	v	help	in thinking that that it's we're not doing a good job at fighting the war you know in in trying to crack down on people that are using drugs maybe legalizing them and and trying to help those that you know having the resources there to help someone um would be a better idea but and and i agreed with him somewhat i could see his point but uh Switzerland opened up a um uh a park
help.v.10	help	v	help	yeah i chose a good job so i don't have to help when is it due July
help.v.11	help	v	help	there are other areas that would be better suited that surprised me because i think we have a tremendous amount of um sunny days and and it yes it can be used and it can help but uh that was a problem that they were still
help.v.12	help	v	help	so far we've always had refunds we you know have we have three children and that seems to really help and we probably don't make enough right now so
help.v.13	help	v	help	We also invent philosophies, psychologies and religions that help transcend the blame and depression that are reactions to the inadequacy of the human brain.
help.v.14	help	v	helping	oh i would imagine helping them feel good about themselves they're at a bad stage anyway and then to have to deal with sexual abuse would be terrible as a teen
help.v.15	help	v	helps	PBS or whatever i mean even some regular network TV is okay if the parents there and you know helps the students or help the the kids understand that yeah this that happened in the TV show but probably doesn't happen in real life
help.v.16	help	v	help	in that other you know uh that i should do it or that or just to think about doing it rat her than having someone tell him to do it i know that was a big thing in our house for a long time was that if i wanted my husband to do something to help
help.v.17	help	v	helped	that's helped me a lot with having i can only have a a limited wardrobe since i'm only working part-time right now um but still it gives it some variety add different blouses and scarves and belts and things like that
help.v.18	help	v	helps	The press material for the movie talks of Harrer's "emotional transformation" and then says that the Stern piece helps us understand the "extent" of this transformation.
help.v.19	help	v	helped	I helped my clients swallow up competitors so they could add more zeros to the bottom line, and for this I would become rich.
help.v.20	help	v	help	In 1995, a combination of two drugs, fenfluramine and phentermine--fen-phen--was shown to suppress appetite enough to help the severely obese lose an average of 24 pounds after two years.
help.v.21	help	v	help	Your trust and love will help me through this."
help.v.22	help	v	helps	XP Apparel "helps people of all ages meet Christ's challenge by providing clothing that helps them share their faith."
help.v.23	help	v	help	In part as a response to worldwide criticism of this position, says the Post , President Clinton announced, after months of refusing to have a high-level presence at the meetings, that he is sending Al Gore to Kyoto to help forge an international greenhouse gas agreement.
help.v.24	help	v	helps	Vygotsky maintained that in detaching symbols from objects and actions, make-believe play helps children use thought to choose deliberately among alternative courses of behavior.
help.v.25	help	v	help	I wonder if rich ladies' self-actualization provides a useful model for legislation to help poor women.
help.v.26	help	v	helping	The paper is to be applauded for closing the story with phone numbers for donors to call--a nice change from the tendency news sections too often exhibit of viewing the guise of objectivity as more important than actually helping somebody.
help.v.27	help	v	help	The Washington Post leads with a lengthy article on the reasons--stated and unstated--that U.S. special forces help train foreign troops, even in countries under U.S. sanctions.
help.v.28	help	v	help	If there were a package of interventions that providers could document and be reimbursed for, that would ease acceptance by practitioners and help institutionalize these new practices.
help.v.29	help	v	helps	Slowly, Web sites are emerging to serve them: Divorcelawinfo.com helps people educate themselves about divorce; MyCounsel.com is aimed at small businesses, and there are many others, including Nolo.com, which helps people help themselves, without a lawyer.
help.v.30	help	v	helping	One reason he was traveling around East Asia at this time is that he was helping to plan possible hijackings on aircraft in connection with an early idea for what would become the 9/11 plot.
help.v.31	help	v	helped	In other words: 1) a Democratic donor helped China, possibly in violation of the law; 2) this imperiled U.S. national security; but 3) Clinton "quietly" let the donor off the hook.
help.v.32	help	v	help	The Vietnam angle doesn't just help McCain.
help.v.33	help	v	help	His article follows the launch of a British advertising campaign by Monsanto, the U.S.-based biotechnology company, arguing that such crops will help consumers and the environment.
help.v.34	help	v	helped	Flip side: The media gets credit for giving a platform to bulls like Goldman Sachs market strategist Abby Joseph Cohen, "our spiritual guide," whose recommendations "helped the market change direction" ( U.S.
help.v.35	help	v	help	That's exactly what drives some of us crazy about that character--that he has no autonomous existence, that he's there solely to help "process" white pain.
help.v.36	help	v	help	The Democrats said the bill would help only 1 percent of the population, and President Clinton threatened to veto it in its present form.
help.v.37	help	v	helping	You've been at it a long time, so you're in a good position to judge whether they're helping or hurting in the trenches.
help.v.38	help	v	help	But what with even more high-powered game systems arriving next year from Sony and Nintendo, Sega can't rely on technology alone, although word of mouth should help sell a lot of the consoles.
help.v.39	help	v	help	i can remember lifting a patient all by myself simply because there was not another person to help it's either let leave the patient in bed all day long or get them up and i would have preferred to get them up than than to leave them in bed all day but uh um so i think nursing homes are have changed i'm not quite sure but hopefully they have
help.v.40	help	v	help	my daughter's like mommy can i help you with the laundry of course you can absolutely yeah
help.v.41	help	v	helps	It's irritating in its generalities and sometimes too affectless, but it helps.
help.v.43	help	v	help	uh-huh uh-huh uh-huh i i just i just don't feel that uh a stronger restrictions is going to stop a person who really wants to have one for misuse i really don't personally feel that it's going to help
help.v.44	help	v	helped	try to give them some aid i mean we helped the Afghanistanis there's know reason why we shouldn't have helped the Kurds it didn't have to involve troops could have just given them uh you know supplies
help.v.45	help	v	helping	and just have them take it but then who's helping them
help.v.46	help	v	help	boring and they really don't help you a whole lot now see i went to ET and i took one course through TWU
help.v.47	help	v	helped	Over the past quarter century, LSC has helped millions of low-income citizens solve important, sometimes life-threatening, legal problems.
help.v.48	help	v	helps	But in addition to A, B,C, and D each replicating individually, A helps B replicate, B helps C replicate, C helps D replicate, and D helps A replicate.
help.v.49	help	v	helps	For the poorest kids, the state-run insurance program Medicaid helps.
help.v.50	help	v	help	This one can give readers pleasure and amusement, and also help them understand a little better the world we live in.
help.v.51	help	v	helping	Watts has succeeded in helping his district and state--saving an Air Force base from closure and winning $90 million for a new cross-town bridge in Oklahoma City in exchange for his vote for the transportation bill.
help.v.52	help	v	help	But money does help, and any practical politician comes to realize that betraying the public interest on small issues involves little political cost, because voters lack the individual incentive to notice.
help.v.53	help	v	help	The metaphor of a scaffold, discussed in Chapter 2, is an excellent guide for how to help your child with homework.
help.v.54	help	v	help	On another front, I have to insist that better, clearer, more rigorous numbers would help books more than they'd hurt them.
help.v.55	help	v	help	The blood or breath alcohol concentration (BAC), coupled with our clinical observations, may help us identify intoxication.
help.v.56	help	v	helped	There were a lot of Duke Power people who lived down here so, I think that kind of helped us a little bit, but, oh, my worse, I kept putting off the laundry, kept putting off the laundry and I said, "I can't take it anymore!"
help.v.57	help	v	help	She expects the Web sites will help promote smaller legal aid providers among the general legal community, which will help attract more volunteer attorneys.
help.v.58	help	v	helped	Though he took part in at least one actual battle, he became known chiefly as a person who generously helped fund the anti-Soviet jihad.
help.v.59	help	v	helping	3) He hid the problem so it wouldn't stop him from helping U.S. companies sell technology to China under the guise of constructive engagement.
help.v.60	help	v	helping	Schreiber allegedly got the kickbacks for helping sell Airbus planes to Canadian and Thai airlines.
help.v.61	help	v	help	Update on the campaign-finance hearings : Johnny Chung told the Los Angeles Times that the $50,000 check he handed to Hillary Clinton's chief of staff at the White House had been solicited by Mrs. Clinton's staff, explicitly to help pay for White House Christmas parties billed to the Democratic National Committee.
help.v.62	help	v	help	A piece on Bosnia says there is a teensy, tiny bit of hope that new economic laws will help unify the three feuding ethnic groups.
help.v.63	help	v	help	Alumni gifts will be used for student programs and to help support the MHA Alumni Program goals.
help.v.64	help	v	helps	Yet I think Morris' technique can be defended if it helps us understand Reagan better.
help.v.65	help	v	help	Companies offer dark, quiet nap rooms, reasoning that midday naps help workers maintain focus.
help.v.67	help	v	help	yeah oh okay yep and you don't want them sent off to the Middle East to help defend Bush from Saddam after Bush gets done arming him
help.v.68	help	v	helps	yeah it helps to know your neighbors you know they give you you're supposed to make lists of um cars like i know a lot of my neighbors right around my development if i see a car that's unfamiliar we we have a list is that what you you did in your program where you have a list of license plates yeah
help.v.69	help	v	helped	i'm sure that we can say it helped the uh enemy rate of Kuwait um and uh sure it shook a people a few people up in Iraq but
help.v.70	help	v	helps	well he recommends that you don't um or he helps he recommends that you you get them down we we've never been real big credit card users and we always pay it off um
help.v.71	help	v	help	oh you bet well i don't know it seems like Rolando Blackman and and Harper sort of carry the team they just i don't know if i'm afraid to say that's probably who they need to trade to get someone in there good but and that can really help the team but they do that they trade the nucleus of their power right now
help.v.72	help	v	helped	and uh so you know it helped him and and the first one uh he went to a uh church preschool that was very good the Methodist Church in Richardson the big one and it was a excellent they very good it
help.v.73	help	v	helped	To be sure, technological advances in communication and transportation have helped supply channels operate more effectively and efficiently in providing diverse goods.
help.v.74	help	v	help	You ask someone to show you how to return or you pray to God or Buddhas to help you, but you still can't get home.
help.v.75	help	v	help	now we've i work with a spreadsheet at work i do bank recs on it yeah they are neat they're scary at first but they are neat and you need to be teaching your kids that stuff because it'll really help them
help.v.76	help	v	help	of the effects uh you know whether it was justified or not i know that they probably felt like we were going in for a good cause i i feel like maybe they felt like we were doing the right thing to try and help maintain the democracy over there and and beat the communism but
help.v.78	help	v	help	Without attributing consciousness to an E. coli, or an autonomous agent we may create in the near future, I cannot help but feel that the rudiments of value are present once autonomous agents are around.
help.v.79	help	v	help	When I spoke with Leonard Garment, then the president's counsel, he said the president was in trouble and asked whether we couldn't have some kind of economic spectacular to help bolster his public support.
help.v.80	help	v	help	b) You can deposit the coins in the bottle near the cash register, where they will be collected to help the needy.
help.v.81	help	v	helped	In fact, as director of the National Center on Child Abuse and Neglect in the mid-1970s, I helped design the study in the first place--long before either Sedlak or Broadhurst were involved.
help.v.82	help	v	help	The plot is by the numbers, and you can't help but notice that Chan has more stunt doubles these days, but the movie has been photographed (by veteran Adam Greenberg) and staged (by director Brett Ratner) with unusual polish, and Chan has been paired with the black comedian Chris Tucker, who's like Eddie Murphy on helium.
help.v.83	help	v	help	Failing to target its pitches--neglecting to emphasize that psychics can help you win, or at least tell you you're going to win large sums of money or find that woman of your dreams--was certainly Psychic Friends' first big mistake.
help.v.84	help	v	helped	The newswoman helped arrange a larger apartment and psychiatric care for the family.
help.v.85	help	v	help	They're doing it--mastering hockey, and every conceivable other sport--to promote "growth," "teamwork," "physical fitness," "well-roundedness," "character," and other qualities that may be desirable in a doctor but don't, as a practical matter, help you get into medical school.
help.v.86	help	v	helping	But when that behavior is in some small way helping to keep young blacks trapped in poverty, defending it is not the liberal thing to do.
help.v.87	help	v	help	As is so often the case, a seemingly compassionate government regulation--enacted with the best of intentions--has the effect of hurting the very people it was intended to help.
help.v.88	help	v	helped	(Some particularly enthusiastic, daft Sinatra fans credit him with Kennedy's 1960 election victory, claiming that Sinatra helped line up the Mob behind JFK.)
help.v.89	help	v	helps	By introducing fantasy elements into consciousness, this inventive private commentary probably helps us cope with the mundane, repetitive aspects of our daily lives.
help.v.90	help	v	help	He speculated that if many dependent patients can have spontaneous remissions, then research on whether brief interventions could help them seems warranted.
help.v.91	help	v	helped	Ramzi Yousef and Khalid Sheikh Mohammed masterminded the 1995 Manila air plot, and KSM helped fund Yousef 's attempt to blow up the World Trade Center in 1993.
help.v.92	help	v	helped	2) The book "is patchwork, a grab bag of speeches he gave, the great and the near-great he met, causes he could not refuse to get involved in, conferences he helped to organize, ideological battles he fought" instead of a linear narrative (Lehmann-Haupt).
help.v.93	help	v	helped	This approach helped to overcome potential problems originating from low PCR amplification and allowed us to select probes with a high specificity, thereby minimizing potential cross-hybridization.
help.v.94	help	v	help	Advocates of women's rights think the ruling will help defeat the practice elsewhere, because Muslim countries regard Egypt as an authority on Islam.
help.v.95	help	v	help	50 provides 10 hours of services to a child aged 3-5 to help her or him overcome a learning disability.
help.v.96	help	v	help	In other words, Western European nations, devastated by World War II, wanted the United States to help defend them against Soviet aggression, and wanted German militarism to be merged into joint security arrangements.
help.v.97	help	v	Help	"I would take an expression in the Oval Office of 'Dear God, Help Me,' " Bush responded.
help.v.98	help	v	help	"Choice may not be the panacea for all our nation's education ills," he said in a speech on the Senate floor, "but we cannot afford not to take an honest look at whether more options would help kids who today are trapped in the worst schools in our poorest areas."
help.v.99	help	v	help	The data should be plotted, both as a preliminary step to help detect problems and unsuspected trends or patterns in the responses, and as an aid in interpretation of the results.
