id	lemma	partOfSpeech	token	context
become.v.1	become	v	become	It's no wonder that Wolf has become a well-paid political consultant.
become.v.2	become	v	becoming	Analysts speculate Kaiser's decision will accelerate a race by insurers to avoid becoming havens for impotent men.
become.v.3	become	v	became	Lake has two problems: 1) his (inadvertent, he says) failure to sell some energy stocks in 1993, when he became national security adviser; and 2) Republican alarm that he might be a dangerous lefty, based on his 1970 resignation from the National Security Council over Nixon's invasion of Cambodia, and on his more recent refusal to confirm that Alger Hiss was a staff Soviet spy.
become.v.4	become	v	became	John Longhouser , head of the Aberdeen Proving Ground, retired after an affair he had had five years ago became public knowledge.
become.v.5	become	v	become	, have become such tasteless parodies of politicians that I was doubting whether I could pull the lever for Hill.
become.v.6	become	v	become	In any case, there certainly is no lack of information available about the moguls of technology now as they all become our current pop icons.
become.v.7	become	v	become	With a 50 percent divorce rate in America and 3 out of 10 households run by a single parent (three times as many as two decades ago), Once and Again seems poised to become for joint custody what Thirtysomething was for yuppie angst.
become.v.8	become	v	become	The WTO's advocates, belatedly realizing that it has become a political target, are beginning to counter the principal spins against the organization.
become.v.9	become	v	become	With most plants needing to install control equipment to meet these requirements, it is likely that this approach would lead to installation of controls that become obsolete and stranded capital investments as additional requirements are promulgated.
become.v.10	become	v	became	It was when I was a high-school student that I became convinced of this fact for the first time.
become.v.11	become	v	became	As he was an author and a public figure who corresponded with a wide circle of literary and artistic friends throughout Europe, the Gothic design of Strawberry Hill became famous among connoisseurs.
become.v.12	become	v	becomes	and in thirty years it becomes pretty critical i mean my um brother-in-law is like um i mean he's sixty he's not ready to retire but his company is is closing is um is uh closing up
become.v.13	become	v	became	well we in in in our family have been pretty remiss in trying to uh you know keep track of uh daily finances uh the uh way way back what twelve years ago or something when i got my first computer i did what everybody else does which is to put the whole family budget on the machine and put checks and you know checkbooks and all those kind of thing and we kept that going for about a month and it became so onerous that we gave up on it
become.v.14	become	v	became	In this way pachuquesmo, a Mexican subculture, became known throughout the Southwest.
become.v.15	become	v	become	Speed of delivery has increasingly become part of the competitive equation.
become.v.16	become	v	becomes	Hang around any schoolyard in Germany or college campus in Indonesia and it becomes clear that the recording industry's problems with the illegal online distribution of music in the United States pale beside the rampant piracy that goes on overseas.
become.v.17	become	v	becoming	well and don't you think that you do see more women who are um becoming part of middle management
become.v.18	become	v	become	yeah and they should give every teacher a a hundred percent raise that that's the problem is the teachers don't get enough money and anybody who could be a good teacher doesn't want to become a teacher usually because they don't pay enough i mean when i was in college i did a lot of teaching uh for my degree and uh i got a lot of good out of that and i liked teaching but i really couldn't go into teaching because it was not economically feasible for me to do so
become.v.19	become	v	became	However clear and meaningful the definition of a case may have been in the past, it became evident the definition had not kept pace with the changes in the service delivery systems.
become.v.20	become	v	becoming	But if the recipient is an autonomous agent such as a bacterium and the incoming molecule is a symbol-sign of a paramecium or an amoeba on the roam and the bacterium swims away and avoids becoming dinner, that sequence of events seems laden with semantics.
become.v.21	become	v	became	To make a long story short, she has lied about multiple things since I became friends with her.
become.v.22	become	v	became	And although we did not until now think of this secular prayer as the preamble to a new order of nationhood, equality, and democracy, that is what they became.
become.v.23	become	v	becomes	Someone will have a great incentive to sell speedy access, as free access becomes slower, and find a way to do it.
become.v.24	become	v	become	Most are simply battle-fatigued and judgment-impaired, trapped in what has become a journalistic dead end, an untenable profession.
become.v.25	become	v	became	Anything with a hint of swollen bud became my prey.
become.v.26	become	v	become	What contemporary travel needs to become truly convenient are updated versions of Homeric households.
become.v.27	become	v	became	The better known he became, the more he burrowed into Cookham backyards and bedrooms.
become.v.28	become	v	become	Meanwhile, La Brea (the blocks between Wilshire and Melrose) and Beverly Boulevard (between La Brea and Curson) have become destinations for the stylish locals who are too old for Melrose fashion and too hip for Rodeo.
become.v.29	become	v	become	Since then, a mass of apartment blocks and hotels has sprung up and the town has become known as an international fun city.
become.v.30	become	v	became	Lockheed's reputation was really made during World War II, when the company built both the C-69 Constellation transport (which became the standard for civil airlines in the immediate post-war period) and, more impressively, the P-38 Lightning fighter.
become.v.31	become	v	became	Wright's successful petition to Clinton for a better grade became, in Dan Rather's words, an illustration of her "long, often unfriendly, history with Bill Clinton."
become.v.32	become	v	becomes	A 7-year-old Queens, N.Y., boy is charged with sexual harassment and suspended from the second grade for kissing a female classmate; within a week, his picture is on the front page of the New York Times . A similar incident involving a 6-year-old schoolboy in North Carolina becomes a national scandal.
become.v.33	become	v	becomes	But he then becomes a contestant, competing with the more successful guests.
become.v.34	become	v	become	It quoted a lawyer "familiar with the negotiations" as saying there was a Secret Service agent who had seen Clinton and Lewinsky in a "compromising situation" and that he had become a government witness.
become.v.35	become	v	become	And an astonishing number of them are already engaged in all-but-official campaigns, desperate quests to become an "early favorite."
become.v.36	become	v	become	(His friends have boasted that without Milliken, Ronald Reagan would not have become president.)
become.v.37	become	v	became	He did well in school and became enthusiastically involved in several activities.
