id	lemma	partOfSpeech	token	context
new.j.1	new	j	new	"We believe [the stocks] offer a sound way to play the fundamental strength and renewed investor enthusiasm we expect to see during the fall and holiday shopping season," he wrote, arguing in essence that places like Amazon and eToys could expect to see booming business at Christmas, while portals like Yahoo would reap the benefits of all the new online shoppers, most of whom would pass through a portal to get to the e-commerce sites.
new.j.2	new	j	new	The LAT goes with Jakarta student street riots over a just-passed bill that has raised fears of a coup because it bestows new emergency powers on the Indonesian military.
new.j.3	new	j	new	The new commitments will double the number of peacekeepers in the field.
new.j.4	new	j	new	But if you think of her as representing a whole new style, a generous style, a kind of post-narcissism, she looks pretty great.
new.j.5	new	j	new	But will new enthusiasms arise once again, and if so, from where?
new.j.6	new	j	new	Also, a story says the Promise Keepers exemplify the right's new strategy: Out-emote Bill Clinton.
new.j.7	new	j	new	Less predictably, conservatives admit to attending her performance multiple times: "If new material has been added since her first chocolate-smeared headlines, it's not really apparent" (John Leo, U.S.
new.j.8	new	j	new	4) The main characters will get out of jail and launch new shows to rake in new jackpots.
new.j.9	new	j	new	It is a city to which people migrate from all over Spain in search of new opportunities; a place where few people can claim any deep roots.
new.j.10	new	j	new	Mayan astronomers tracked the movements of the heavenly bodies, predicting eclipses and marking the times for the planting of the new corn.
new.j.11	new	j	new	The report says: "Our clerks or our new technology read your handwriting, no matter how 'creative' it might be."
new.j.12	new	j	new	Crossing the Quality Chasm: A new health system for the 21st century.
new.j.13	new	j	new	To accommodate the C couplings, each gene in the frog looks at K + C inputs and has its table of random fitness contributions augmented with new random decimals.
new.j.14	new	j	new	What this means is that the revenue from any new taxes on pollution could be used to reduce other taxes, such as Social Security contributions or the income tax (but not, of course, the capital-gains tax).
new.j.15	new	j	new	Shopping in the new boot-hut-cum-theme-park is daunting, a little like leaving the roadside chapel for Robert Schuller's Crystal Cathedral.
new.j.16	new	j	new	Over nearly every new person's image came Lehrman's voice, giving that person's name, his psychoanalytic credential, and then where he ended up: Israel, America, or--the camps.
new.j.17	new	j	new	LSC President John McKay spoke at the 2001 Conference in celebration of the new statewide program and recognition of the importance of developing state justice communities.
new.j.18	new	j	new	Amtrak would like our Commuter Customers to help us find some new slogans."
new.j.19	new	j	new	No, wait, sorry--I was thinking of Trump buying a new supermodel, but it probably holds for this AOL thing."
new.j.20	new	j	new	i've heard a lot of really uh good thing from human factor people about the way that they you know the the the bridge of the new enterprise
new.j.21	new	j	new	A detailed investigation produced a list of new procedures that would become customary for forces deployed abroad.
new.j.22	new	j	new	The Commission believes that the new rule will benefit investors because the publication of trading interest at prices that improve specialists' and market makers' quotes presents investors with improved execution opportunities and improved access to best prices when they buy or sell securities.
new.j.23	new	j	new	The chief idea here is to highlight the tension between old and new, between the traditional clapboarded architecture and the demands of modern life.
new.j.24	new	j	new	At the most, we had a vague commitment to the new idea of democracy for the entire nation of Americans.
new.j.25	new	j	new	um-hum yeah when we moved into our house i just hated the bushes they had and i i ripped most of them out and put them somewhere in the back and put new ones out front but that was a lot of work took me a long time
new.j.26	new	j	new	But, in 1788, Captain Arthur Phillip landed at Botany Bay (near the present Sydney) with a mixed party of convicts and their military custodians and sought to use what little knowledge had been passed on to him of the indigenous inhabitants, their language, and the new land's flora and fauna.
new.j.27	new	j	new	and uh and it was new carpeting and you know it just just really you know upset me no end and uh
new.j.28	new	j	new	Comart said a new video-conferencing feature allows those at domestic violence shelters to get legal help without going to court.
new.j.29	new	j	new	The Clear Skies Act of 2002 extends and reorganizes Title IV of the Clean Air Act to establish new cap-and-trade programs requiring reductions of sulfur dioxide, nitrogen oxides, and mercury emissions from electric generating facilities.
new.j.30	new	j	new	Lott favored a streamlined trial for Clinton, but what's new today are some of his details.
new.j.31	new	j	new	The name designers generally create fashion directions and the next tier of designers fill out the new directions into many levels and for many items of apparel.
new.j.32	new	j	new	Everybody points out that what makes the move odd is that Chernomyrdin already had the job for five years until last March, when Yeltsin let him go, in part because in the NYT 's words, "a new young team was needed."
new.j.33	new	j	new	As had been tipped in earlier press accounts, the papers report that the majority counsel David Schippers outlined 15 possible grounds for impeachment, which augmented Ken Starr's list with new charges of conspiracy to obstruct justice and concealing knowledge of false testimony, replaced talk of perjury with talk of making false statements, and dropped talk of abuse of power.
new.j.34	new	j	new	Also, the Post says that the deal calls for China to "curb," and the Times says it calls for China to "abandon," its Iran nuke program, but the WSJ explains that China agreed merely not to engage in any "new" cooperative programs with Iran, but will be completing two projects already underway there.
new.j.35	new	j	new	The new French stance is also Page One at the LAT . Meanwhile, fully half of the NYT op-ed page is given over to calls for action against Saddam.
new.j.36	new	j	new	President Clinton said he looked forward to Barak's first U.S. visit like "a kid with a new toy," but CNN predicted that Clinton would refrain from pressuring Barak into immediate action.
new.j.37	new	j	new	And if many taxpayers are married, any new tax will be levied in part on them.
new.j.38	new	j	new	But Baker was on shakier ground in his 1996 article attacking the new, post-Gutenberg era San Francisco public library for emphasizing electronic research at the expense of old books.
new.j.39	new	j	new	But two new biographies argue that while the outline of Austen's life is pretty much what we thought, posterity has colored it in all wrong, and Austen's own relatives are largely to blame.
new.j.40	new	j	new	What the new generation embraces is the past, a godly past hedged in by community and ritual that will one day perhaps--or so they dream--be restored.
new.j.41	new	j	new	The show advances no bold new perspective on van Gogh, nor does it seek to synthesize recent thinking on him, of which, it should be said, there isn't much.
new.j.42	new	j	new	Signs were prepared that advertised the new center, its hours, and what it would pay for various goods.
new.j.43	new	j	new	First, the new Flytrap motto, brought to you by kindly inquisitor Sen.
new.j.44	new	j	new	Intel's success under Grove, though, should give pause to advocates of this free-floating, no-manager, no-employee, just-free-agents new economy we're supposedly living in.
new.j.45	new	j	new	And to think that Brewster Kahle thought he was just solving a problem by starting the Internet Archive, and not introducing lots of new ones.
new.j.46	new	j	new	The Washington Times could hardly contain its excitement: "A former FBI agent assigned to the White House describes in a new book how President Clinton slips past his Secret Service detail in the dead of night, hides under a blanket in the back of a dark-colored sedan, and trysts with a woman, possibly a celebrity, at the JW Marriott Hotel in downtown Washington."
new.j.47	new	j	new	Because the FEC adds new rules after each election cycle, the complexity and costs of reporting continue to mushroom.
new.j.48	new	j	new	The court decided to suspend an injunction preventing new students from joining the program.
new.j.49	new	j	new	A new USAT -CNN-Gallup poll shows Al Gore trailing Bush by nine points, 52 to 43--a big improvement over Gore's 16-point deficit earlier this month.
new.j.50	new	j	new	Dung has a whole new meaning in the context of the sardonic primitivism, the parodic putti-cum-naked-models, the way the entire picture functions both as an homage to and an ironic commentary on the Western cult of the Madonna and its role in African culture.
new.j.51	new	j	new	Also, the paper says, a new industry ad campaign will, unlike previously adversarial spots, be conciliatory on the subject.
new.j.52	new	j	new	it just and it makes me sick to go to school and know people who just that's all they do is like go out and you know try to go find a new guy or something it's just so immature and oh just futile you know
new.j.53	new	j	new	well i love it we uh got a new baby in the house and and and she just turned a year old so it just kind of put the clamp on things um
new.j.54	new	j	new	i would imagine i would imagine that if i change or if i get another car a new car i will go with the Taurus or something similar uh in that regard
new.j.55	new	j	new	"Their loss of control has been jarring to our traditional media and political organizations, who had sat astride a tight monopoly over politics and news," Katz writes in Virtuous Reality . "They fought back and have been fighting ever since, complaining that these new interactive media are dangerous and destructive of public discourse.
new.j.56	new	j	new	An article says women are the new locker-room braggarts.
new.j.57	new	j	new	The piece does reveal a few sickening new details, notably a tape recording in which Flynt allegedly admits telling his 13-year-old daughter to strip so he could look at her naked.
new.j.58	new	j	new	Analysts lamented that the atmosphere of new hope created by Blair's election has been ruined.
new.j.59	new	j	new	Others say the novel rambles: "As with a bright child brought down to entertain the guests, you begin to wonder when it will be bath time" (Richard Eder, the Los Angeles Times ). They also note the new novel's fortuitous publication date: The rumor that Monica Lewinsky bought Baker's 1992 phone-sex novel Vox for President Clinton has upped that book's sales 200 percent.
new.j.60	new	j	new	The narrator gets the last word: "Elliott Close, a new conservative senator for South Carolina."
new.j.61	new	j	new	Although new leisure pursuits are drawing visitors to the Balearics, the primary aim of most summer visitors still revolves around sun and, most of all, water.
new.j.62	new	j	new	Some might even have a special club where children can make new friends and spend the whole day in pursuit of such activities as face painting.
new.j.63	new	j	new	Translational studies will help in the adaptation of interventions in emergency medicine practice, but interventions evolve over time, and new methods are developed and tested.
new.j.64	new	j	new	i i feel the same thing pets are uh they add a new dimension they they give you something to think about when you're kind of tired or blue or something like that and uh they get you to think about something other than yourself
new.j.65	new	j	new	Where did all this come from, this measuring of useful displacements from equilibrium from which work can be extracted, the devices coupling to such measurements, and the extraction of work used to build up new kinds of devices that measure new kinds of displacements from equilibrium to extract work in new ways?
new.j.66	new	j	new	But the new story is much more interesting than the old one.
new.j.67	new	j	new	From there the processing must actively combine memories, previous categorizations and new data through neural connections.
new.j.68	new	j	new	Slate uncorks a gusher of new editorial features this week.
new.j.69	new	j	new	So you can imagine how grating it is to me that Mayor Giuliani wants to spend up to one billion dollars of public funds building George Steinbrenner and his Yankees a new baseball stadium.
new.j.70	new	j	new	Genetic heterogeneity was tested taking into account the eleven new families.
new.j.71	new	j	new	I'm still seeking new safety slogans for the Baltimore-Washington commuter line I ride to work.
new.j.72	new	j	new	While Franklin Roosevelt was "tragically unwary of the new global menace from the left," Churchill spearheaded the opposition to the "twin scourges" of the century--Nazism and communism.
new.j.73	new	j	new	The goal is to equip ten new operatories at the dental school.
new.j.74	new	j	new	After the end of the Fourth Sun (an Aztec era), when the ancient people have been drowned or changed into fish, the spirits decide he should go seek the bones in order to start a new race.
new.j.75	new	j	new	The massive departments and agencies that prevailed in the great struggles of the twentieth century must work together in new ways, so that all the instruments of national power can be combined.
new.j.76	new	j	new	By reengineering business processes in conjunction with implementing new technology, Owens Corning increased its ability to meet customer needs.
new.j.77	new	j	new	This was generally true in the past, but in the twentieth century, when new materials and new aesthetic theories often have driven architects to cavalier experimentation, even celebrated architects have fallen short in that department.
new.j.78	new	j	new	And, most significantly, the four new points of reference were all articulated in the Gettysburg Address.
new.j.79	new	j	new	so i don't know we i'd probably some and sometimes i take them for a while and then sometimes i i you know i'll let them lapse and then i'll get something new
new.j.80	new	j	new	The famous Cornish pasties provide the saying, As long as Jan Bedella's fiddle if a new young cook makes a misshapen pasty.
new.j.81	new	j	new	so it might've been cut and uh i thought that was surprising being a new show and i'm sure it cost a lot of money to make
new.j.82	new	j	new	uh-huh and so in my free time even though it's not a hobby and that i do get paid for it i'm always developing new puzzles and activities and and word games mind benders that type of thing
new.j.83	new	j	new	The new study therefore lends some support to the interpretation that reduced sleep levels cause the hormonal changes.
new.j.84	new	j	new	If a batch of food is suspected to be defective, the performance of organisms fed with the new food can be compared with the performance of organisms fed with a food of known quality in side-by-side tests.
new.j.85	new	j	new	The two papers note that the report has created new tensions between the U.S. and Russia, which wants to lift the sanctions currently binding on Iraq.
new.j.86	new	j	new	Supply channels are not new, of course; for centuries, fabric-makers have sold their wares to those who cut and sew garments.
new.j.87	new	j	new	The Post also asserts that when the Lewinsky case broke, Starr was on the verge of bringing new charges against Clinton crony Webster Hubbell for receiving Whitewater hush money.
new.j.88	new	j	new	One of the many amazing things about "Spikey" Isikoff's new book, Uncovering Clinton , is the dexterity of its execution.
new.j.89	new	j	new	In London, the left-wing tabloid Daily Mirror said that Trimble, the first minister-designate of a new devolved Northern Ireland government (which was supposed to have been formed, but wasn't, at Thursday's chaotic inaugural meeting of the provincial parliament in Belfast), should give his prize back to the Swedes.
new.j.90	new	j	new	But the biggest story around the world as the week began was the launch by 11 countries of the new single European currency, the euro.
new.j.91	new	j	new	An interesting exchange in the new "Marriage and Family" thread on what a marriage is all about inspired one veteran fraygrant to his thoughts on some of the unexpected benefits of marriage.
new.j.92	new	j	new	It will seem as if one day, things are going along just fine--fresh, new leaves and flowers--and the next, I haven't finished with this, I forgot about that, I neglected this, I left that out in the rain, that should have been moved, that is overgrown, that is dead, and the weeds are taking over . Taking to bed with Henry Mitchell is the surest palliative I know.
new.j.93	new	j	new	Of course, a layer of burnt cork smeared over the face does not a new identity make.
new.j.94	new	j	new	If the goal of feminism is greater economic and social independence for women, then storefront manicure parlors are a feminist success story for the 1990s: They've turned a generation of new female immigrants into small-business owners.
new.j.95	new	j	new	It's not surprising that at the beginning of this century women who wished to declare a new parity with men, to escape feminine mystery and enter female reality, should shun male gear.
new.j.96	new	j	new	When parents and children spend time together, opportunities for scaolding of new skills and for conversation are nearly limitless.
new.j.97	new	j	new	They had too many patients and, with every patient new to them, didn't know important details.
new.j.98	new	j	new	Four centuries later, partly due to new scholarship about the Jewish roots of the sacrament, a panel of Anglican and Catholic theologians released an "Agreed Statement on Eucharistic Doctrine."
new.j.99	new	j	new	oh you exactly i was uh i had i bought something the other day and i thought well i've been wanting this new whatever and i did this this is my new brand i know what it was i was wanting this new television and this is this is my new TV and it was like three pairs of shoes and a you know
new.j.100	new	j	new	and this is about nineteen sixty four i believe or something like that and there still hasn't been any you know new development in prescribed drugs that can help it
