id	lemma	partOfSpeech	token	context
control.n.1	control	n	Control	As noted above, in July 2001, Mayor Giuliani updated a directive titled "Direction and Control of Emergencies in the City of New York."
control.n.2	control	n	control	The system also provides powerful controls for genetic background effects, because control (no DOX) and over-expressing (+DOX) flies have identical genetic backgrounds and therefore any differences in life span must be due to DOX administration and gene overexpression.
control.n.3	control	n	control	Mexico's ruling party lost control of the national assembly for the first time in 68 years.
control.n.4	control	n	control	However, the Supreme Court signaled a possible shift in 1992 when it allowed a federally supervised Georgia school district to regain control over busing even before the district had fully desegregated.
control.n.5	control	n	control	While the mayor's position on the merits of certain art has been highly topical and controversial in New York City (and for those who read the New York Times in other areas of the country), in most of the sections of the country he is best known for his record on crime control.
control.n.6	control	n	control	The LAT lead editorial tries to apply the emotion of the moment to the cause of tighter gun control, but the effort is stalked by a lack of tighter prose control.
control.n.7	control	n	control	It was the case of a couple of losers who were drunk, homophobic, and out of control.
control.n.8	control	n	control	If more than one out of 20 reference toxicant tests fall outside the control limits, the laboratory should investigate sources of variability, take corrective actions to reduce identified sources of variability, and perform an additional reference toxicant test during the same month.
control.n.9	control	n	control	Back in control, he meant to say, The Pope's doctor has summoned to the Vatican a Swiss specialist, but this, to Mudd's chagrin, came out as The Pope's doctor has summoned to the Vatican a Swish specialist.
control.n.10	control	n	control	that's true and uh it seems like it goes up every year you have no control over the the cost to you and that just takes away your buying power also and uh the company of course i can see the company's side uh too because uh they have to pay uh an a proportion of whatever the the health cost is and it gets to the point where uh they're not uh making money and uh
control.n.11	control	n	control	The wealth gained in their control was fantastic, as witness the stories told of Solomon's Temple, etc.
control.n.12	control	n	control	As J. Monod properly emphasized three decades ago in a slightly dierent context concerning activation and inhibition of enzymes at allosteric sites on the enzyme that are distant from the catalytic site, the relation of chemical structures that achieve control of catalysis are utterly arbitrary with respect to the chemical structures that undergo the catalysis.
control.n.13	control	n	control	She assures us that all reasonable people can agree that disseminating birth control and sex education is the best way to reduce the abortion rate; that stiff sentences for small drug offenses don't reduce drug abuse; that global warming is producing "disastrous consequences."
control.n.14	control	n	control	The Inquisition took root in the 1530s, and the Counter-Reformationary Jesuit order gained control of education in Portugal during the 1560s.
control.n.15	control	n	control	If UPR were to gain control, it would buy up the remaining shares at market price.
control.n.16	control	n	control	Think of it this way: Imagine that several cities, all suffering housing shortages because of rent control, agree to make it easier for landlords in one city to own buildings in another.
control.n.17	control	n	control	The Los Angeles Times leads with the news that the INS announced that none of a new batch of Border Patrol agents is being assigned to San Diego--because the agency feels that illegal immigration there has "reached a level of control."
control.n.18	control	n	controls	Second, weak government regulation of American TV means that without parental controls, child viewers are exposed repeatedly to antisocial attitudes and behaviors.
control.n.19	control	n	controls	The U.S. government relaxed export controls in 1988.
control.n.20	control	n	control	Weak staining was associated with connective tissue cells and decidual cells (compare with control, panel F).
control.n.21	control	n	control	Inmates are escaping from jails, and the president has lost control of the army.
control.n.22	control	n	control	The Washington Post lead is the ceremony in the Panama Canal Zone marking the imminent transfer of the waterway to Panamanian control.
control.n.23	control	n	control	Failures include the inability to restructure Medicare and Social Security and pass gun control legislation or the $792 billion tax cut; and the rejection of the Comprehensive Test Ban Treaty.
control.n.24	control	n	control	Conservatives reject anything that smacks of federal control of education policy, funding, or curriculum.
