id	lemma	partOfSpeech	token	context
br-j41.snum=63	argument	n	argument	Changes in the basic wage rate are cost raising, and they constitute an argument for raising prices.
br-j53.snum=17	argument	n	argument	Obviously, a satisfactory answer to the third question is imperative, if the argument is to get under way at all, for if there is any possibility of doubt whether the patient's tactual sensitivity had been impaired by the occipital lesion, any findings whatsoever in regard to the first question become completely ambiguous and fail altogether, of course, as evidence to establish the desired conclusion.
br-j53.snum=29	argument	n	argument	If the argument is accepted as essentially sound up to this point, it remains for us to consider whether the patient's difficulties in orienting himself spatially and in locating objects in space with the sense of touch can be explained by his defective visual condition.
br-j60.snum=71	argument	n	argument	In their book American Skyline, Christopher Tunnard and Henry Hope Reed argue that Franklin Roosevelt's New Deal was what made the modern suburb a possibility-a fine ironical argument , when you consider how suburbanites tend to vote.
br-g16.snum=49	argument	n	argument	Underlying these conceptions of mimesis are certain presuppositions concerning the nature of primary human experience which require some exposition before the main argument can proceed.
br-f08.snum=52	argument	n	argument	More often, though, he is so accustomed to submitting to authority on the job without argument that he lives by the same rule at home.
br-a13.snum=77	argument	n	argument	Willie's big day revived the running argument about the relative merits of Mays and Mickey Mantle.
br-d02.snum=54	argument	n	argument	In order to make the implications of our position as clear as possible, we may develop this argument at greater length.
br-l17.snum=85	argument	n	argument	An argument with Orville Torrence Killpath was as frustrating and as futile as a cap pistol on a firing range.
br-g23.snum=79	argument	n	argument	Will argument and debate decide its truth or falsity?
br-d02.snum=35	argument	n	argument	This must be stressed because it is absolutely essential to the argument of this concluding chapter.
br-g31.snum=6	argument	n	argument	She had the opportunity that few clever women can resist, of showing her superiority in argument over a man.
br-l09.snum=57	argument	n	argument	Added to the argument was the fact that while she might have tasted the coffee if it had been still hot, she might even have drunk some of it, she wouldn't have taken enough to kill her, for she would have been warned by its taste.
br-g23.snum=100	argument	n	argument	Our presidential campaigns provide much debate and argument .
br-f08.snum=45	argument	n	argument	After every money argument , she rebuffed her husband's overtures until the matter was settled in her favor.
br-j20.snum=90	argument	n	argument	The functions f and b have exactly the same multiplicity at every argument t.
br-j11.snum=41	argument	n	argument	The argument against this last approach is comparable to that which rejects stories about hoop snakes, about snakes that break themselves into many pieces and join up again, or even of ghosts that chase people out of graveyards; the mere piling up of testimony does not prove, to the scientific mind, the existence of hoop snakes, joint snakes, or ghosts.
br-f16.snum=83	argument	n	argument	When Hudson had finished, the "town meeting"broke down into a general, wordy argument .
br-j20.snum=53	argument	n	argument	The fact that there can not be any limit points of the set except in closed intervals follows from the argument used in Lemma 1, namely, that near any tangent point in the C-plane the curves C and **f are analytic, and therefore the difference between them must be a monotone function in some neighborhood on either side of the tangent point.
br-g31.snum=5	argument	n	arguments	The very firmness of her convictions and logical clearness of her arguments captivated and stimulated him to make greater efforts; usually, this is most exasperating to men, who expect every woman to verify their preconceived notions concerning her sex, and when she does not, immediately condemn her as eccentric and unwomanly.
br-f23.snum=35	argument	n	argument	The argument was typically advanced in terms of U. S. "prestige''.
br-k01.snum=4	argument	n	arguments	Scotty accepted the decision with indifference and did not enter the arguments .
br-d02.snum=12	argument	n	argument	In fact, it is in just such a situation that the profundity of Bultmann's argument is disclosed.
br-g23.snum=103	argument	n	arguments	But what a super Herculean task it is to winnow anything of value from the mud beplastered arguments used so freely, particularly since such common use is made of cliches and stereotypes, in themselves declarations of intellectual bankruptcy.
br-f14.snum=26	argument	n	argument	In such a case the defendant should serve as a clear example and not have to be tied to the issue by argument .
argument.n.bnc.00074131	argument	n	argument	Mr Cook also countered the  argument  that PR would build in a pull towards the centre ground, preventing Labour from implementing a radical programme.
argument.n.bnc.00148099	argument	n	argument	After much  argument  Gide received a letter from a trusted household servant, Marie, who swore she would leave the house on the day my negro' came into it.
argument.n.bnc.00072253	argument	n	argument	But Mr Lawson has to show he knows how to do the trick, before he can win his  argument , in theory or in the markets.
argument.n.bnc.00086811	argument	n	arguments	Perhaps more variety, too, although enthusiasts' assertions that not everyone is obsessed by the Big Five are countered by East who, as a football nut and a director of Derby until he moved into his current post, knows all the  arguments .
argument.n.bnc.00105645	argument	n	arguments	Earlier this week, the first television debate in a fascinating and closely-fought Virginia gubernatorial race was dominated by the  arguments  for a woman's right to choose and a foetus's right to life.
argument.n.bnc.00074516	argument	n	argument	Their  argument  was that a male's potential quality as a parent might be important because, in many species of Old World monkeys, males form strong protective relationships with females and their young, which are crucial in reducing the amount of harassment and competition the young suffer from other members of the group.
argument.n.bnc.00080811	argument	n	argument	But Anna Pavord's recognition ( 27 September ) of the opportunity for the twentieth century boldly to turn Uppark's tragedy to advantage, is a more compelling  argument .
argument.n.bnc.00085055	argument	n	arguments	Economic and environmental  arguments  are thus in harmony.
argument.n.bnc.00068257	argument	n	arguments	It acknowledges that the following texts and their  arguments  are difficult, but the difficulty is not to be hidden we ourselves have no right to hide it.
argument.n.bnc.00139725	argument	n	argument	His own  argument  involved the admission that no common government, no common state, comprising both Great Britain and the colonies could subsist.
argument.n.bnc.00068618	argument	n	arguments	This question provoked  arguments  in America about the Norton Anthology of Literature by Women, some of the contents of which were said to have had little value as literature.
argument.n.bnc.00048268	argument	n	arguments	Jim Coates Executive Director The British Schools LTA The conflicts within British tennis As Wimbledon again approaches, the  arguments  about why British tennis is so poor still rage on, and are getting even more heated.
argument.n.bnc.00084443	argument	n	argument	Refuting the  argument  that proportional representation would mean trimming to minority centrist positions, Robin Cooke, one of Labour's leading advocates of reform, said: We have already gone to endless lengths to placate the centre ground.
argument.n.bnc.00016270	argument	n	argument	But then Mr Clancy and Mr Venables, who had been standing by to offer encouragement, had fallen into an  argument  concerning position.
argument.n.bnc.00150665	argument	n	arguments	As Prime Minister I could not waste time having any internal  arguments  or Yes, I do drive through things which I believe in passionately what else do you expect of a Prime Minister?
argument.n.bnc.00105317	argument	n	argument	The main problem with this  argument  is the consequence of a current account deficit for the exchange rate.
argument.n.bnc.00131545	argument	n	argument	Nevertheless, Crumley's is a starkly presented  argument  which should be read and studied alongside the barrage of soulless technical documentation already written on this emotive subject.
argument.n.bnc.00009543	argument	n	arguments	Roman catholic church leaders have used additional local studies to refute  arguments  which treat Roman catholic schools as part of the Northern problem.
argument.n.bnc.00106818	argument	n	arguments	Although the banks will begin to present their  arguments  today, Mr Scrivener said: This court is not concerned with private rights.
argument.n.bnc.00008636	argument	n	argument	The conclusion to the  argument  will be that there is a specific form of violence of a political kind outside of state control which cannot be reduced to crime.
argument.n.bnc.00150599	argument	n	arguments	She seems to revel in  arguments  and loses no opportunity to declare her political principles.
argument.n.bnc.00068586	argument	n	argument	Yet his system, like others on the contemporary scene, is constructed so as to repel  argument  or contrary evidence.
argument.n.bnc.00068571	argument	n	arguments	During the 1970s he began to lose faith in the whole Freudian programme, and in his recent book, Skeptical Engagements, he provides detailed and substantially supported  arguments  for abandoning it.
argument.n.bnc.00068548	argument	n	argument	This is an interestingly eclectic  argument  which recalls Gadamer on the fusion of horizons ( the reader's and the text's ), Marcuse on the utopian possibilities of high culture, and Sartre on the necessarily progressive implications of major literature.
argument.n.bnc.00136756	argument	n	argument	While this internal  argument  reached its height, his superiors argued about him without his knowledge.
