id	lemma	partOfSpeech	token	context
way.n.1	way	n	ways	This is the time of year when our thoughts turn to ways to do things differently, things that will make our lives better and improve the quality of our life.
way.n.2	way	n	way	Thank you again for helping point the way.
way.n.3	way	n	way	He has found his mission in preserving what matters in our culture, and in standing in the way of attempts to coarsen and reduce it.
way.n.4	way	n	way	According to the front-page "Work Week" column in the Wall Street Journal , workplace equality still has a way to go when it comes to job-related injuries: 71 percent of the nation's nearly 32,000 cases of carpal-tunnel syndrome involve women, but of the 11,308 amputations, 90% involved men.
way.n.6	way	n	way	Accumulation of the huge linear DNAs in the recBC null mutants can be interpreted from the known properties of RecBCD enzyme in a straightforward way.
way.n.7	way	n	way	The Republicans' bumbling on campaign finance reform shows they're a party that "could screw up a one-car funeral" (Robert Novak, CNN's Capital Gang ). First, GOP leaders squashed the bill in the most underhanded way possible, and now they're trying to take credit for reviving it.
way.n.8	way	n	ways	Bradley can't have it both ways.
way.n.9	way	n	way	Autobiography can't help revealing something about a person, and even this worthless placeholder of a book is telling in its way.
way.n.10	way	n	way	It's possible there will be no way out for Russia because of that strain of wild fundamentalism.
way.n.11	way	n	ways	Third, the candidate will tack left, then right in an attempt to gather votes from both downstate liberals and upstate conservatives-and will have it both ways, pandering to minorities one day and distancing herself the next.
way.n.12	way	n	ways	Celebration is in many ways a better idea.
way.n.13	way	n	way	"We thought at a time when you're introducing a new technology, it is probably wise to do so in a way that encourages public trust rather than public distrust," says FreedomChannel founder Doug Bailey.
way.n.14	way	n	ways	Although there may be several ways in which jobrelated mortality risks differ from air pollution-related mortality risks, the most important difference may be that job-related risks are incurred voluntarily, or generally assumed to be, whereas air pollution-related risks are incurred involuntarily.
way.n.15	way	n	way	There simply were no words in the English language to describe many local features and the local way of life.
way.n.16	way	n	ways	Replacing an Ionic column with a steel I-beam, or exposing air-conditioning ducts, or using common materials in uncommon ways are calculated affronts to honored conventions.
way.n.17	way	n	way	oh yeah it's been on there i was listening to it on a talk show on the way home from work tonight
way.n.18	way	n	way	i i was almost converted because uh the effect of that suit on the way people responded reacted and responded to me as opposed to the uh just to kind of how shall i say it they know you're there but they don't uh you don't there's no notice at all but when i wore a suit that day uh it was obvious that people didn't know whether i was a worker bee or a manager
way.n.19	way	n	way	you know i just feel they do better that way and yeah and and i have older children too that now are out of high school and
way.n.20	way	n	way	but you have to take time off and and go take your child to to well baby care on top of that now the the general cold and sniffles and and the first year illnesses and the school doesn't want to want to keep your child we do have up here um and some of the hospitals do this as a way of defraying their costs they run day cares for sick children out of their hospital facilities but
way.n.21	way	n	way	i think another thing um would be nice i guess this is more of an overall really nebulous kind of thing would be consideration of um like the family in some in somebody's in the way that somebody relates to the work place
way.n.22	way	n	way	so you know that's just where i probably need to be a little more responsible as a citizen wise you know looking or searching those out because you figure if we as the citizens do that then the manufactures and producers will start packaging it that way
way.n.23	way	n	way	and uh the way it usually works is my father's father all of his children which is all my aunts and uncles uh have traditionally had this rotating schedule sort of thing
way.n.24	way	n	way	Belief in the evil eye or that someone can harm another by looking at him or her in a certain way is found all over the world.
way.n.25	way	n	way	no no uh but i think a person needs a way of defending themselves
way.n.26	way	n	way	They are obtained the following way: The information system allows the description of each area with geographic characteristics (population, number of stops, number of delivery points, surface, length of streets or roads) and traffic.
way.n.27	way	n	way	that's just that's just it i don't understand you're supposed to you know go in if you have you know like if you've never heard of the people before or anything but i don't understand with racialism and the way religion is and everything else how you can get people that are total totally impartial to it
way.n.28	way	n	way	that's right i don't trust maybe i guess it's because of the way what happened over there with their own people how they threw him out of power and you know just a big uproar but then you know me and my husband always talk about it because they're running out of money
way.n.29	way	n	way	been really busy at work this past week and normally on my way into work i'll pick up a newspaper and uh it so every day i'll have a newspaper at work and when i take a break i'll look at the newspaper but this week i've been so busy i didn't even bother to stop
way.n.30	way	n	way	Formally, one determines safety-stock levels by weighing the costs of having too much inventory (overstocking) with the costs of having too little (understocking), in much the same way as we did for nonreplenishables.
way.n.31	way	n	way	I'm reminded of previous times I have felt sad and I will connect them into a series by way of the synaptic corridors they pass through.
way.n.32	way	n	way	now i haven't seen i'll Fly Away yet um-hum it's nearly too late for TV that's the way i am i get in from work and i'm tired and i sit and watch for a few minutes then i have to get up and do dinner and everything
way.n.33	way	n	way	yeah we went to Yosemite and um we went we got a little cabin there and that was really nice but uh someplace like that where you like you say you can get way out in the middle of nowhere you know where you can really be away from civilization i i would feel safer there than i would some of these little uh tent site areas you know
way.n.34	way	n	way	no no they don't i'm saying i think that i s one of one way of the future that we will see
way.n.35	way	n	way	well that's the that's the deal is you're not buying brands now you're buying these knock offs so there's uh probably the way to do it if you really wanted to buy one there's there's a magazine called Computer Shopper
way.n.36	way	n	way	twenty miles one way yeah see i have about twenty five round trip is what it is
way.n.37	way	n	way	you know don't like the way you look don't like the way you dress don't like your hair don't like you know it's just something that always sets people off you know you either like someone or you don't like someone or you're just completely indifferent
way.n.38	way	n	way	yeah that well that's the way it works i mean that's that's why they're having problems i mean everyone's a manager and
way.n.39	way	n	way	yeah that that's sort of the way i feel too i don't know what else we just saw something recently
way.n.40	way	n	way	As with other alien farmworkers, many H-2A claims may not arise until the workers are on their way home or after they have returned to their home country.
way.n.41	way	n	way	State the laws and the initial and boundary conditions, then calculate; Newton taught us how to do science this way.
way.n.42	way	n	way	On the negative side, critics say it "rolls in sleaze and squalor like a mangy dog on steaming roadkill" (Rod Dreher, the New York Post ). On the positive side, Janet Maslin praises Clark for the way he manages to create "bad times with a wicked way of looking good" (the New York Times ). (This fan site is packed with video stills from the film; find out more about director Larry Clark at alt.culture.)
way.n.43	way	n	way	Our only problem, then as now, is that we are not sure which way the revolutionary refounding of the nation should go.
way.n.44	way	n	ways	Mentally, I'm still 21 or 22 in a lot of ways."
way.n.45	way	n	ways	I'm sure he's wise to the ways of Clinton and his handlers.
way.n.46	way	n	way	Posed groups of commissars, meanwhile, display collective warmth in the way that department-store mannequins do when they are grouped on the same pedestal.
way.n.47	way	n	way	The way the library has handled Stein may make a statement about her importance, but it certainly doesn't help in the reader-friendliness department.
way.n.48	way	n	ways	Overhype is a thought-provoking term, the provocation occurring unintentionally, and in two ways.
way.n.49	way	n	way	By 1900 he had made his way to Paris, where he first trained as an architect, then studied at a couple of traditional art academies.
way.n.51	way	n	way	He has also "fumed to friends, 'There's no way I am going to give up my life and become a Hollywood trophy husband.
way.n.52	way	n	way	Civic leaders have at last confronted the truth: Peanuts are a menace to the American way of life.
way.n.54	way	n	way	Work in this area might help elucidate the process by which aging occurs and yield a way to reset the clocks in some of our own cells, allowing us to regenerate.
way.n.55	way	n	way	The IRB approves the informed consent document, which should describe the clinical experiment in a clear and dispassionate way to patients and their families.
way.n.56	way	n	way	As a result, Meredith continued the tantrums to get her way, yet she desperately wanted to stop these explosions and to follow sensible, consistent rules.
way.n.57	way	n	way	( It's not that I have reasonable objections to what you did; it's the way you did it, or who you were as you did it ...
way.n.58	way	n	way	Put another way, Soundscan has killed off word of mouth.
way.n.59	way	n	ways	The accuracy of a test can be measured in several ways.
way.n.60	way	n	way	But we've come to realize that's her and that's just the way it's going to have to be.
way.n.61	way	n	way	It needed to be designed to explode in a different way, and even then had to be targeted with extreme precision.
way.n.62	way	n	way	My second set of objections to the communitarian explanation of Littleton is the way it over-blames parents.
way.n.63	way	n	way	3. A Fox executive is disappointed with the way their new shows look on television.
way.n.64	way	n	ways	Obviously, a president's ambition, judgment, temperament, integrity, and ways of relating with other people (among other psychological qualities) bear greatly on how he will govern--at least as greatly as whatever election-year stands he stakes out on "the issues" of policy.
way.n.65	way	n	way	Internet reporter Matt Drudge is charming his way into the punditocracy.
way.n.66	way	n	way	"Titanic floods you with elemental passion in a way that invites comparison with ...
way.n.67	way	n	ways	A long, related story lists the ways that governments hype exports (exchange-rate manipulation, subsidized R&D, trade missions, etc.), and bemoans their proliferation.
way.n.68	way	n	way	That's an obvious advance over the old days, but it's still a long way from a real Internet market.
way.n.69	way	n	way	Wrongheaded is a mild way of characterizing it.
way.n.70	way	n	way	Apparently those diet pills affected the way her brain was working because, as I certainly don't have to remind you, we're talking about the script for Moesha ! I trust that her network will see to it that she gets some counseling.
way.n.71	way	n	way	Isn't it a little surprising that the papers don't mention the similarity to the way Richard Nixon got his house with a little help from his rich friends?
way.n.72	way	n	way	The government said Microsoft used its monopoly power in the operating systems market to bully and threaten its way into dominance over the browser market.
way.n.73	way	n	way	The Internet provides convenience, provides fun, provides information, but it's not changing the way we live in any substantial way.
way.n.74	way	n	way	If the data appear unusual in any way, or fail to meet the necessary assumptions, a statistician should be consulted.
way.n.75	way	n	way	I fancy that many writers feel the same way.
way.n.76	way	n	way	Literary style described the way that something was written, expressed, or performed.
way.n.77	way	n	way	yeah i haven't given much thought to it i'm kind of busy raising my kids the only way i can relate to it is i think of my mother taking care of her parents
way.n.78	way	n	ways	well well actually there's there are ways i mean if they can get the speaker identity verification and those kind of technologies out there it would help um you know in terms of verifying who they are and what they're saying and and uh you know people could uh use that you know
way.n.80	way	n	way	well that's it certainly looks the way things are headed right now if uh something isn't done at the i guess at the federal level or
way.n.81	way	n	way	no sure didn't did it so no i think you can legislate but i think there's no way that you'd eliminated all by legislating and we'd end up with so many more laws that you know i mean i just think that's human nature that you're gonna have corruption in government in business personal life i mean you know
way.n.82	way	n	way	yeah i mean that's i think the way it uh i think that's the way it works now in basketball you you know Magic was a franchise for the Lakers and you know uh Bird for the for the uh Celtics and
way.n.83	way	n	way	oh they could make lots of bucks that way oh we haven't had any
way.n.85	way	n	way	unfortunately not and there's no way i can get her to so it's a like it's something you either just really want to do it or you can't talk anyone into it if you don't like to exercise you know it isn't going to happen but
way.n.86	way	n	way	right i understand completely you know i i feel the same way
way.n.87	way	n	way	Simply doing business with lean retailers in no way confers competitive success.
way.n.88	way	n	way	oh oh you have to in fact when Nicole was having her problems with not starting you know we prayed a lot and we prayed as a family on the way to the tournament and what night did we i guess on the way to the SELA game last Thursday which they're kind of our big rivals and we prayed prayed that she would get to start and that she would play well and she did she played the best i've seen her play
way.n.90	way	n	way	yeah but don't you think in a way that's kind of a cop out i mean it still is your responsibility and and and and nowadays they do have more information that you can become aware of and there are things like the League of Women Voters or some of the other groups
way.n.91	way	n	way	but they were kind of closer to home when when i struck up with them i really don't know what's going to take place with the Cowboys this year uh everybody keeps talking about the reconstruction they're going through and new players and how next year is going to be even bigger and better than the previous year in a way that happened this past season and i think there's quite a bit of optimism around here that still there's a chance that maybe uh these guys are right maybe they will come through and and do something this year i look for it to be a pretty good year
way.n.92	way	n	ways	there's so many different ways to catch fish you know at night you can
way.n.93	way	n	way	you know you you you're going to have to start with the kids who are in school that are in when school and you're going to have to teach it well not like i was in school and do two weeks on it in a math class and that's all you ever hear about it you know they're going to have to start with the little ones and teach it right now and then when you know those little ones are our age you know that's what they're going to know and that's what they're going to use there's no way you're going to get you know most of the United States adult population to automatically relearn and switch
way.n.94	way	n	way	yeah do do you work for TI in any way
way.n.95	way	n	way	Each state plan must be viewed based on the totality of the circumstances, with the bottom-line consideration turning on LSC's studied determination as to whether a given service area configuration inures to the benefit of the greatest number of clients in the most cost-effective way.
way.n.96	way	n	way	The more contentious issues arose in defining the way the emancipated slaves could move and function as supposedly free citizens in American society.
way.n.97	way	n	way	I don't know what your office is like, but the rest of us cannot be described that way.
way.n.98	way	n	way	Sticking ice axes in the sides of mountains is a pretty stupid way to get to 29,000 feet as well.
way.n.99	way	n	way	In the press kit, Anderson is quoted as saying, with amazing chutzpah, that he called on his "very specific memories of the way Los Angeles looked and felt" to re-create the period.
way.n.100	way	n	way	One would think that there is a more modern way to breed a horse, something involving hydraulic machinery, vacuum tubes, pumps, stainless-steel vats, perhaps even cross-country pipelines.
