id	lemma	partOfSpeech	token	context
serious.j.1	serious	j	serious	Just about everyone else I know thinks it's odd, even "troubling" to see a serious presidential candidate run around punching people in the arm and giving nicknames to strangers.
serious.j.2	serious	j	serious	That could be serious trouble for the cell-phone industry.
serious.j.3	serious	j	serious	how serious the nature of the crime is and stuff like that and
serious.j.4	serious	j	serious	positive for at-risk drinking or more serious alcohol-related problems.
serious.j.5	serious	j	serious	Trips were dangerous explorations of cosmic reality, and they were serious, only occasionally joyous, but so revelatory as to be precious signposts of the fulfillment we thought we lacked.
serious.j.6	serious	j	serious	The Task Force was charged with reviewing "existing policies, standards, and procedures governing state planning and for defining service areas; and any revisions to existing policies, standards, and procedures which the Task Force concludes to warrant serious consideration by LSC."
serious.j.7	serious	j	serious	He believed American 77 had experienced serious electrical or mechanical failure, or both, and was gone.
serious.j.8	serious	j	serious	those guys they just kind of get into to stewing stewing stewing up trouble you know with the callers and things like that but they get into some really good conversations sometimes you know and some of it sometimes it's serious and they have some good feedback and all that stuff and
serious.j.9	serious	j	serious	...We now accept without reservation that the serious allegations mentioned above should never have been made and as stated in open court last week, apologise unreservedly to Tengku Razaleigh Hamzah for any distress and embarrassment caused by the articles.
serious.j.10	serious	j	serious	There's more musical invention in a song like "Trailways Bus" than in the entire score of the much ballyhooed Ragtime . It's nothing to do with rock vs. showtunes, only with the cruel truth that most contemporary Broadway music isn't very good: not popular music, not serious music, but existing in some grisly limbo in between.
serious.j.11	serious	j	serious	(If they're not, then corporate profits are going to take a serious hit.)
serious.j.12	serious	j	serious	Deriding irony is now a reflex not just among the serious, such as Jedediah Purdy, the author of For Common Things , but among the ironic as well.
serious.j.13	serious	j	serious	you know if somebody wants to become a doctor or a uh dedicated professional and they're serious about it uh i hate to see their their lives put on hold for a year or two while they uh uh they do something that's uh not down their alley
serious.j.14	serious	j	serious	Whether a government postal service can engage in these kinds of negotiations deserves serious study.
serious.j.15	serious	j	serious	For example, only 21% of survivors of myocardial infarction are treated with beta-blockers by their primary care physician, despite the fact that expert consensus panels consider this omission a serious medical error.
serious.j.16	serious	j	serious	Yet the pathways I have stumbled along, glimpsing what may be a terra nova, do seem to me to be worth serious presentation and serious consideration.
serious.j.17	serious	j	serious	Attempts to weave the five men's stories together result in some confusing chronological jumps, but the damage isn't serious.
serious.j.18	serious	j	serious	The most common non-Fourier-based technique currently in use in chronobiology is the " chi-squared periodogram" [ 41 42 ] . Although serious objections have been raised in consideration of the periodogram (discussed from varying perspective by Whittaker and Robinson [ 42 ] ; Kendall, [ 43 ] ; Dowse and Ringo [ 39 44 ] Enright [ 46 ] , we continue to employ this method along with others discussed below.
serious.j.19	serious	j	serious	It is preventative, helping people to avoid mistakes that can lead to more serious legal problems and the need for representation in the future.
serious.j.20	serious	j	serious	This suspension of seriousness in the face of officially serious issues, such as life and death, permits an individual to feel free and detached.
serious.j.21	serious	j	serious	In 1993, reacting to petitions filed by establishments affected by the rules, the Commission suspended portions of the rules stating that these establishments were experiencing serious difficulties in their attempts to comply with the rules.
serious.j.22	serious	j	serious	but i i remember fondly having the small ones they they seemed real happy and it was so easy to solve their problems and as they get older it just seems that everything is more serious and and
serious.j.23	serious	j	serious	The term was in use long before hippies were a gleam in anyone's eye; it is probably an extension from the theatrical term for the villain of the piece, later transferred to mean `serious, important.
serious.j.24	serious	j	serious	Effective Concentration (EC) - A point estimate of the toxicant concentration that would cause an observable adverse affect on a quantal, "all or nothing," response (such as death, immobilization, or serious incapacitation) in a given percent of the test organisms, calculated by point estimation techniques.
serious.j.25	serious	j	serious	But there's a serious omission when it comes to public servants like his last presidential boss: it doesn't define "sexual activity."
serious.j.26	serious	j	serious	25 But sole reliance on traditional government enforcement activities has serious limitations.
serious.j.27	serious	j	serious	Secretly taping a friend is bad, but friendship is less serious a relationship than marriage.
serious.j.28	serious	j	serious	Lewis' answer emerged after a pleasant subterranean rumbling that I took to be laughter (though his answer was entirely serious).
serious.j.29	serious	j	serious	By 2020, there will be a serious shortage of nursing personnel available to work in this and other medical settings.
serious.j.30	serious	j	serious	. . . You would be making a serious error, however, were you to assume that this was true enlightenment in which there is no doubt about the nature of reality.
serious.j.31	serious	j	serious	Since there was no mockery in the Rugrats depiction of the Kaddish-- just one toddler's curiosity -- one can only conclude the callers deemed the comic strip, as a medium, insufficiently dignified for serious Jewish subjects.
serious.j.32	serious	j	serious	The consequences of such problems may be as serious as the loss of a family's only source of income or homelessness.
serious.j.33	serious	j	serious	Berger told us that the Secret Service was vehemently opposed to a presidential visit to Islamabad; it took the extraordinary step of meeting twice with the President and offering very serious warnings.
serious.j.34	serious	j	serious	This is often taken as a reflection of his serious commitment to his art.
serious.j.35	serious	j	serious	9 The complaint by the butchers should not even have generated a serious constitutional question.
