id	lemma	partOfSpeech	token	context
color.n.1	color	n	color	right and uh usually i cut those little cherry tomatoes up and put some color into it you know and i'll lay those on top of my salad you know to make it look nice and things like that
color.n.2	color	n	colors	He sketches his stories usually with a few bold colors and fewer details, as in a Raphael Soyer painting.
color.n.3	color	n	color	yes yeah i've seen that done where there's uh oh i saw one that was kind on an ecru undercoat and then it had a little bit darker sort of peachy color
color.n.4	color	n	color	These elements--surface, shape, color, associations--add up to something substantial, a variety of sensations rather than merely "a" sensation.
color.n.5	color	n	color	uh-huh yeah yeah as a matter of fact uh what we've got ours painted now is kind of a light creamy color and a uh a blue and the blue even so many years two years later or so it doesn't match
color.n.6	color	n	color	The "Negro problem," wrote Norman Podhoretz in 1963, would not be solved unless color itself disappeared: "and that means not integration, it means assimilation, it means--let the brutal word come out--miscegenation."
color.n.7	color	n	color	that's really true a lot of it is um the color certain colors seem to be more acceptable
color.n.8	color	n	color	Pundits declared it a triumph of youth and racial progress, comparing Woods to Jackie Robinson (whose 50 th anniversary of breaking the color barrier is being celebrated simultaneously), Arthur Ashe, and Lee Elder (who became the first black golfer to play in the Masters in 1975, the same year Woods was born).
color.n.9	color	n	Color	Here are the attributes of consumer goods that appeal to me far more than brand name: 1) Color.
color.n.10	color	n	color	And to me, in a year when Matthew Shepard was crucified on a split rail fence because of his sexual orientation; when James Byrd was dragged to his death because of his skin color; and both a Filipino-American and a Korean graduate student were murdered because of the shape of their eyes--I cannot comprehend how some can argue that hate crimes are no different from all other crimes.
color.n.11	color	n	color	The Yiddish language, through its color, its target-accurate expressions, its raw idioms, and its sayings exudes a refreshing magic and laughter, mixed with sober thought, that has been handed down from generation to generation and from nation to nation.
color.n.12	color	n	color	Xerox Corporation designs and manufactures office equipment, including color and black and white printers, digital presses, multifunction devices, and digital copiers designed for offices and production-printing environments.
color.n.13	color	n	color	and uh they could document the change in the color of the ocean and whether that had to do with a change in plankton because of the ozone or the the rising temperature or whatever but um yeah
color.n.14	color	n	color	Finally, measurement, fit, color, and texture remain central components of apparel sales.
color.n.15	color	n	colors	The first glowed with the iridescent colors of a conch shell, of a pussy, opening all shiny pinks, golden hair and sunlit trust until Mona, sick with junkie pneumonia, had to give her up--a junkie ho would only victimize her child, they told her.
color.n.16	color	n	colors	but that's scattered with birch trees and stuff and uh it's real pretty when the leaves all turn colors because you get a multiple array of colors and people come from all over the world come through New England only like that week or two when the colors are the brightest you know
color.n.17	color	n	colors	Elaborate patterns, some of them with narrative scenes, might be woven into fabrics of great finesse, their finely spun fibers dyed in strong and subtle colors.
color.n.18	color	n	color	During festivals, the square springs to life with excitement and color.
