id	lemma	partOfSpeech	token	context
date.n.1	date	n	date	The first stage linked all records that matched exactly on first, middle, and last names; complete birth date; and gender.
date.n.2	date	n	date	See, he can't tell you , but he does something like this, and then he has to know your birth date, your birth date, your age I don't know, something else and it, it works, I'm not kidding.
date.n.3	date	n	date	The piece warns that May 4, 1999, when Arafat has vowed to declare an independent Palestinian state, could be the launch date for a brutal war.
date.n.4	date	n	dates	Antiviral use was not extensive, and the current study dates preceded the introduction of zanamivir and oseltamivir.
date.n.5	date	n	dates	The Clear Skies Act further requires that, in addressing a petition submitted after enactment that requests a finding for any affected unit under the new trading programs, the Administrator must consider, among other factors, any emissions reductions required to occur by any applicable attainment dates for any relevant nonattainment areas.
date.n.6	date	n	date	The New York Times goes with a nationwide look at candidates' last-minute attempts to motivate voters, in a campaign that at this late date, the Times says, still lacks a national theme.
date.n.7	date	n	date	Atta was to provide Binalshibh with advance notice of at least a week or two so that Binalshibh could travel to Afghanistan and report the date personally to Bin Ladin.
date.n.8	date	n	date	According to KSM, Bin Ladin had been urging him to advance the date of the attacks.
date.n.9	date	n	date	Slate . After that date, only paying subscribers will have full access to the site, e-mail-delivery services, "The Compost," "The Fray," and so on.
date.n.10	date	n	date	um but it still automatically comes off that month if i time it right then any like my my date is the twelfth so if i charge something on the thirteenth then i don't get that bill till the end of the month and it's not due till before the twelfth of the next month so i can put off paying for something for free for two months
date.n.11	date	n	date	i still have elderly parents alive so uh it takes a lot of effort to either get everybody called or written and settle on a date you know that
date.n.12	date	n	date	Shortly before the 9/11 attacks, he would travel to Afghanistan to communicate the date for the attacks to the al Qaeda leadership.
date.n.13	date	n	date	According to Binalshibh, shortly after the date was chosen, he advised Essabar and another Hamburg associate, Said Bahaji, that if they wanted to go to Afghanistan, now was the time because it would soon become more difficult.
date.n.14	date	n	date	yeah um i guess um there really haven't been a lot of thing that we have picked on that have work for us other then you know the uh the automatic debits require require more discipline um it also simplifies in that doesn't require the discipline to say oh yes that is due on this date and then make the appropriate trip to the bank or whoever and uh so actually we live in uh in in Canada and so with our banking system being more national uh it does make uh funds transfer and that kind of thing a lot more
date.n.15	date	n	dates	This pair falls plumb in the middle of the Jooky target group: no dates, no sun, no sand.
date.n.16	date	n	date	A new flame may break a date, but try to be forgiving."
date.n.17	date	n	date	Do you think a girl should go to his or to her apartment on a first date?
date.n.18	date	n	dates	As they cooled their palates and ate their dates, the Sheikh's men knew they could not be followed, as they were the masters of their desert domain.
date.n.19	date	n	dates	Nine states completed configuration planning in 2002 and submitted proposals for significant structural change, with completion dates in 2003 and 2004.
date.n.20	date	n	date	The law has moved so quickly in this arena that most men and women no longer know when and how they can approach a coworker and make a compliment or request a date.
date.n.21	date	n	dates	The Y2K bug is a very bad bug; the one tiny decision about how to express dates can bring a whole program to a screeching halt.
date.n.22	date	n	date	And, to pick another hypothetical example, if Monica Lewinsky has told Linda Tripp's tape recorder that she, Monica, had phone sex with the president on December 3 after buying a copy of Vox , isn't Starr permitted to try to support the accuracy of those taped recollections by finding out if Lewinsky actually bought the book around that date?
date.n.23	date	n	date	Journalists, having planned substantial coverage of the 25-year-old Roe case, canceled that date in order to pursue 24-year-old Monica Lewinsky.
date.n.24	date	n	date	Though the exact date of their birth is uncertain, team nicknames originnated in the United States sometime before the Civil War.
date.n.25	date	n	date	After 10 minutes, it isn't clear whether this dweebish flatfoot is interrogating her or trying to ask for a date--or whether he even knows.
