id	lemma	partOfSpeech	token	context
window.n.1	window	n	windows	From the neighborhood we grew up in comes the term a Billy Groves , used to describe a glutton, in remembrance of a fat boy who could be heard squealing for a second hamburger or another scoop of ice cream on summer nights when the windows were open.
window.n.2	window	n	windows	Narrow strips of windows indicate the book-stacks, above them nine thermal windows signal the vast reading room.
window.n.3	window	n	windows	yeah it seems to be the great equalizer that's one thing that i've notice is uh you you put uh open windows on a sun and i don't see amazing power from it it doesn't degrade as much under a load as a typical
window.n.4	window	n	window	Each of the major functions (delivery, mail processing, transportation, and window service) is conducted using similar methods and technologies.
window.n.5	window	n	window	' I raised mine to the window: Lord Mellifont had vanished. "
window.n.6	window	n	windows	They can be induced to undress and prostrate themselves on stages in front of booths with one-way windows.
window.n.7	window	n	window	There are many gems to be discovered: tiny leaded windows, gargoyles in the eaves, and flower-filled boxes on every window ledge.
window.n.8	window	n	window	"I throw rocks through the window of a different McDonald's every week.
window.n.9	window	n	windows	The large north-facing windows and glazed penthouse are a reminder that this building was originally intended for artists.
window.n.11	window	n	windows	i'm not really sure about that because i'm very much a person who uh likes to drive around with every with all the windows closed and the air conditioning on so i can hear my stereo well
window.n.12	window	n	window	so in my spare time i love to sew there aren't too many people around anymore that really enjoy sewing but i do make all my own clothes and we recently purchased a new home so i enjoy doing my uh toppers for my window applications
window.n.13	window	n	windows	Sunlight pours bluely through the regrettable Chagall windows.
window.n.14	window	n	window	Very basic but very good Jamaican food served through the kitchen window, with garden gazebos to sit and eat in.
window.n.15	window	n	window	"Today's Papers" can only guess they are shoes so expensive that most folks can only look at them in the store window, or on their lawyers.
window.n.16	window	n	windows	are about to clog shop aisles and windows like bad cholesterol," grumbled a USA Today editorial.
window.n.17	window	n	windows	Its floor-to-ceiling windows, spare detailing, and open interior mark it as a successor to the International Style.
window.n.18	window	n	window	By extending Delivery Confirmation to First-Class mail as a replacement for Certified Mail, the potential exists to drive in excess of $300 million per year in window clerk and letter carrier costs from the system.
window.n.19	window	n	window	Gazing at the Monde de Disney parking lot, MonaLisa sits framed in her window, an ultralite cigarette in her hand, her arms supporting her gravity-afflicted breasts, once lunar melons, now barely able to plump up over the mass of her moist arms and the aluminum sill, cooling in the moonlight.
window.n.20	window	n	windows	and probably like tinted windows and a nice stereo system tape player i don't have a tape player in mine which is really killing me
window.n.21	window	n	windows	Their show displayed a naked woman on a circulating round stage, viewed by men in private booths equipped with one-way windows.
window.n.22	window	n	window	McCurry adds windows to let women watch the street as they read, work, or clean: both a security system for a paranoid age and a symbol of the old-fashioned American dream--picture window, pastel drapes, and all.
window.n.23	window	n	windows	The chambers were totally refurbished by Charles II, including larger windows to balance the design of the new extensions.
window.n.24	window	n	window	I haven't yet read the Washington Post coverage of Hillary's wagging tongue, though this evening I will be headed to D.C. in quest of the calming breezes of a window air conditioner.
window.n.25	window	n	windows	No winter gales penetrated its polished windows; if the summer sun shone too vehemently, blinds were pulled down to protect the furnishings.
window.n.26	window	n	windows	The windows of the museum gave some nice views of downtown Philadelphia.
window.n.27	window	n	window	It is a shock to come across a revered architectural icon and to find the concrete stained, the painted window frames chipped, the tiles cracked.
window.n.28	window	n	windows	so anyway now she's turning our house into sort of the same thing we have uh we have like grates on the on the uh door on the basement windows even though there's very little crime in this area
window.n.29	window	n	windows	i don't know i think in Dallas it's a lot more scary just because it's a big city i mean in Lubbock and stuff i know lots of people that don't lock their doors or you know leave their windows open at night because it's so much smaller i mean it feels safer
window.n.30	window	n	windows	you know i've taken time to teach them and now the young boy wants to know and you know like i told him you're a little bit young for a gun let me go out here and you know we'd start with the BB gun deal you know so he started with the BB gun and shot a couple of holes in a couple of windows and i took it away from him i said now
window.n.31	window	n	window	The streetlight came on outside the window.
window.n.32	window	n	window	In the window is a flap valve.
window.n.33	window	n	windows	The windows rattled madly.
window.n.35	window	n	window	The next scene, of Rodriguez deep in thought by the window, recalls the black-and-white photos of John F. Kennedy in a virtually identical pose in the Oval Office.
