id	lemma	partOfSpeech	token	context
part.n.1	part	n	part	The Wall Street Journal states that the plaintiffs' lawyers hired by Texas to try the case will receive as part of the deal almost $2.
part.n.2	part	n	part	As you know, the Annual Fund is an integral part of Cathedral's financial infra-structure each year.
part.n.3	part	n	part	Plus, the satisfaction of knowing you are doing your part to preserve the Earth's precious natural resources.
part.n.4	part	n	part	Rather, it allows us to feel energized and be pleased that we chose to be a part of a school that has achieved national recognition.
part.n.5	part	n	part	And these ties, coupled with our classroom experience, are a valuable part of our DePauw education.
part.n.6	part	n	part	Thirty-five years is a long time to have been a part of the law school community.
part.n.8	part	n	part	What part of the story did you like the most?
part.n.9	part	n	part	And eventually they, they were, Livingston, in his older, in his old age, was relegated to the, to the kitchen in the sub-basement of the building because they sold it to, to some woman in New Orleans, but they'd kept that part of the building and he loved it, that was, for him that was like, that was the greatest.
part.n.10	part	n	parts	This diminishes-- slightly-- the significance of Norma Kelsey's possible motives in verifying parts of Broaddrick's story.
part.n.11	part	n	part	The first one I ever saw had a bird braid, with a part of the A model.
part.n.12	part	n	part	Oxidative regions were located in the deep part of the gastrocnemius and expressed a majority of type I and IIa fibers (~77%), while glycolytic regions were located superficially, and expressed only type IIb and IId/x fibers.
part.n.13	part	n	part	The "chicken flu" epidemic, from which a third child has died in Hong Kong, continued to dominate the pages of the South China Morning Post, which by way of light relief reported on Monday that Hong Kong had "reclaimed part of its heritage" by setting the record for "the world's largest dancing dragon."
part.n.14	part	n	part	There is a solution in sight, however, and she tells us that she is a part of it.
part.n.15	part	n	part	You might ascribe it simply to panic, which undoubtedly played a part.
part.n.16	part	n	part	The tests are performed as a part of self-monitoring permit requirements, compliance biomonitoring inspections, toxics sampling inspections, and special investigations.
part.n.18	part	n	part	That is part of the pleasure of looking at buildings from the past.
part.n.19	part	n	part	Attestation engagements can cover a broad range of financial or nonfinancial objectives1 and can be part of a financial statement audit or other engagement.
part.n.20	part	n	part	well some kind of part where you can't even an electrical spark off the engine anymore it just the whole thing just dies when you this thing goes
part.n.22	part	n	part	yeah i i they were very good at first they were in very good financials at first and uh that's part of the reason he became a nominee is because things went so well and then of course the bottom fell out
part.n.23	part	n	part	yeah that's that's the worst part um seems to me that a lot of times people wind up in nursing homes who tend to survive major things like strokes or uh
part.n.24	part	n	part	and the other part of her family was up in uh New York state
part.n.25	part	n	parts	When Spain and Portugal remained loyal to Catholicism, and expanded their empires by settling in South America, Central America, the Caribbean Islands, and parts of North America, the rest of Europe looked on very disapprovingly.
part.n.26	part	n	parts	there're some parts during that exercise that i think i cannot do another second of this
part.n.27	part	n	part	yes well you know that's part of the aging process that your taste buds goes back to the sweet taste it really is yeah uh-huh
