id	lemma	partOfSpeech	token	context
people.n.1	people	n	people	In England, they think people are important, or not, based on their birth.
people.n.2	people	n	people	and i think that's part of the problem why people don't vote anymore because of of it's just out of people's hands and they say one vote means a lot but
people.n.3	people	n	people	but i think it's amazing that they they keep complaining about people not voting and and national elections should be more than one day i mean i don't see how you can have tens of or hundreds of thousands of people that you know just can't quite make it on that particular day for one reason or another you know
people.n.4	people	n	people	(I'm back in New York this week, and one of my favorite things about returning here is the careful division of labor among the city's newspapers: They seem to have a tacit understanding that the Times will supply the city with its news, and the tabloids will supply those things that people actually want to read about.
people.n.5	people	n	people	"I think there's a real danger that people will lose benefits because they won't understand how to handle this (money)," said Glenda Harrison, staff attorney with the Northern Kentucky Legal Aid Society in Covington.
people.n.6	people	n	people	Her, let's see, her mother's family were wealthy people at one time.
people.n.7	people	n	people	The king saved Spain by surrendering his own power to the people: Now even socialists want to preserve the monarchy.
people.n.8	people	n	people	oh i see you're thinking that if the laws were enforced in general people would be maybe people would be stopped at doing something before they got to the point of
people.n.9	people	n	people	"It may not be nice to say it," she writes at one point, "but people are not all always nice, and therefore a little social pressure can be a good thing."
people.n.10	people	n	people	Maybe people have less faith in the social sciences as well and so just want to hear about stories and personalities.
people.n.11	people	n	people	Wouldn't people pay more to see Titanic than Wild, Wild West ?
people.n.12	people	n	people	Merengue is terrific music, too, but when, half a century ago, Trujillo ordered that sound systems be set up to play it all over the Dominican Republic, it wasn't to "uplift" people but to render them passive.
people.n.13	people	n	people	The second is that with one possible exception, these are programs that the public likes--they are not at all what people object to when they rail against Big Government.
people.n.14	people	n	people	The first, obviously, is that creating a critical mass of developers turning out programs that work and that people want is the crucial task.
people.n.15	people	n	people	exactly but ninety uh probably about well i don't know about ninety but probably fifty percent of the people that have those probably don't wear the lap portion of it i know my brother doesn 't and he has one in his car
people.n.16	people	n	people	oh yeah there was a a big thing saying that it was you know invading people's rights and things like that
people.n.17	people	n	people	yeah yeah and and even changing the things i mean first off i i mean you need to address do you even need to change the signs because for so long people are going are going to be able to equate miles to kilometers i mean when you drive around Europe you do the same thing
people.n.18	people	n	people	These two facts mean that a certain amount of speculation is a normal and necessary part of the way the market works: It is inevitable and desirable that people should try to buy low and sell high, building up inventories when the price is perceived to be unusually low and running those inventories down when the price seems to be especially high.
people.n.19	people	n	people	racquetball right and and people don't want to play with somebody that they're going to beat every time you know and and uh and
people.n.20	people	n	people	On Tuesday, Izvestiya of Moscow noted an alarming new tendency in Russia: In the absence of effective enforcement of property rights, people simply grab what they think should be theirs.
people.n.21	people	n	people	One comic book, with the subtle title Li Hongzhi: The Man and His Evil Deeds , proclaims that "[Hongzhi's] illegal doings seriously disrupted the normal order of society, causing chaos in people's social and moral principles."
people.n.22	people	n	people	It should be to create zones where people can raise children in safety even if they must travel elsewhere to work.
people.n.23	people	n	people	A technological visionary must tell people what they want to hear, because your company's stock won't rise if you spout an unpopular vision to analysts.
people.n.24	people	n	people	These days, though, the polls show that people pretty clearly don't want President Clinton impeached.
people.n.25	people	n	people	more smart things that are very damaging getting in getting out uh making end runs allowing more creativity at the lower echelon levels for people to slip in slip out and do things
people.n.26	people	n	people	I like to be able to reach up on my book shelf for one of Shakespeare's plays and I would like to think that people will do that with this [Morton's] book."
people.n.27	people	n	people	Recommendation: A comprehensive U.S. strategy to counter terrorism should include economic policies that encourage development, more open societies, and opportunities for people to improve the lives of their families and to enhance prospects for their children's future.
people.n.28	people	n	people	For most of their history, Christian leaders had been content to ascribe the characteristics of the Antichrist to the Jewish people as a whole.
people.n.29	people	n	people	The Associated Press raised the specter of "people with socially unacceptable behavior being forced to undergo brain surgery."
people.n.30	people	n	people	Most people in the industry believe the hype that digital projection is destined for the near future.
people.n.31	people	n	people	* personal friend of Chatterbox, as are several other people who write or edit for Beliefnet.com; none of them wish to be associated in any way with Chatterbox's belief that God doesn't actually exist.
people.n.32	people	n	people	He started talking about homeless people and poor people and all that.
people.n.33	people	n	people	But by doing so without notice, they're catching people breaking rules that the community had, in a sense, decided didn't need to be enforced.
