id	lemma	partOfSpeech	token	context
find.v.1	find	v	find	75), but critics will find that she's a bit vague on other facts and details, when she writes, for example, "I think Mr. Shawn was the bald one.
find.v.2	find	v	found	Using a Rad26-GFP fusion protein, we found that the nuclei of cycling cells contained, on average, six Rad26-GFP dots of low fluorescent intensity.
find.v.3	find	v	found	Italian newspapers were still dominated by the political fallout from the mudslide tragedy in southern Italy (95 victims were buried Sunday); and Corriere della Sera of Milan found room only on Page 11 for a story about the "U.S.
find.v.4	find	v	found	Scientists found a planet near a star only 15 light-years away . It is the closest planet we have found beyond our solar system.
find.v.5	find	v	find	Post-Paula, Starr will find the political world a harsher place, predict Jack Germond and Evan Thomas ( Inside Washington ), Steve Roberts (CNN's Late Edition ), and David Gergen ( The McLaughlin Group ). Starr must deliver a "blockbuster" wad of evidence to make a splash, says Mark Shields (CNN's Capital Gang ). With the Jones matter resolved, the public and the pols will lean on Starr to finish his work pdq, say Thomas, Shields, Eleanor Clift ( The McLaughlin Group ), and Juan Williams (Fox News Sunday ).
find.v.6	find	v	found	Thousands of U.S. journalists found excuses to spend the week there, playing up the possibilities of political confrontation and violence (China oafishly sent thousands of troops to show everyone who's the boss) before conceding that nothing was going to happen.
find.v.7	find	v	finds	News profiles Trent Lott: Like the New York Times Magazine and the Standard , it finds him ambitious and extremely willing to compromise.
find.v.8	find	v	found	But I have to say that, on the whole, and like you, I found these devices intrusive, omnipresent, and highly distracting from what should have been the central task of the book.
find.v.9	find	v	find	Be warned that, as is the case with most chat rooms, you have to wade through a lot of ill-tempered bluster to find the occasional entry that's genuinely thoughtful or informative; but a recent Slate redesign makes it easier to zoom through to the good stuff.)
find.v.10	find	v	find	And this one, even better: "Some people just aren't meant to be teachers, and we should help them find another line of work," he says.
find.v.12	find	v	find	The objective was for sources to find the most cost-effective means for limiting SO2 emissions and to be responsible for achieving those emission reductions.
find.v.13	find	v	finding	In front of a cozy fire on a winter's night in the library of one of John Cheever's country houses, on the beach at Waikiki, even on a New York or London commuter train, finding Legerdemain in Two Senses and False Scents can be fun and games for all, and all you need is (usually) some printed matter or even just an inventive mind.
find.v.14	find	v	find	It is a shock to come across a revered architectural icon and to find the concrete stained, the painted window frames chipped, the tiles cracked.
find.v.15	find	v	find	For example, the organizations that had professional and administrative staffs said that it was difficult to find and retain employees with the level of skills and foresight that would contribute to the organization's mission.
find.v.16	find	v	find	you know so but anyhow uh and jobs aren't that hard to find to get another one that does pay your benefits you know and a lot of them that if you do get a job they don't pay benefits
find.v.17	find	v	found	right it seems to granted you're found guilty or innocent by a a group of peers of your peers but then the punishment you know can be very very severe depending on the the judge's personal uh predilection to that
find.v.18	find	v	found	and then here they've gone and um no surgeon could be found to perform the job so the judge went and withdrew the whole idea or something like that
find.v.19	find	v	finding	kind of like you though it's finding the time to do it but oh things like uh the inside of the house i always do the it all the painting in it
find.v.20	find	v	found	Some of the oldest barrios can be found in major cities, like Los Angeles, Chicago, El Paso, and San Antonio.
find.v.21	find	v	find	it would it what would be real nice is find one around the corner that you could visit that you could go in and uh talk to the people talk to some of the people's uh uh siblings
find.v.22	find	v	find	well that's no that's exactly what i was gonna say if of of because i find now that i spend more time with my grandchildren in detail i know more about them and watch their growth
find.v.23	find	v	find	At the left side of the graph where volume is least costly to deliver we find the most multiple address stops.
find.v.24	find	v	found	uh just just a you know thing we've recently started that's that we found really helpful
find.v.25	find	v	found	hello hello oh well i'm glad you found me
find.v.26	find	v	find	see i don't think that is right i think the United States should but they put down and go over there and be and just go over there and go through it period you know find out where they are some people know the government knows that's the bad part
find.v.27	find	v	found	The system therefore placed tremendous pressure on auto dealers to sell the enormous finished goods inventory found in a car lot.
find.v.28	find	v	found	The Twelve Links of Interdependent Origination61 explain that all substance is composed of non-self substances, and therefore no deep reality behind substance is to be found.
find.v.31	find	v	finding	but see right right now we're having a hard time finding people jobs
find.v.33	find	v	find	a uh intern position with IBM right now so that i can find an area to do my dissertation in it's hard finding an area to do a dissertation in this field
find.v.34	find	v	find	huh-uh i have find it hard to uh follow from one page to another it's just something i've never developed uh an interest in
find.v.35	find	v	found	When LSC staff found that one program lacked an effective way to monitor the quality of its advocates' written legal work, we gave specific directions on how the program could establish a system to ensure high quality written legal work.
find.v.36	find	v	find	I find it delightful that we hardly have the concepts to state these issues; surely we have as yet no coherent theory for this burgeoning of process and structure.
find.v.37	find	v	find	Weighing in on the "Have a nice day" debate (for a recent entry, click ); look up the etymology of "nice" in a good dictionary (I used Webster's New World ), and you'll find that the root meaning of the word is "stupid, foolish, ignorant."
find.v.38	find	v	found	Yet, this was the situation in which we found ourselves in 1863.
find.v.39	find	v	find	Newsweek 's coverage says the Web beats the malls: It's easier to find what you want, it's often cheaper, and you don't need to find parking.
find.v.40	find	v	find	here, where you should click the FIFA Online link, which you'll find on the left (under "THE BASICS").
find.v.41	find	v	find	Most businesses find that their present employees already qualify for the credit.
find.v.42	find	v	found	Between a blurred sagacity That once had power to sound him,And Love, that will not let him be The Judas that she found him,Her pride assuages her almost,As if it were alone the cost.He sees that he will not be lost, And waits and looks around him.
find.v.43	find	v	found	I found only Christ and the Virgin and the occasional saint, clad in ceremonial garments edged with golden or pearl-sewn words from liturgy or Scripture--but these were worn only in heaven.
find.v.44	find	v	found	The Random House lexicographer Jesse Sheidlower has found a reference to it in a passage from Varieties of Religious Experience , in which William James quotes words of Voltaire, for which he gives the date 1773: "All comes out at the end of the day, and all comes out still more even when all the days are over."
find.v.45	find	v	find	They find a code to live by--Islam for Malcolm, black power for Cleaver, a freaky Nietzscheanism for Abbott.
find.v.46	find	v	found	They found plenty of water pouring down from the mountains, and more timber than anyone knew what to do with.
find.v.47	find	v	found	One study of 214,000 patient records found no differences in death rates between for-profit and nonprofit hospitals.
find.v.48	find	v	found	Maybe back then if babies found themselves completely alone at night it often meant something horrific had happened--the mother had been eaten by a beast, say.
find.v.49	find	v	find	But does anyone else find it suspicious that on what will undoubtedly be one of the most important political days of their lives, so many of them were unreachable?
find.v.50	find	v	find	It makes sense, then, for a browser that can find both internal and external documents to be an integral part of the system--unless, that is, you regard browsers and operating systems as still basically different things, and view Microsoft as practicing vertical foreclosure under the guise of product enhancement.
find.v.51	find	v	found	This scenario could explain the seemingly contradictory report by others who found the H1975 cell line to be highly sensitive to gefitinib [18]; our H1975 cells could represent a subclone that emerged over time.
find.v.52	find	v	found	27 The roots of these polarized perspectives can be found in centuries-old, dramatically opposing philosophies about the nature of children and child development.
find.v.53	find	v	found	21 A more recent survey of program directors found that the average emergency medicine residency program devotes only three curricular hours to substance abuse training.
find.v.55	find	v	find	Weir added that the legal aid agencies will also recruit more attorneys from private practice to handle legal aid cases for free, and accelerate efforts to find alternative funding.
find.v.56	find	v	found	Although all were urged to swear loyalty to Bin Ladin, many, including Nashiri, found the notion distasteful and refused.
