id	lemma	partOfSpeech	token	context
sound.n.1	sound	n	Sound	The Olympic Peninsula sits perched on the northwest corner of Washington like a small state, an expanse of mountains, rivers, and coastlines wrapped by an arm of the Pacific and separated from the urban swath of Greater Seattle by the inland sea of Puget Sound.
sound.n.2	sound	n	sound	Waking up to the sound of Ruth jumping rope late at night, Joseph heard "the soft, rhythmic thump of her bare feet on the floor, like the beating of a giant heart."
sound.n.4	sound	n	sound	PC maker Gateway 2000 bills the Destination Digital Media Computer as an audio/video monster that engulfs you in a "wall of sound" as you play Doom on a 31-inch monitor with a "screaming 300 MHz Intel Pentium II processor."
sound.n.5	sound	n	sound	And although in some Mexican dialects the English sh sound has replaced ch , in standard Spanish the phoneme closest to English sh is the affricate ch, which therefore tends to replace sh in the perception of Hispanophones.
sound.n.6	sound	n	sounds	thought that was so neat that they got him over that hump and um he's in the Herman Method of Reading i don't know if you're familiar with that it is something new and basically what they do is they start right from the beginning relearning the sounds of letters
sound.n.7	sound	n	sound	But it's also true, as never before, that the archives of sound and image constitute a continuous retro loop that people can--and will--draw on.
sound.n.8	sound	n	sound	One band that typified this sound was Little Joe y La Familia (Little Joe and the family).
sound.n.9	sound	n	sounds	They make sounds under water to "talk" to each other.
sound.n.10	sound	n	sounds	the real classics i'm not as familiar with as you know the ordinary sounds that you hear every day type of thing
sound.n.11	sound	n	sounds	Moses died on the journey to the Promised Land, but Joshua took over from him, and between 1400 b.c. and 1000 b.c. the tribes of Israel conquered all the lands north and south of Jerusalem, most famously bringing the walls of Old Jericho tumbling down with the sounds of their horns.
sound.n.12	sound	n	sound	and there came the very welcome sound of a camo-white Kiowa OH-58D91, lobbing rockets into the treeline as it swooped down between the unseen pursuers and our heroes A & A.
sound.n.13	sound	n	sound	Its own name is equally imitative, not of its voice but of the sharp whirring sound made by its wings when it suddenly flies up.
sound.n.14	sound	n	sounds	You have to move out to the deep-water sounds, however, to get to the big fish such as marlin, sailfish, and tuna.
sound.n.15	sound	n	sounds	and listen for the sounds of happy folks in joyous communion .
sound.n.16	sound	n	sound	What is the sound of one hand shredding?
sound.n.17	sound	n	sounds	By this, I mean neither impoverished conditions nor excessive bombardment with sights and sounds but input that the child can absorb, as indicated by his or her approach, interest, and concentration.
sound.n.18	sound	n	sounds	The sights and the sounds of the world could go on forever, But the place of my childhood dreams could never again feel the same inside.
sound.n.19	sound	n	sound	Quite a different sound is made by the owl, whose name represents its familiar hoot, otherwise the final, longer note of its conventional call tu-whit tu-whoo .
sound.n.20	sound	n	sound	Cyclical motifs combine earthy singing and translucent instrumental syncopation to create a hypnotic sound of power and ancientness."
sound.n.21	sound	n	sound	It surely evolved from earlier use in more literal, straightforward contexts (for instance, to describe the sound of an automobile engine or a musical performance) and ultimately from the long-established and nonjudgmental phrase to make noises (that is, to express oneself about something), a construction that happily accommodates all manner of adjectival prefixes.
sound.n.22	sound	n	sounds	As you cross the bridge, stop in the middle to immerse yourself in the sights and sounds of the people, the blazing neon, and the Dotomburi River below you.
sound.n.23	sound	n	sounds	The United 93 timeline in FAA report, "Summary of Air Traffic Hijack Events September 11, 2001," Sept. 17, 2001, states that at 9:28:54 a "second radio transmission, mostly unintelligible, again with sounds of possible screaming or a struggle and a statement,'get out of here, get out of here' from an unknown origin was heard over the ZOB [Cleveland Center] radio."
sound.n.24	sound	n	sound	Note that the old t-for-th sound survives also in Esther, Theresa, the river Thames, the British pronunciation of Anthony as Antony, and the name of the spice thyme , usually called time.
sound.n.25	sound	n	sounds	But these sounds are meant to be said in haste and slurred slightly, so that whew comes across as a half-whistled expulsion of breath, not a precise word with the wh of what and the ew of ewer .
sound.n.26	sound	n	sound	He applied 47 years of experience with this art to the rather skimpy components of the Model 88, which explains how he gets such a smooth, coherent sound from not only a small box but also a cheap one.
sound.n.27	sound	n	sound	Long, luxurious smooches can end in a sound like planes of glass rubbing, or even in a cheep.
sound.n.28	sound	n	sounds	To lure Christmas shoppers, the malls promise tree lightings and other "sights and sounds of the holidays."
sound.n.29	sound	n	sound	' The allusion could be to a hand slapping the loaf, thereby producing a deep, hollow, fartlike sound.
sound.n.30	sound	n	sound	For example, Ross Perot expressed his disapproval of NAFTA and GATT by saying that, relative to jobs in this country, these trade agreements would create a giant sucking sound.
sound.n.31	sound	n	sounds	Presumably, heart sounds are not the causal consequences of the heart upon which natural selection has acted.
sound.n.32	sound	n	sounds	We sat together at one summer's end,That beautiful mild woman, your close friend,And you and I, and talked of poetry.I said, "A line will take us hours maybe;Yet if it does not seem a moment's thought,Our stitching and unstitching has been naught.Better go down upon your marrow-bonesAnd scrub a kitchen pavement, or break stonesLike an old pauper, in all kinds of weather;For to articulate sweet sounds togetherIs to work harder than all these, and yetBe thought an idler by the noisy setOf bankers, schoolmasters, and clergymenThe martyrs call the world."
sound.n.33	sound	n	sound	I have found that when the incoming music is routed through my stereo, I get excellent sound.
sound.n.34	sound	n	sound	I imagine Clark waking to the sound of skyspatter on the morning of Nov. 16 and thinking: "I can't believe this shit."
sound.n.35	sound	n	sound	The sound of young conservatives baying for DNA has subsided.
sound.n.36	sound	n	sound	The last thing you want to hear is the sound of your own worn heart.
sound.n.37	sound	n	sound	' A general comment on the treatment of the Welsh ch sound in English would have been useful, but I personally accept that theory.
sound.n.38	sound	n	sound	It is quite firm about the r -sound when it follows a vowel-sound or is at the ends of words, not dropping it as is usual with the RP but insisting that it be given full value, in various ways, as it is in Scots and Irish and, generally but not always, in the speech of most Americans except for those in New England and the South.
