id	lemma	partOfSpeech	token	context
add.v.1	add	v	adding	Lewinsky wrote "Return to Sender" on the envelope, adding, "You must be morons to send me this letter!"
add.v.2	add	v	adds	For instance, the Post also has the story about the woman meeting with Clinton just days before his first Inaugural, but adds the detail that she says all the encounters were innocent.
add.v.3	add	v	adding	Preventing developers from adding features is not as easy as it sounds.
add.v.4	add	v	add	if you add the um uh people of various sexual persuasions and those who never intend to marry and those who are retired and those who are um just looking for fun they people with families turn out to be such a small minority that they can't get the tax bill passed no matter what happens
add.v.5	add	v	added	An added benefit of a warm winter, of course, would be that it would make it clearer than ever that Gore's concern about global warming is well-founded.
add.v.6	add	v	add	To prepare a 10% solution of acid, add 10 mL of concentrated acid to 90 mL of deionized water.
add.v.7	add	v	add	To find the day of the week on which that date fell, first divide 1947 by 4: the answer is 486 (with a remainder of 3, which should be ignored); add this number: 1947 + 486 = 2433 .
add.v.8	add	v	added	uh i added up all the taxes that we were going to pay on all these different specific luxury items and travel expenses and everything else
add.v.9	add	v	added	The tripe with onions and garlic is cooked for several hours, posole or hominy is added, along with red chile.
add.v.10	add	v	adds	and they give you a half percent of that and that adds up to you know two fifty or something
add.v.11	add	v	added	If the response-to-advertising mail were also added to advertising mail it would have resulted in double counting.
add.v.12	add	v	adding	right to make it right and also adding some accessories to different different things i'm not a real um i don't like to wear really big earrings i kind of have a few gold earrings that are my favorites and just little pearls so i'm really kind of boring in a sense conservative
add.v.13	add	v	added	It is accidental in the sense that Lincoln spontaneously added the divine invocation as he neared the end of the address.
add.v.14	add	v	add	But both also miss his perplexing reality, the ambiguity of a man whose life and work refuse to add up to a simple object lesson.
add.v.15	add	v	added	To these natural ingredients have been added just about every amenity and service needed for the perfect holiday.
add.v.16	add	v	add	Simply go to www.pointcast.com, download the PointCast installation software, install the software, configure the software (using the easy-to-misunderstand instructions), then go looking for Slate, which can be found by simply right-clicking on the box labeled "connections," choosing the "personalize" option, clicking the "add" button, then clicking on "news and weather," then scrolling halfway to Ohio until you come to a listing for Slate, and then clicking on "subscribe."
add.v.17	add	v	adding	When it was revealed a while back that Franklin Roosevelt had installed listening devices in the Oval Office, a workman from those days told reporters how he'd drilled the necessary holes in the floor under FDR's desk, adding, in a phrase that was reported without comment, that those holes were "probably still there."
add.v.18	add	v	adds	A second front-page NYT piece adds that about 25 percent of Russians "would still support a Communist system of government."
add.v.19	add	v	added	Hungerford added that the intent of the recommendation was not so much that integrating the screen with the intervention gave better estimates of the performance characteristics of the screen, but that it would redress the imbalance between
add.v.20	add	v	adding	He wanted "a timely decision from the Principals," adding that the window for missions within 2001 was a short one.
add.v.21	add	v	added	Environmentalists' counterspin: Great--the added costs will reduce pollution even more.
add.v.22	add	v	adding	Term-occurrence data derived from literature profiling can be used to annotate heterogeneous gene lists, thus adding to the value of this technique as a visualization tool (Figure 3).
add.v.23	add	v	added	The issue of pronoun agreement might be laid at the door of the feminists' misguided interference with the forces of language, resulting in a nervous rejection of the masculine pronoun as the neutral one; but, in truth, the sustenance of the singular nature of words like each, everybody, everyone, etc. is probably pedantry, for sense and logic are not sacrificed by changing them to plurals, with the added benefit of avoiding the dreaded he/his/him, regarded by feminists as the bearer of the stigma of male machismo.
add.v.24	add	v	add	and uh also too much hall uh space we saw a home plan in Better Homes and Gardens about five years before we built this house that we liked except uh we wanted it a little bigger than uh uh it had two bedrooms that you could add on another bedroom
add.v.25	add	v	adds	' And N. David Mermin adds, 'We now know that the moon is demonstrably not there when nobody looks.
