id	lemma	partOfSpeech	token	context
br-f09.snum=40	ask	v	asked	The phony producer asked her if she would like to be in one of his shows.
br-c11.snum=48	ask	v	asked	He asked intimate questions and got frank answers from the members of what he calls the candidates' "in-groups''.
br-p12.snum=142	ask	v	asked	And Sam thanked her, and hoped he might meet her nephew back home, and asked her if she had any further news of the Pope.
br-a36.snum=31	ask	v	asked	The question might be asked : "Don't the managements of the heavy-electrical-goods manufacturers know these facts?
br-m03.snum=46	ask	v	asking	What Gabriel was asking was that mankind forego all its parochial moral judgments, and contract to let the Angels serve on Earth as it is in Heaven regardless of the applicable Earth laws.
br-d17.snum=121	ask	v	asked	What should I do about it, I asked myself?
br-b17.snum=66	ask	v	ask	I would ask , "Why not do both''?
br-p12.snum=112	ask	v	ask	"Since we're having coffee with them this afternoon'', he said, "I think I'll ask the daughter if we can pay her to come in every day to clean for us''.
br-k14.snum=66	ask	v	asked	Michelangelo hurried to Sangallo's solitary bachelor room with his sketches, asked the architect to design a stand which would simulate the seated Madonna.
br-l05.snum=42	ask	v	asked	Shayne asked , peering ahead at the partially obscured street sign.
br-b16.snum=7	ask	v	asked	Defense Secretary Robert S. McNamara has asked Congress for authority and funds to build fallout shelters costing about 200 million dollars.
br-a03.snum=77	ask	v	asked	For medical research he asked a 20 million dollar a year increase, from 30 to 50 millions, in matching grants for building research facilities.
br-e09.snum=12	ask	v	asked	I have never seen Caper off his feet-he seems to know nothing but' trot' and keeps trying a little harder if asked to do so.
br-b04.snum=84	ask	v	asks	If the would-be joiner asks these questions he is not likely to be duped by extremists who are seeking to capitalize on the confusions and the patriotic apprehensions of Americans in a troubled time.
br-l04.snum=14	ask	v	asked	"Did anyone see my cab''? he asked , keeping his voice casual.
br-k27.snum=52	ask	v	asked	"Who was that, young feller''? the doctor instantly asked .
br-l12.snum=39	ask	v	asked	He asked if there was anything he could do.
br-b22.snum=28	ask	v	ask	Besides the lack of an adequate ethical dimension to the Governor's case, one can ask seriously whether our lead over the Russians in quality and quantity of nuclear weapons is so slight as to make the tests absolutely necessary.
br-k05.snum=112	ask	v	asked	Since she could not act, one part suited her as well as any other, and so she was the first person to offer Mr. Lincoln a glass of water, holding it up to the box, high above her head, to Miss Harris, who had asked for it.
br-r05.snum=85	ask	v	asked	When a customer asked for alligator shoes, she said, "What size is your alligator''?
br-e09.snum=31	ask	v	asked	Torrid Freight ( Torrid-Breeze On Hal ) is a very rugged, strong-made colt with a wonderful stride who has done with ease everything asked of him.
br-b12.snum=43	ask	v	asked	Mr. Dwyer said that although it was obvious that Mr. Rayburn was not well he stopped, gave the youngster his autograph, asked where he was from and expressed the hope that he would enjoy his visit to Congress.
br-k19.snum=21	ask	v	asking	If he wanted to know anything, he would end up asking about it point-blank, but in this guileless manner he would probably receive more truthful answers than if he tried to get them by indirection.
br-a31.snum=88	ask	v	asked	Every family of Riviera Presbyterian Church has been asked to read the Bible and pray together daily during National Christian Family Week and to undertake one project in which all members of the family participate.
br-l10.snum=139	ask	v	ask	She had assumed before then that one day he would ask her to marry him.
ask.v.bnc.00020106	ask	v	asked	They told me the legal position and  asked  how hard I was prepared to fight.
ask.v.bnc.00002866	ask	v	ask	Any reader is entitled to  ask  what purpose such national anthologies serve; their best justification is making art more accessible, enabling those living artists represented to find and hold on to audiences for their work.
ask.v.bnc.00030075	ask	v	asked	In the main, they are instilled with the pragmatic games of pursuit they play with the local petty thief; and if  asked  to consider the wider nature of their role, they tend to fall back on protestations of political neutrality.
ask.v.bnc.00017742	ask	v	asked	And what happens,  asked  Henry mischievously, when Cousin Amy isn't there and your friends have an extra man?
ask.v.bnc.00012148	ask	v	asked	He wanted to rush round straight away but I  asked  him to be patient.
ask.v.bnc.00025880	ask	v	ask	Thus the pilots who are flying several different types of glider, or a glider which is unfamiliar to them, must  ask  themselves before each flight, Do I need the stick forward to lift the tail, or back a little to lift the nose?
ask.v.bnc.00020081	ask	v	asked	My full interview seemed to go reasonably smoothly so at the end of it I  asked  how long would it take for my money to come through.
ask.v.bnc.00019273	ask	v	asked	Ah well, in that case, I'd better let you know that I've  asked  Paul Spence to do some of the revision classes for your part of the course.
ask.v.bnc.00038729	ask	v	asks	His deeper and more influential education was thereby commenced, based on the key concept of oneness, which would be intensified by the traditional recitations and questionings the eldest son  asks  of his father at Passover and the other festivals, and by his presence from an early age in the synagogue.
ask.v.bnc.00009151	ask	v	ask	Further, the Catholic Church does not  ask  that the law should enshrine any particular provision because it accords with Church teaching.
ask.v.bnc.00003502	ask	v	asked	In 1971 he was  asked  to organise, at the Tate Gallery, an exhibition which he called The Essential Cubism.
ask.v.bnc.00035911	ask	v	asked	But the Act threatened his people too James looked at his back for a full minute, then  asked , Are you wishing it was like that here fires on the hill?
ask.v.bnc.00004046	ask	v	ask	Naipaul's readers could well have become inclined to  ask  why it is that his novels seem to say that there is nothing to be done in, or with, the countries of their concern.
ask.v.bnc.00019726	ask	v	asked	Need any help clearing up? he  asked , drawing the proceedings to a close.
ask.v.bnc.00010027	ask	v	ask	as Queneau used to  ask .
ask.v.bnc.00002773	ask	v	asking	The idea that there is such a thing as the spirit of a time can be awkwardly challenged by  asking , Whose time?
ask.v.bnc.00028302	ask	v	ask	If you need more advice,  ask  your health visitor, school nurse or doctor.
ask.v.bnc.00021502	ask	v	asked	Neither of us spoke for a few moments, then she  asked : Do you mind if I stay here for a little while?
ask.v.bnc.00012627	ask	v	asked	He was putting on his heavy overcoat,  asked  again casually if he could have a look at the glass.
ask.v.bnc.00019625	ask	v	asking	I'm not  asking  for a few soothing words to calm my conscience; if I can, I want to help.
ask.v.bnc.00021857	ask	v	asked	she  asked , as we went off to sit down in the lounge.
ask.v.bnc.00036050	ask	v	ask	They are to serve as long as the war lasts, and a month on top of that, they are to serve in Scotland only someone cheered or so it says, and you can  ask  Widow McCulloch, or Widow McGregor, if they have heard that anywhere before.
ask.v.bnc.00025581	ask	v	asking	The disadvantage of this method is easily demonstrated by  asking  the students as they finish if they are sure that they have not forgotten something.
ask.v.bnc.00017527	ask	v	asked	He  asked  me where a ladder like that could be found, and I took him round to the one that hangs on the side of the potting shed.
ask.v.bnc.00004507	ask	v	asks	It isn't that Ackroyd  asks  us to compare these two poor Toms, in pursuit of a theory alleging the importance of imitation.
