id	lemma	partOfSpeech	token	context
power.n.2	power	n	powers	Congressional Democrats and Republicans have cooperated in abandoning war powers.
power.n.3	power	n	power	i i have a a little bit i can't say that i'm i i would be an expert on the on the region but uh certainly uh i it it gets it gets there you you've got this this toss up between or not not so much a toss up but a a dilemma when when you want a country to have it's it's um own uh dominion or its free rein over its its own people and then on the other hand uh the uh the government in power that under what seem what seems to be popular support uh Sandinistas had to a given extent popular support um starts making overtures to the Soviet Union and and into what we consider our sphere of influence and now we're we're in this dilemma over uh United States is believes in Democracy and and self-determination where and but that on the other hand we believe in self-preservation and uh agree with the or not so much agree with but are terribly concerned about the influence Soviet influence in in what's considered to be the United States' fear of the world which is not only you we used to see spheres but now we're in a situation where the United States is looks like we're it now
power.n.4	power	n	power	Economic terms and concepts, on the other hand, have been absorbed into ordinary English by the dozens, mainly for their sheer descriptive power.
power.n.5	power	n	power	you know i i've in hindsight seen some things that i wished that you know i had done something about that was you know within my power or uh you know wish that in some ways we as parents had more control over
power.n.6	power	n	powers	He is trying to build genuinely national institutions that can overcome the tradition of allocating powers among ethnic communities.
power.n.7	power	n	power	It is tough slogging, but for the first time I sense that this commission--though divided, underfunded, timid, and without any power beyond exhortation--isn't entirely useless.
power.n.8	power	n	power	took that uh went to war with Iraq i think we that was kind of a uh display of power
power.n.9	power	n	power	and uh she was from a relatively wealthy family and when uh the Contras came into power of course with uh oh gosh darn it what's his face he's in in Florida jail now Marcos
power.n.10	power	n	power	Your writing has the power to evoke strong visual images in the mind's eye and for that very reason I feel you should show restraint when reviewing a film early in its release.
power.n.11	power	n	power	A nationwide poll that the LAT plays big both in an off-lead story and a big top-of-the-page graphic suggests that by a large margin Americans support the use of force against Iraq and additionally think the purpose of an airstrike should be to remove Saddam Hussein from power.
power.n.12	power	n	power	The paradox is that while a deal would shore up Newt's position, he hasn't got enough power to negotiate one.
power.n.13	power	n	power	government has all the power to decide who's guilty and who's not they wanted to make checks and balances against that
power.n.14	power	n	powers	i think they'll always represent a threat whether whether or not there's an active cold war or not uh it's it's a a totally different economy based on different beliefs and and uh different priorities and uh given the the uh military powers on both sides i think it's always a threat
power.n.15	power	n	power	but um i wish we didn't have to i mean i i'd rather even if a country chooses a government that's not you know exactly the kind of government that we have you know or or is in complete opposition to it at least it's their choice as as long as long it's one that's that that makes sense so to speak you know this is a government that stays in power that can stay in power but it seems like most of them don't
power.n.16	power	n	power	Now they are saying Bill Clinton's coattails might just be long enough for the Democrats to ride back into power.
power.n.17	power	n	power	yeah but i don't i think they have just as much see but i don't know i i think that they have better like we you know when we go over in Iraq and Iran that's different country but i think see that's why they don't have anything in the Soviet Union they spent more money on um what do you call um military power than anything they have more of a expense of military than we do
power.n.18	power	n	power	Imprisoned in the refrigerator, the Camembert still had the power to stink up the entire house.
power.n.19	power	n	powers	The new mission: deterring nuclear, biological, or chemical warfare by lesser powers (formalizing President Bush's implicit warning to Saddam Hussein during the Gulf War).
power.n.20	power	n	power	Also in the Atlantic : An article condemns the devolution of power to state governments, arguing that it won't save money or improve services.
power.n.21	power	n	power	The irony, in fact, is that the flat tax is the perfect relic of an era when a lack of computing power and of information made it difficult to make meaningful distinctions between groups of people, let alone individuals.
power.n.22	power	n	power	Kohl, the paper reminds, started off the whole controversy last month by acknowledging that while in power he kept secret bank accounts, but thus far has refused to identify donors.
power.n.23	power	n	powers	You apparently represent the same money powers that are seeking to destroy the representative nature of our government.
power.n.24	power	n	power	Anyway, I don't think "Lewinsky," as a verb or a noun, has the staying power of something like Heimlich, another eponym (word named after a person, for those who are reading over our shoulders) involving one person doing something physical to another.
power.n.25	power	n	power	Asked by Katie Couric on the Today Show why he faces accusations of anti-Semitism, he responded, "Because I speak truth to power and because Pat Buchanan is probably the only leader in this country who will stand up to the Israeli lobby."
power.n.26	power	n	power	Insiders bet the new pope will share John Paul II's conservative traditionalism and be "a noncontroversial figure, in his mid-60s, who is multilingual, has curial experience, and is archbishop in a nation that is not a major power."
power.n.27	power	n	power	With these designs, Hood developed the distinctly American approach to skyscrapers that would influence Van Alen and a generation of skyscraper designers: tall buildings conceived as Nietzschean symbols of corporate power or, to put it more mundanely, architecture as advertising.
power.n.28	power	n	power	The rule was reviewed by the FDA under the Order which requires Federal agencies to examine regulatory actions to determine if they have a significant impact on the States, on the relationship between the States and the Federal government, and on the distribution of power and responsibilities among the various levels of government.
power.n.29	power	n	power	right um i i guess i'm not so concerned about an organized danger uh maybe for the maybe for the simple reason that um despite the fact that they do have uh you know probably a large uh substantial nuclear capability uh i'm not sure that that all of that capability is organized anymore i mean you know just along with it with the dissolution the that the of the uh Soviet Union i think that a lot happened with the dissolution of their of their military power
power.n.30	power	n	power	The Black Legend originated in the sixteenth century during the Protestant Reformation, with the beginnings of a rejection of Catholicism and abhorrence of the political and military power of Spain.
power.n.31	power	n	power	From the outset of the Industrial Revolution, spinning, weaving, and finishing have called for substantial investments in plants, power, and equipment.
power.n.32	power	n	power	Unlike many of his peers, Siegfried was convinced by 1932 that the Nazis would take state power in order to save capitalism for the German bourgeoisie and its English investors.
power.n.33	power	n	power	That is, the number of possible static categories of our tiny 100-spin system is about 10 raised to the power written with 1 with 29 zeros after it.
power.n.34	power	n	power	8) The common currency will help global corporations while stripping each European nation of its power to make its own destiny.
power.n.35	power	n	power	His decisions, particularly in the early stages of the war, suggest a willingness to assert extraconstitutional executive power and, thus, to permit the exigencies of war to restructure the government.
power.n.37	power	n	power	Perhaps rightly, few of them believe there's enough money, security, fame, power, and love to go around.
power.n.38	power	n	power	Densely packed buttresses facing seaward create an extraordinary effect of power and beauty, especially when they blaze like gold in the setting sun and cast their reflection in the pool below.
power.n.39	power	n	powers	Inspired by Caruso's example, we turned the powers of AutoSummarize on four basic documents of Western Civilization and four contemporary texts:
power.n.40	power	n	power	Given Tocqueville's anti-statist purposes, it is not surprising that contemporary critics of the U.S. federal government celebrate the great Frenchman's stress on voluntary associations (understood as functioning in opposition to bureaucratic state power).
power.n.41	power	n	power	3: If it's true that campaign finance reform would give the editorial pages such awesome power, it's darned impressive that the Journal alone is immune to this temptation.
power.n.42	power	n	powers	But she, for one, is so humbled by the wrath of Giuliani, whose know-nothingism is attached to fearsome punitive powers, that she has joined her local chapter of Pundits Anonymous.
power.n.43	power	n	power	Among these include the slow start of the 107th Congress due to the power sharing arrangements in the Senate, closer margins and committee leadership changes in the House, and delay in filling many Bush Administration policy positions.
power.n.44	power	n	power	well i i think this has always been the case with the American public in that it's made up of a bunch of special interest groups it's only recently that special interest groups have started to exert more power
power.n.45	power	n	power	people always say how how can these politicians be in power and stuff but i guess they forget that they're the ones who put them there in the first place you know they're always they're always trying to find third third alternatives like um you know uh limiting limiting number of years in office for instance but you know all they have to do is vote him out of office you know it's almost like they want to be forced to vote the way that they could in any case you know what i mean
power.n.46	power	n	power	But the adoption of steam power in New England was delayed until the 1850s and 1860s, at which time most of the significant water-power sites were already in use.
power.n.48	power	n	power	The Congress shall have power to enforce the foregoing provisions by appropriate legislation.
power.n.49	power	n	power	In his 1755 Dictionary , Samuel Johnson derided the idea that a dictionary "can embalm his language, and secure it from corruption and decay, that it is in his power to change sublunary nature, and clear the world at once from folly, vanity, and affectation."
power.n.50	power	n	power	(Its power as an organic whole is no accident: Miles Ahead was recorded in bits and pieces, and "The Meaning of the Blues" was the only full, unspliced ensemble performance on the album.)
power.n.51	power	n	power	The Mississippi was untamed when the location was found by the French and changed course regularly through the vast flat delta its power had created.
power.n.52	power	n	power	He sought it in power, in the love of the crowd, and especially in casual sex.
power.n.53	power	n	power	Mandatory standards enlarge government power to penalize makers who don't abide by the rules and also give U.S.
power.n.54	power	n	power	USA Today leads with a poll indicating that most Americans believe the IRS has too much power and frequently abuses it.
power.n.55	power	n	power	The majors also dutifully tell us that today's New England Journal of Medicine concludes that power lines probably don't give you leukemia.
power.n.56	power	n	power	I was as least equally interested in--and impressed by--Cook's awareness of how much Eleanor came to savor power.)
power.n.57	power	n	power	The massive departments and agencies that prevailed in the great struggles of the twentieth century must work together in new ways, so that all the instruments of national power can be combined.
power.n.58	power	n	powers	4) Nominee-stoning is what the two-party system and separation of powers are for.
power.n.59	power	n	power	and and handguns are just fine and i just think you know there's some middle ground there to where that they maybe go overboard and do too much they i guess they do have a lot of lobbying power power and you know their big thing is well if you you stop banning one type then it's going to lead to the next and so on and
power.n.60	power	n	power	Curanderas are sometimes mistaken for witches because of their healing power, but they are also often called upon to undo the work of witches.
power.n.61	power	n	power	He wants to write a clear exhortation to his peers: voting for Kerry is only an unpleasant first step in a genuinely worthwhile project: he wants to argue that world-historical changes require that we accede to-nay, accelerate-the decline and fall of the United States as a global power.
power.n.62	power	n	power	A good guess is that an organism or organization needs to be poised in an ordered regime, near the edge of chaos, where a power law distribution of small and large avalanches of change propagates through the system such that it optimizes the persistent balance between exploration and exploitation on ever-shifting, coevolving fitness landscapes.
power.n.63	power	n	powers	This is most noticeably clear in dictatorial societies where legal debate is reduced to little more than efforts to placate the powers that be.
power.n.64	power	n	power	The only problem is that he's come to power at the dawn of a confusing new era, when globalization is blurring national boundaries and the world is more vulnerable than ever before to random, heavily accented terrorist villains.
power.n.65	power	n	power	But they had total power over her, deciding where she lived, how big an allowance she got, and when and where she could travel.
power.n.66	power	n	power	The Camelot myth crumbled long ago under the strain of molls, mob money, election fraud, and foreign adventurism, and it is precisely this sordid mix--sex, glamour, power--that accounts for much of Kennedy's enduring appeal.
power.n.67	power	n	power	The real power in the panel rests with Harvard law Professor Christopher Edley Jr.
power.n.68	power	n	power	Surely there is something unlovely, to modern as against medieval minds, about marked inequality of either kind [income or power].
power.n.69	power	n	power	Slate is already adding features to take advantage of IE4's enormous power, beauty, and sophistication.
power.n.70	power	n	powers	During Waldrop's last years, he remained a very knowledgeable observer of the Washington scene; indeed, Chatterbox himself used Waldrop as a source from time to time, and always found his memory and powers of analysis razor-sharp.
power.n.71	power	n	power	The NYT and LAT call this provision giving Daschle a "veto" power over the subsequent course of the trial.
power.n.72	power	n	power	The Times favors censure over impeachment because it says the latter in Clinton's case assaults the Constitution in that it threatens what it calls "the jewel in the crown of American democracy," an orderly succession of presidential power.
power.n.73	power	n	power	The struggle against Islamist terrorism is so important that any clear-cut centralization of authority to manage and be accountable for it may concentrate too much power in one place.
