id	lemma	partOfSpeech	token	context
life.n.1	life	n	lives	If you can increase your last donation, we would appreciate that show of support for the campers and their efforts to overcome obstacles and create successful lives.
life.n.2	life	n	lives	We're asking for a contribution in the amount of because you can't got a better bang for your buck than to support an organization that impacts so many lives in so many ways.
life.n.3	life	n	life	Michael is the author of Liar's Poker , the best-selling memoir of life as an investment banker in the 1980s.
life.n.4	life	n	lives	We live longer, happier, wealthier lives than ever before.
life.n.5	life	n	life	That means we now have the opportunity to be a stable, positive and important part of each child's life for an entire decade.
life.n.6	life	n	life	The commentariat cleaves the Clinton Scandals into three issues this week: 1) the mud-storm surrounding Kathleen Willey; 2) Congress' readiness to receive Kenneth Starr's report; and 3) Robert Bennett's about-face on publicizing Paula Jones' amorous life.
life.n.7	life	n	lives	A real difference in people's lives -- in all of our lives.
life.n.8	life	n	life	She's been searching for signs of extraterrestrial life ever since she was a little girl.
life.n.9	life	n	life	Today, we are offering you the opportunity to help change a life.
life.n.10	life	n	life	Sex Pistols manager Malcolm McLaren chronicles his wild '70s life, focusing on Sid Vicious' 1978 arrest for his girlfriend's murder.
life.n.11	life	n	lives	You can help make positive changes in the lives of at-risk youth in central Indiana.
life.n.12	life	n	lives	Her dedicated efforts have improved the lives of countless poor Texans by opening for them the doors of our justice system.
life.n.13	life	n	life	Down there, more than in other places, electricity is power, the fine bright line between life and no life, which is the same thing as between life and death.
life.n.14	life	n	life	If we are Gradgrind-like empiricists, living our life for "welfare maximization" as described in introductory econ. courses, the conclusion is obvious.
life.n.15	life	n	life	This has alleviated a lot of stress in my life, and I really don't miss them at all.
life.n.16	life	n	life	When Jerry was released from prison, he knew it would take hard work and determination to straighten out his life.
life.n.17	life	n	life	The marginal cost of killing an innocent party would be quite low if the sanction for stealing radios were life imprisonment for first-time offenders.
life.n.18	life	n	life	Your contribution will make a difference in a child's life.
life.n.19	life	n	life	A scan of the headlines found cheek-by-jowl on the WP 's Page A6 provides an interesting snapshot of the life of the modern Cabinet officer: "[Ex-HUD Secretary] Cisneros's Ex-Mistress Pleads Guilty," "[Labor Secretary] Herman Denies Allegations of Influence-Selling Scheme," and "Two Tyson Foods Executive Indicted Over Gifts to [Ex-Agriculture Secretary] Espy."
life.n.20	life	n	life	Cash: "I'm not going to get upset over somebody else's life.
life.n.21	life	n	life	Answer 34,700 opportunities to change a life!
life.n.22	life	n	lives	This is the time of year when our thoughts turn to ways to do things differently, things that will make our lives better and improve the quality of our life.
life.n.23	life	n	life	Between June 21 and August 31, 45 youth will spend 20 hours a week developing life management and work ethic skills, learning the computer, visiting area colleges, and interacting with guest speakers.
life.n.24	life	n	life	In fact, extreme weather is the most interesting part of life in Nebraska.
life.n.25	life	n	life	He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didn't count on the obstacles that would be thrown up in his path.
life.n.26	life	n	life	..I had my second chance to change my life."
life.n.27	life	n	lives	It is or should be run for the benefit of ordinary people in their daily lives.
life.n.28	life	n	life	Enjoyment of life is reduced when one produces more than one consumes?
life.n.29	life	n	lives	And that's the spookiness: We saw the ruins and wondered about the lives, and now, with these two books, the ruins are speaking and the place has come miraculously to life.
life.n.30	life	n	lives	Nobody knows what the exact count is, and how many of these uses involve saved lives, or saved lives of kids.
life.n.31	life	n	life	You can make a difference in a child's life.
life.n.32	life	n	life	It is a pivotal time in the life of a young girl-when small changes in her behavior, or the choices she makes, can affect her future.
life.n.33	life	n	life	Anyone who has lived through energy crisis and debt crisis, inflation and disinflation, Reaganomics and Clintonomics, has to know that big surprises are part of life.
life.n.34	life	n	life	You make everyone's life simpler, and you get lower rates by getting rid of loopholes and making the law neutral among different kinds of income; you promote economic efficiency.
life.n.35	life	n	life	With a promising new job at a plastic injection molding manufacturer, his legal troubles in check and a safe place to live, Jerry can get on with the business of building a life for himself and contributing to his community.
life.n.36	life	n	life	If life is a war of all against all, what guarantee do we have that adhoccery will work, no matter how inspired?
life.n.37	life	n	life	Would Exley, who died seven years ago, feel pity and fear for the life Gifford now leads as the consort of monomaniacal talk show host and tabloid cover girl Kathie Lee Gifford?
life.n.38	life	n	life	Who's killin' us, robbin' us of life and light?"
life.n.39	life	n	lives	This is positive proof that Big Sisters one-to-one mentoring program helps change lives.
life.n.40	life	n	life	When it comes to handling the rest of your life, we give you exactly the same advice.
life.n.41	life	n	life	The Term Paper Artist does earn some praise, though, for its playful reference to another crisis in Leavitt's life: the British poet Stephen Spender's allegation that Leavitt plagiarized Spender's memoirs in an earlier novel.
