id	lemma	partOfSpeech	token	context
win.v.1	win	v	win	it be fun just to win one wouldn't it that would be great alrighty well i i think that's all that we need to say
win.v.2	win	v	win	"The more closely Sydney's campaign to win the right to host the 2000 Olympics is examined, the more unpleasant it looks," the Herald said.
win.v.3	win	v	wins	Reno "took a beating" (Juan Williams, Fox News Sunday ) and "didn't give an inch" (Michael Duffy, PBS's Washington Week in Review ) or "flinch" (Mara Liasson, Fox News Sunday ). Then, reported the pundits, she "shellacs them" (Nina Totenberg, Inside Washington ) in a "masterful performance" (Sam Donaldson, ABC's This Week ) and "wins the moment" (Clarence Page, This Week ).
win.v.4	win	v	win	i will get on it one day and see if i can uh um what what do they win they they win money i think don't they
win.v.5	win	v	won	Archer won about $750,000 in damages against tabloid newspaper the Daily Star after it alleged that he had consorted with a prostitute.
win.v.6	win	v	won	The Republicans won: 1) a 0.38 percent across-the-board budget cut; 2) increased spending on defense and veterans' health; and 3) the ability to claim to have protected the Social Security surplus.
win.v.7	win	v	won	In Corriere della Sera , a front-page comment by Tullio Kezich, headlined "Shame on you, Hollywood," complained that "this undisputed giant of the Seventh Art" won only one Oscar, and that only for the special effects in 2001: A Space Odyssey . In La Repubblica , in which his death was the main front-page lead Monday, Michele Serra compared him to Salman Rushdie, but as a fugitive from "another kind of fatwa, a typically Western one: condemnation to fame, photographs and interviews, television and awards ceremonies, juries and society; because he was, after all, the most famous and celebrated living author of the most important language of the century, the cinema."
win.v.8	win	v	win	yeah yeah well he likes those crane games you know where you try to win a toy
win.v.9	win	v	won	that's incredible i've never won not one thing from a radio station i haven't tried i probably haven't tried two hundred and thirty times
win.v.10	win	v	won	so i picked it up and i did some stuff and i entered it into the state fair and i won a couple ribbons and said well okay but for some reason it just didn't really catch my thing but my hobby of collecting Mickey Mouse
win.v.11	win	v	winning	In this case, George W. Bush would be a fool to allow that to happen even if he stood a chance of winning a judgment against St. Martin's.
win.v.12	win	v	win	6) Israeli politics will fragment, nobody will win, and tiny fringe parties will be able to blackmail the next government, just as they blackmailed Netanyahu.
win.v.13	win	v	win	Included was one to Anheuser-Busch whose "Buy the Beer, Get the Gear" campaign required drinking 27,000 bottles (or cans) of beer in six months to win a pool table.
win.v.14	win	v	won	well i felt a little guilty but not much when uh Robin Yount won the MVP instead of Sierra
win.v.15	win	v	won	The U.S.S.R. won World War II by losing 8 million soldiers.
win.v.16	win	v	won	The heavily decorated, including those who won the Medal of Honor, Distinguished Service Cross, Navy Cross, Air Force Cross, Distinguished Service Medal, Silver Star, or Purple Heart;
win.v.17	win	v	winning	To find out who's winning, click . (And check out "International Papers" for reactions from around the globe.
win.v.18	win	v	won	The Los Angeles Times emphasized that Riordan won support from almost every ethnic group (overcoming the city's reputation for racial conflict) and did better than any Republican candidate in the city's history.
win.v.19	win	v	win	A darling was a young, lovable, charming, usually young, woman who was admired and desired, prized among eligible men because the woman was (supposedly) of good morals, thus chaste and a good catch to woo and win as a wife.
win.v.20	win	v	win	The pro-gambling folks will win credit for cooperating, without having to do anything that really hurts.
win.v.21	win	v	won	(The piece recently won a National Magazine Award.)
win.v.22	win	v	won	The Kansas City Athletics, for example, were essentially a farm team for the Yankees during the 1950s and early 1960s, and not coincidentally the Yankees won pennant after pennant.
win.v.23	win	v	win	Jan Ullrich became the first German cyclist to win the Tour de France.
win.v.24	win	v	won	But if you start to take Keyes seriously enough to criticize him in this way, he has already won his battle, which is to not be ignored.
win.v.25	win	v	win	With Primakov's support, analysts now expect the coalition to win the parliament--now controlled by the Communists--and the presidency--now controlled by the outgoing Boris Yeltsin, who last week chose new Prime Minister Vladimir Putin as his preferred successor.
win.v.26	win	v	won	HOLYOKE - An ordinance that will help the city recoup thousands of dollars in fines from abandoned car owners has won the support of the police chief.
win.v.27	win	v	winning	He established himself as a premier residential architect, winning commissions in the United States and abroad and receiving numerous design awards.
win.v.28	win	v	win	In this version it is a battle between good and evil to see who can win the most souls.
win.v.29	win	v	win	Let the good win, even if they won't take me Wont they take me?
win.v.30	win	v	win	yeah is is fairly familiar the thing that i thought was interesting was that the critics apparently it's gonna win everything
win.v.31	win	v	winning	and they're out winning awards you know and then and then the younger kids think they're great and everything
win.v.32	win	v	won	It has been known since the seminal work of Jacob and Monod in and , work for which they won the Nobel Prize, that genes can turn one another on and o.
win.v.33	win	v	winning	The alternative view of the case, winning support from four justices, including Oliver Wendell Holmes, Jr. and John Marshall Harlan, was that limiting hours of employment was a legitimate way for the state to exercise its responsibility to protect the health of those who chose to work as bakers.
win.v.34	win	v	won	The collection won a Best Furniture award at this year's International Contemporary Furniture Fair.
win.v.35	win	v	won	He hasn't, however, always won.
win.v.36	win	v	won	During the 14th century the Turks in Anatolia rallied under the banner of one Osman Gazi, who had won a great victory over the Byzantines in 1301.
win.v.37	win	v	won	Ironically, the Hancock tower enriched the church when the church won $11.
win.v.38	win	v	win	During a debate on feminism, the philosopher Hannah Arendt once passed a note to a colleague that said, "What do we lose when we win?"
win.v.39	win	v	won	Professional moralist Gertrude Himmelfarb and conservative economist Milton Friedman won $25,000 lifetime-achievement awards.
win.v.40	win	v	wins	The U.S. women's hockey team wins the gold medal?
win.v.41	win	v	win	Woods became the first black or Asian-American to win a major golf tournament, and broke the course records for best score (18 under par), biggest margin of victory (12 strokes), and youngest victor (he is 21).
win.v.42	win	v	won	The magazine profiles former anti-apartheid activist Mamphela Ramphele, who now heads the University of Cape Town: She has won admirers (and enemies) by insisting that the university not adjust its standards to favor black students.
win.v.43	win	v	won	Barry Sanders was a supermarket stock boy and backup running back at Oklahoma State who won the Heisman Trophy his first and only year as a starter.
win.v.44	win	v	won	But Primus hasn't won many battles with the triangulating, welfare-reforming White House lately.
win.v.45	win	v	win	The two said nice things about each other after their session, but Buchanan didn't win Ventura's blessing.
win.v.46	win	v	win	but i'm there's some people that i think there's a cheerleader that's suing a school for wanting to drug test her and i haven't heard if she's going to win or not but um like a high school
win.v.47	win	v	won	The insights he had won from his explorations of consciousness made Venison very clear about enemies: he summoned Amby and the Pride of Sirenia bodyguards.
win.v.48	win	v	won	i haven't seen that and i and i you know it of course won a lot of Academy Awards
win.v.49	win	v	won	I read David Plotz's "The (Not Yet) Around-the-World Balloonists" on a flight from London to L.A., sitting next to a New Zealander who had just won a transatlantic rowing race.
win.v.50	win	v	won	As Lukacs observes, Irving has not scrupled to invent "evidence" that Stalin planned to attack Germany before Hitler's invasion and that "Hitler again and again ordered the 'Jewish problem' set aside until the war was won."
win.v.51	win	v	Win	One, Comedy Central, carries a new program, Win Ben Stein's Money , for which I confess a special interest.
win.v.52	win	v	won	With the Cold War won, the budget balanced, crime in free fall, and the economy booming, politics is so free of important content that elections can hinge on who will be nicer to cars.
win.v.54	win	v	won	The Post lead says the committee Republicans won a vote allowing pursuit of alleged Clinton fundraising abuses, and the White House is considering not presenting any defense whatsoever to any areas the committee has raised--because, in the words quoted from presidential spokesman Joe Lockhart, the HJC has been "hijacked by extremists."
win.v.56	win	v	won	With these initial victories won by the middle of 2002, the global conflict against Islamist terrorism became a different kind of struggle.
win.v.57	win	v	won	American Beauty won three Golden Globes, including Best Drama . Acting awards went to Hilary Swank for Boys Don't Cry , Denzel Washington for The Hurricane , Janet McTeer for Tumbleweeds , and Jim Carrey for Man on the Moon . HBO series, including the critically hyped The Sopranos , won most of the television awards.
win.v.58	win	v	won	The campaign delivered hundreds of thousands of petitions to House members, swamped congressional switchboards with 250,000 calls, and won meetings with more than 200 representatives--all through what Boyd and Blades call "word of mouse."
win.v.59	win	v	win	(Three years ago, Angelopoulos bad-mouthed Cannes when his film Ulysses' Gaze didn't win.)
