id	lemma	partOfSpeech	token	context
br-j41.snum=5	paper	n	paper	The model of this paper considers an industry which is not characterized by vigorous price competition, but which is so basic that its wage price policies are held in check by continuous critical public scrutiny.
br-j11.snum=64	paper	n	paper	In 1948, Afranio do Amaral, the noted Brazilian herpetologist, wrote a technical paper on the giant snakes.
br-j59.snum=8	paper	n	paper	It was for this reason, and no other that I can see, that in September 1912, Braque took the radical and revolutionary step of pasting actual pieces of imitation woodgrain wallpaper to a drawing on paper , instead of trying to simulate its texture in paint.
br-l17.snum=69	paper	n	paper	Killpath sailed the paper across the desk, but Matson didn't pick it up or even glance at it.
br-k17.snum=88	paper	n	paper	Andrei glanced up over the top of the paper and looked into the mustached, homely face of Sergeant Styka.
br-g31.snum=29	paper	n	paper	Young Morris, who, while attending the University of Pennsylvania, also taught and edited a paper , found time to write Henrietta twenty page letters on everything that engaged his interest
br-k14.snum=28	paper	n	paper	In particular he sought the gentle, sweet-faced nuns, with head coverings and veils coming to the middle of their foreheads, remembering their expressions until he reached home and set them down on paper .
br-j59.snum=14	paper	n	paper	By its greater corporeal presence and its greater extraneousness, the affixed paper or cloth serves for a seeming moment to push everything else into a more vivid idea of depth than the simulated printing or simulated textures had ever done.
br-j59.snum=48	paper	n	paper	Left in their previous atom-like smallness, they would have cut away too abruptly into depth; and the broad, opaque shapes of pasted paper would have been isolated in such a way as to make them jump out of plane.
br-j59.snum=21	paper	n	paper	In their very first collages, Braque and Picasso draw or paint over and on the affixed paper or cloth, so that certain of the principal features of their subjects as depicted seem to thrust out into real, bas-relief space - or to be about to do so - while the rest of the subject remains imbedded in, or flat upon, the surface.
br-j03.snum=70	paper	n	paper	However, there are photographs of suspended drops of cyclohexanol phthalate ( viscosity 155 poises ) suspended in corn syrup of 71 poises in a paper by Mason and Bartok.
br-n17.snum=9	paper	n	papers	"No, I remembered reading about you in the papers and that you lived here, and when it happened all I could think of was -''.
br-e31.snum=14	paper	n	papers	The shooting development program of the Sporting Arms and Ammunition Manufacturers ' Institute has successfully published these facts in all major outdoor magazines, many national weeklies and the trade papers .
br-j02.snum=34	paper	n	paper	A detailed study of this latter phenomenon was not attempted in this paper .
br-l11.snum=26	paper	n	paper	You have your paper horn clutched in your big, craggy fist, and for your entrance you have planned a noisy, colorful and exuberant greeting to your friends and tenants.
br-j03.snum=72	paper	n	paper	Measurements on the photograph in this paper give * * f at the maximum rate of shear of * * f.
br-l10.snum=112	paper	n	paper	The figures on the worksheet paper in front of her were jumping and waving around so badly it was all she could do to make them out clearly enough to copy them with the typewriter.
br-j34.snum=38	paper	n	paper	A second explanation is suggested by the material described in Rowlands' paper .
br-j59.snum=19	paper	n	paper	Instead of isolating the literal flatness by specifying and circumscribing it, the pasted paper or cloth releases and spreads it, and the artist seems to have nothing left but this undepicted flatness with which to finish as well as start his picture.
br-f20.snum=21	paper	n	paper	He then got a job with the Chicago Herald-Examiner as a circulation slugger, a rough fighter employed to see that his paper 's news pitches were not trespassed upon by rival vendors.
br-g31.snum=14	paper	n	papers	Under her father's influence it did not occur to Henrietta that she might write on subjects outside the Jewish field, but she did begin writing for other Anglo Jewish papers and thus increased her output and her audience.
br-j03.snum=45	paper	n	paper	This can be justified thermodynamically in this case, and this will be done in a separate paper which is being prepared.
br-r05.snum=45	paper	n	paper	Readers of the Reader 's Digest are familiar with such items which often appear in its lists of verbal slips, like the ad in a California paper that advertised "House for rent.
br-j34.snum=92	paper	n	paper	But it would seem more intended as a tract advocating the prosodic theory than a paper directed to the specific problems of Igbo phonology.
br-f18.snum=38	paper	n	paper	In the South, after the first year of the war, paper and ink were very poor.
paper.n.bnc.00039178	paper	n	paper	There must have been several dozen possible suggestions for an essay from that  paper  political, industrial, military ( the Korean war was still ongoing ), in sport or arts, etc. etc.
paper.n.bnc.00021946	paper	n	papers	A couple of  papers  were duly bought and after that we parted company.
paper.n.bnc.00115103	paper	n	paper	The avalanche of red tape surrounding events such as this ( the entire population of New Delhi appears to be employed handing out forms to fill in ) has to be seen to be believed, and it is by no means certain that, come 1 November, there will be any  paper  left to provide the winners with their cheque.
paper.n.bnc.00067930	paper	n	paper	One end of W is rapidly but delicately electrically vibrated allowing the writing head to make equally rapid, if intermittent, contact with the  paper .
paper.n.bnc.00069202	paper	n	papers	Such knowledge is progressive, rendering earlier versions of itself obsolete, and it circulates quickly and visibly through the accepted professional channels, like journals and conference- papers .
paper.n.bnc.00101869	paper	n	papers	The Zeila Fishing Community Training Centre, built by a United Nations fund, has been looted, every removable part of its generator has gone and its floors are littered with excrement and  papers  from upturned cupboards.
paper.n.bnc.00092455	paper	n	paper	They do not make the distinction between an image on canvas or panel and one on  paper  which seems so obvious indeed axiomatic to Europeans.
paper.n.bnc.00096163	paper	n	paper	Papersave sells recycled  paper  for everything from quality stationery, to 
paper.n.bnc.00035885	paper	n	paper	They have done their homework too they have it down on  paper .
paper.n.bnc.00069124	paper	n	papers	It is here that research  papers  are generated and read and discussed, and where the academic superstars go through their paces and inspire their dedicated students.
paper.n.bnc.00002141	paper	n	paper	No journalist will risk prison to put an article in the  paper .
paper.n.bnc.00092454	paper	n	paper	Japanese collectors find it easy to appreciate prints, because works on  paper  are very much part of their own cultural heritage.
paper.n.bnc.00033271	paper	n	papers	Pushed books and  papers  into piles, threw discarded clothes into the bedroom.
paper.n.bnc.00029383	paper	n	paper	A further example from the Police Foundation Oxford Conference gives some indication of the different perspectives which exist for the analytic researcher and the practical policeman: Barrie Irving, the Police Foundation director has presented a  paper  today outlining research into the Police and Criminal Evidence Act ( PACE ).
paper.n.bnc.00096162	paper	n	paper	Dismissing the myth that recycled  paper  is sub-standard, Papersave is offering finishes as fine as watermarked business papers, and in many cases prices are cheaper than for virgin' 
paper.n.bnc.00117535	paper	n	paper	The Communist youth  paper , Junge Welt, printed a complaint by show-business personalities that colleagues had been arrested, harassed or forbidden to appear for defying orders not to read out an appeal for reforms during their performances.
paper.n.bnc.00096137	paper	n	paper	Normal tissue  paper , like most 
paper.n.bnc.00030110	paper	n	paper	The detective has therefore moved away from the centrally important activity of seizing the villains into a manipulated world where the  paper  exercise of statistical detections is used to assuage politicians, the media, and a public obsessed with the moral panic of increasing crime rates.
paper.n.bnc.00009852	paper	n	papers	And Goldberg, pushing back his chair, stepping over the piles of  papers  and magazines littering the floor of his study, scanned the bookcase, found what he wanted, brought the book back to his desk, licked his middle finger and turned the pages, found the passage and copied carefully into the margin: only his mind remains unchanged.
paper.n.bnc.00047048	paper	n	papers	The man selling the evening  papers  by the bend of that road yonder.
paper.n.bnc.00109246	paper	n	paper	Among innumerable other tasks they are responsible for stamping the lead or  paper  seals which enclose wine bottle corks.
paper.n.bnc.00003530	paper	n	papers	Some trial and error should eliminate the laziest  papers , whose critics do no more than pillage catalogue introductions, or even press releases.
paper.n.bnc.00109352	paper	n	paper	The  paper  quotes documents which suggest the pilot learnt that the French authorities had received several bomb threats against UTA's African flights which were not passed on to him.
paper.n.bnc.00030612	paper	n	paper	The dream drifted away, and for once she had pen and  paper , made a cigarette and wrote until the alarm went off.
paper.n.bnc.00029470	paper	n	paper	In consequence, even the publication of an academic seminar  paper  carried out without formal approval could form a breach in the regulated structures of police existence and be subject to disciplinary control.
