id	lemma	partOfSpeech	token	context
suggest.v.1	suggest	v	suggest	This isn't to suggest that there's any obligation--as you say about the mental health profession--to intervene against people who hold racist beliefs.
suggest.v.2	suggest	v	suggest	Luckily for them, though, we're much further from that world of perfect competition than much recent hype would suggest.
suggest.v.3	suggest	v	suggested	The NYT cites law enforcement officials saying that the tape supports their account that the canisters bounced harmlessly off the bunker's roof and hence could not have started the subsequent lethal fire, and also points out that nobody in law enforcement, including Reno, has suggested that the tear-gas devices contributed to the fire.
suggest.v.4	suggest	v	suggest	But she doesn't suggest abandoning the visuals; she wants them to be more attainable and uplifting.
suggest.v.5	suggest	v	suggest	While Gates and Ballmer stress their similarities, Microsoft optimists and Ballmer supporters spin the nerd-frat boy dichotomy as a good thing: Whereas Gates understands gadgets, they suggest, Ballmer understands people.
suggest.v.6	suggest	v	suggested	The angles of every high quality section were included and angles whose morphology suggested drainage was not possible were rated severe.
suggest.v.7	suggest	v	suggested	Inside, an opinion piece suggested that on hearing news of the bombardment, "no impartial judge could avoid the immediate suspicion that it was a desperate maneuver to distract world public opinion."
suggest.v.8	suggest	v	suggested	But we've suggested that the scope of argument is narrower than I suspect it still remains in the United States ...
suggest.v.9	suggest	v	suggests	2002), which suggests that the number of deaths in non-elderly populations (and thus the potential for greater loss of life years) may be significant.
suggest.v.10	suggest	v	suggesting	On the one hand, there are quite a number of words and phrases suggesting that computers are powerful and frightening.
suggest.v.11	suggest	v	suggests	An easel in the corner suggests that this is his own house, in which case, the woman sunk deep into an easy chair, reading a newspaper may be his Irish mistress.
suggest.v.12	suggest	v	suggests	The first statement suggests that the rate difference be set equal to the simple cost difference.
suggest.v.13	suggest	v	suggests	He suggests that there is a "protointelligence" in matter, so that new evolutionary developments do not emerge in a random fashion but creatively as relatively integrated wholes from implicate levels of reality.
suggest.v.14	suggest	v	suggest	These reviews allowed us to monitor program development, to learn about problems and to suggest new strategies for expanding access and enhancing quality.
suggest.v.15	suggest	v	suggested	By use of an equation suggested by Zurek relating the decoherence timescale, Td, to the relaxation timescale, Tr, of the system, in which increasing mass and area increase the rate of decoherence in proportion to their product, it can be qualitatively shown (via suciently rough arguments) that geometry may well be thought of as decohering, and doing so on a length scale of about cm, which is smaller than the Compton radius of the electron and even smaller than the radius of a nucleus.
suggest.v.16	suggest	v	suggesting	While accusing Democrats of cynicism for suggesting that impeachment would undermine the war effort, Republicans argue that impeachment is the best way to honor the war effort.
suggest.v.17	suggest	v	suggesting	I am on the verge of suggesting another restaurant, lest I "collide" with the other man.
suggest.v.18	suggest	v	suggest	What does Taylor suggest?
suggest.v.19	suggest	v	suggest	Michael Daniels, Bernie Devlin, and Kathryn Roeder of Carnegie Mellon University took the same studies on which Herrnstein and Murray based their estimate, and subjected them to a computer meta-analysis ("a powerful method of statistical analysis"-- The Bell Curve ). Their paper, which has not yet been published, says: "In brief, studies of IQ, and our reanalyses of them, suggest a narrow-sense heritability of 34 per cent and a broad-sense heritability of 46 per cent.
