id	lemma	partOfSpeech	token	context
meet.v.1	meet	v	meet	um they come from well they all meet in Portland and they come as far as oh Seattle and and sometimes we've gone and we were from we were living in Utah at the time
meet.v.2	meet	v	met	However, the school does have specific needs, some quite visible and others somewhat subtle, which are not being adequately met by legislative appropriations, student tuition and fees.
meet.v.3	meet	v	meeting	Oregon is meeting 18 percent of the need for civil legal services to low-income Oregonians, according to a Legal Need Study.
meet.v.4	meet	v	meet	According to Jones' complaint, Ferguson later returned to the registration desk, handed Jones a piece of paper with a suite number on it, and said the governor would like to meet with her there.
meet.v.5	meet	v	met	They met, my, my mother was going to Tokyo University in Tokyo and working part-time at a china factory, and my father had gone there to buy some china for his mother, and, uh, he met my mother and just fell head over heels in love.
meet.v.6	meet	v	meet	How did you meet him in high school?
meet.v.7	meet	v	met	Saturday my study group (go ahead, laugh) met to discuss Doug Henwood's new book Wall Street (I missed this session because I hadn't read the book) and at lunchtime they went to a demonstration in Union Square, that was supposed to be of Latino sweatshop workers, and came away reeling: maybe fifteen people, mostly ancient sectarians and a few young ones, all full of the old rhetoric (a moment of silence followed by a "moment of rage" with raised fists but some people didn't know how to do it, memories of the black athletes' stand at the Mexico City Olympics having faded).
meet.v.8	meet	v	met	and we went down uh to Saint Edwards and interviewed and it it just kind of met her her criteria it's a school of about twenty five hundred undergraduates on a gigantic big campus and it's in Austin's a nice city
meet.v.9	meet	v	meet	We need everyone's help to make our goal and meet our community's increased needs.
meet.v.10	meet	v	meet	Private gifts are the only way we can meet the expectations of such an environment.
meet.v.11	meet	v	meet	Two of his apologies in Africa meet the test.
meet.v.12	meet	v	met	So I guess one question might be how I met my wife.
meet.v.13	meet	v	met	well um i was a technical writer for many years um and my husband and i actually met in a computer company um i was a tech writer and he was an engineer and uh so i did tech writing for a number of years
meet.v.14	meet	v	meet	oh just a lot of times we do sit around and because like uh i'm really glad that i'm in like uh the classes uh like honors classes and so it's like what's really good about that is that you meet people who really are interested in in talking about things and discussing world issues and
meet.v.15	meet	v	meet	Only by meeting our financial goals by December 31 can we be sure that necessary repairs, art exhibitions and educational programs continue to meet your expectations.
meet.v.16	meet	v	met	yeah i didn't know anyone that that i can recall that went that which is uh now i've met some i've met some after the fact you know people that i worked with and stuff that had been several actually that i worked with that had been but i didn't know i no one that i grew up with
meet.v.17	meet	v	met	oh it's it whatever we went and he was you know impressed by the clean air and he he met the students at both schools and he liked them
meet.v.19	meet	v	meet	And we need Your help to meet the challenge!
meet.v.20	meet	v	meet	that was kind of fun but um who was it a friend of mine had a big family reunion a couple of years ago and you know everybody flew in from all over the place for the weekend and it really sounded like it was fun but i am not quite sure what i would do i think it'd be fun to like rent a big mansion or house someplace and have everybody meet someplace where they do not really know
meet.v.21	meet	v	met	how very unusual you know i mean for to find two people who even could do the same job or have the same education to do it but they'd met on site you know and
meet.v.22	meet	v	meeting	Your continued support of the law school is vital, not only in providing scholarships, but also in meeting a variety of needs ranging from purchasing additional computer terminals to travel for our moot court team.
meet.v.23	meet	v	meet	You're going to meet John Speckman!
meet.v.24	meet	v	met	A group called the League of Prizren, named for the Kosovo town where it met, lobbied for autonomy within the Ottoman Empire.
meet.v.25	meet	v	meeting	and uh uh we went to uh Austin a while back to a basketball tournament and we were gonna be meeting some of my wife's relatives down there so we decided rather than drive one of our cars down we'd rent one and we went up to the local Budget and we were gonna get a Olds Eighty Eight or something he said i'll tell you what for a dollar a day more i'll give you a Lincoln Towncar
meet.v.26	meet	v	meeting	Patients with a billed diagnosis of influenza (medical claim with either a primary or secondary ICD-9 diagnosis code of 487) meeting the following criteria were designated as having an influenza/ILI episode for the ensuing 21 days: 1) diagnosis occurred between the beginning of October 1996 and the end of April 1997; 2) diagnosis did not occur on the date of a immunization for influenza; 3) diagnosis was preceded by at least one year of continuous health insurance coverage, with no gaps in coverage that exceeded 30 days; and 4) insurance coverage during the 21-day follow up period was continuous.
meet.v.27	meet	v	meet	They will never meet 42-year-old Tranh Tran and her cash-strapped Westminster family, never hug the terrified 70-year-old woman who has just been evicted and never personally comfort the battered women seeking divorces but petrified of losing their immigration status.
meet.v.28	meet	v	meet	And for the next few months, Michaela kept saying, "You know, Mom, you need to meet Mr. Speckman."
meet.v.29	meet	v	met	well see the thing is when when i i am from originally from Ohio and i met my husband in Iowa and we
meet.v.30	meet	v	meet	He and Atta agreed to meet later at a location to be determined.
meet.v.31	meet	v	met	i couldn't really conceptualize how hard it was to understand that until i until i met with them and i realized that they some of the information that i just you know don't even realize and know is information they don't have and i never thought well i guess that is something you need to know you know people getting into trouble because they come here and so they start farming on uh available land you know like the median strips on freeways because no one's using it but then someone comes along and says you can't do that you know why can't they they have no idea why not some some of them you know the ones that have been here longer and have been in you know understand now but when they initially come over
meet.v.32	meet	v	met	In Singapore, where Madeleine Albright met Chinese Foreign Minister Tang Jiaxuan this weekend, the Straits Times said Monday that U.S.-Chinese relations are now on the mend because both countries oppose Taiwan's abandonment of the "one China" policy.
meet.v.33	meet	v	meet	USAT , the WP and LAT report that the Italian prime minister, in the U.S. to meet today with President Clinton, said he was "baffled" by the verdict.
meet.v.34	meet	v	met	The WP fronts and the NYT stuffs the continuing saga of Elian Gonzalez, whose two grandmothers met with Attorney General Janet Reno yesterday to lobby for the return of their grandson to Cuba.
meet.v.35	meet	v	met	For WET test data submitted under NPDES permits, all required test conditions must be met or the test is considered invalid and must be repeated with a newly collected sample.
meet.v.36	meet	v	met	cat and bagpipean society a society which met at their office in the Great Western Road: in their summons, published in the daily papers, it was added that the kittens might come with the old cats without being scratched.
meet.v.37	meet	v	meet	They could not meet conditions if their competitors were free to ignore them.
meet.v.38	meet	v	meet	He strides, as erect as always, to meet the manager, who is obsequiously bowing to greet the new arrival. "
meet.v.39	meet	v	meet	In particular, we can draw a line of those tangencies across the two isohappiness curves, yours and mine, that meet at the initial apple-pear distributions to you and me at the outset, before trading, and define the region where we have advantages of trade.
meet.v.40	meet	v	meet	Putting Social Security funds in the market only makes these effects worse, as that money must at some point be withdrawn, no matter what, to meet obligations (similar arguments might be applied to bonds, real estate, or anything else Social Security money might be invested in).
meet.v.41	meet	v	met	I know I should move past her, but no one I've ever met has had this effect on me, nor the rapport.
meet.v.42	meet	v	met	Travolta is one of the most likable and instinctive actors in movies today, but no one who has met him would describe him as a "brain."
meet.v.43	meet	v	meet	Needless to say, the Federalist essays do not meet the simple strictures of the Plain Language Initiative.
meet.v.44	meet	v	meets	Many beaches now fly the blue EU flag, which means that water quality and general sanitation meets environmental standards established by the European Union.
meet.v.45	meet	v	meets	It remains, incidentally, the biggest hit ever written about a London banker who meets a hula-hula girl.
meet.v.46	meet	v	met	Rosie O'Donnell has never met a guest she could not drown in slobber.
meet.v.47	meet	v	meet	Explanations lead children to strive to meet parental standards because those standards make sense.
meet.v.48	meet	v	meeting	The paper says that medical boards in every state view the sites as illegal or at least not meeting accepted standards of medical care.
meet.v.49	meet	v	meet	The regulations will 1) make oil companies reduce the sulfur in gasoline; and 2) require sport utility vehicles and small trucks to meet the same emissions standards as cars.
meet.v.50	meet	v	meet	We also included codes for excision of breast cysts or lesions (19120 and 19125) as these codes meet the definition of a lumpectomy, although we recognize that some surgeons may have billed these codes for excisional biopsies as a diagnostic procedure.
meet.v.51	meet	v	meet	Clinton has asked Helms' new pal, Secretary of State Madeleine Albright, to meet with Helms and try to remove the thorn from his paw.
meet.v.52	meet	v	met	he asks); and presenting him with a huge switchblade, which Harry is shortly expected to plunge into the heart of a man he has never met.
meet.v.53	meet	v	meet	Western states have already made significant headway in identifying future SO2 reductions necessary to meet air quality goals in the Western Regional Air Partnership ("WRAP") agreement between EPA, Western states, tribes, industry and environmental groups.
