id	lemma	partOfSpeech	token	context
trace.v.1	trace	v	trace	The CIA and Energy Department spins: The evidence is thin, and there's no way to trace what really happened.
trace.v.2	trace	v	traced	Referencing is a process in which statements of facts, figures, and dates are traced back to the supporting working papers by an experienced auditor who is independent of the audit.
trace.v.3	trace	v	trace	As the main purpose of this collection is to trace the origins of folk metaphor in English, nearly all examples of metonymy, synecdoche and swearing have been omitted as being too marginal or personal...
trace.v.4	trace	v	traced	No document was traced that proved" the company "delivered or exported the said components to Libya," according to the country's inspector general of police.
trace.v.5	trace	v	trace	I trace my lineage back to Joseph, Solomon, the Delphic Oracle, Cassandra, Adam Smith, and Benjamin Franklin.
trace.v.6	trace	v	tracing	The United States has been less successful in persuading other countries to adopt financial regulations that would permit the tracing of financial transactions.
trace.v.7	trace	v	tracing	The mid-nineteenth century was a time in which the nations of the West, tracing their lineage to common linguistic and historical roots, built political movements grounded in a shared national identity.
trace.v.8	trace	v	tracing	The central keep sits on the highest ground and houses an interesting Museu Militar, tracing the course of Portuguese military concerns from prehistoric times right through to the colonial wars of the 1970s.
trace.v.9	trace	v	traced	Here's the story: Last spring, there was an outbreak of a nasty disease known as cyclosporiasis, which was eventually traced to Guatemalan raspberries.
trace.v.10	trace	v	tracing	In one of the most extensive studies tracing the development of make-believe play, psychologists Wendy Haight and Peggy Miller followed nine children from 1 to 4 years of age, repeatedly visiting their homes to make intensive observations of their pretending.
trace.v.11	trace	v	trace	Of the Hispanics living in these states, 64 percent (concentrated in the Southwest) trace their roots to Mexico; 15 percent (relatively evenly distributed) to Central and South America; 10 percent (concentrated in New York) to Puerto Rico, and 5 percent (concentrated in Florida) to Cuba.
trace.v.12	trace	v	traced	It is good to have the name traced back through the different languages to its Hebrew original; but the inclusion of just two literary Susans (out of what must be hundreds) tells us little, except perhaps that the name was already in general English use in the early 17th century.
trace.v.13	trace	v	traced	The use of public walls for asserting a fraternal identity is really an ancient tradition, and within Chicano culture it can be traced back to at least the 1930s.
trace.v.14	trace	v	tracing	A step beyond this issue is the question of tracking and tracing.
trace.v.15	trace	v	trace	My account seeks to unite the divergent strains of all religions that trace their roots to the original idea in Exodus of a nation living under God and under law.
trace.v.16	trace	v	tracing	A writer of dictionaries; a harmless drudge, that busies himself in tracing the original, and detailing the signification of words.
trace.v.17	trace	v	tracing	Nineteenth-Century English is an interesting if somewhat staid tracing of the development of English into a world language, though its influence today is probably owing directly more to events of the past sixty years than to the growth and spread it enjoyed during the century of colonialism.
trace.v.18	trace	v	traced	It is an ancient game that can be traced to medieval Spain, to a place called Zafra.
trace.v.19	trace	v	traced	He flipped the sheet of paper over, rotated it 90 degrees, and traced the now-upright form of Tityus.
