id	lemma	partOfSpeech	token	context
force.n.1	force	n	force	You will use force to defend some policy or principle.
force.n.2	force	n	force	As for why that enthusiasm suddenly hit investors with such force, and why it was so focused on Celera, all Bloomberg could offer was an article that appeared in the New York Times on Dec. 20, which included a one-line reference to Celera.
force.n.3	force	n	force	In no event shall the provisions of this paragraph be interpreted as an event of force majeureor a commercial impractibility or in any other way as a basis for excused nonperformance by a utility system under a coal sales contract in effect before November 15, 1990 .
force.n.4	force	n	force	well won't well maybe they used a little bit too much force with stuff like that but then then you know the defense lawyer addressed each and every one of those blows apparently
force.n.5	force	n	forces	But since rates based on content are seldom the outcome of competitive forces, such an effort would in all likelihood fail.
force.n.6	force	n	forces	well i i feel in light of some of the accidents and so forth that have happened lately that i think there are some occupations that they should such as the health field the transportation field uh they're already doing it in the armed forces where they handle weapons and so forth uh they do it to prisoners so i i uh
force.n.7	force	n	forces	Even more important, the forces examined in this book provide a glimpse into processes reshaping a considerable portion of the economy.
force.n.8	force	n	force	His view of the actions of non-european peoples was, by force of his status as a guest in the places he studied, a laissez-faire one.
force.n.9	force	n	force	Or would the presidency remain an independent third force of government?
force.n.10	force	n	forces	Often unaware of the particular Spanish origins of the struggle, many Europeans saw the civil war as a crucial conflict between democracy and dictatorship, or from the other side, as a conflict between law and order and the forces of social revolution and chaos.
force.n.11	force	n	forces	Security forces opened fire on rioters and killed some 80 people.
force.n.12	force	n	force	Psychologist Kay Redfield Jamison, in Touched With Fire: Manic-Depressive Illness and the Artistic Temperament , maintains that mania is an essential driving force for many artists.
force.n.13	force	n	force	Funding for science research at 28 national laboratories may be more defensible, but even a DOE task force recommended an end to government ownership of the labs.
force.n.14	force	n	force	The NYPD suffered 23 fatalities-the second largest loss of life of any police force in history, exceeded only by the number of PAPD officers lost the same day.
force.n.15	force	n	forces	"The future of the next generation rests on whether governments and companies can join forces to control the disease," it said.
force.n.16	force	n	force	The task force blamed "faulty market mechanisms ." The exchanges, it argued, lacked the infrastructure to accommodate the trading volume that the drop occasioned: Phone lines clogged, computers crashed, and printers jammed.
force.n.17	force	n	force	) For another, Trump's candidacy, and the Reform Party generally, reflects a larger, important trend in politics, and may be the surest sign yet that ideology as a force in national elections is dead.
force.n.18	force	n	force	The posturing of hostile neighbors justifies India's own show of force.
force.n.19	force	n	forces	A limpieza can expel the hostile forces and also provide spiritual strength so that the person can effectively fight off negative energy.
force.n.20	force	n	forces	What is important to understand is that the MBMFC rule is fundamental to First Class and Standard A as we know them, and eliminating it would unleash forces that would lead to a major restructuring, not to a minor adjustment.
force.n.21	force	n	force	The convention itself would be ringed with electrified barbed wire; the security force had at its disposal flame-throwers and bazookas.
force.n.22	force	n	force	During the congressional deliberations on whether to approve the use of force to drive Iraq from Kuwait, House Speaker Tom Foley delivered a rousing call for bipartisan patriotism.
force.n.24	force	n	forces	The first Barrett family member came to Jamaica with the invading English forces.
force.n.25	force	n	forces	Throughout this book, we have touched on myriad forces that make contemporary parenting highly challenging.
force.n.26	force	n	force	Although the UN General Assembly adopted the International Convention for the Suppression of Financing Terrorism in December 1999, the convention did not enter into force until April 2002.
force.n.27	force	n	forces	The visuals suggest the 1940s--a draft that sent 12 million men into the armed forces and created unprecedented employment opportunities for blacks and women (opportunities that were lost when peace returned and Johnny came marching home); mass migration from the rural South to the industrial North that made Rosie the Riveter a household name and exemplar.
force.n.28	force	n	force	The cover story argues that NATO has been more a relief organization than a military force in the Kosovo crisis, sheltering and protecting the displaced as the U.N. relief operation became mired in bureaucracy.
force.n.29	force	n	force	The first American show of classical Cambodian art in 50 years is said to "carry the force of a revelation" (Holland Cutter, the New York Times ). Time 's Robert Hughes calls the pieces, which mostly depict Buddha and other deities and date to the 6 th century, "some of the greatest stone carving and bronze work in human history."
force.n.30	force	n	force	' Two other good examples are Juggernaut `unstoppable destructive force: or object,' which derives from jagannath , and kedgeree `cooked dish of rice, lentils, and spices,' which derives from khicri or khicari . The familiar cot and dungaree are close to their Hindi predecessors in pronunciation, though not in spelling; they derive, respectively, from khat and dungri .
force.n.31	force	n	force	John Ruskin, too, considered Gothic a moral force, but since he also loved Venice, polychrome Ruskinian Gothic has many Italian overtones.
force.n.32	force	n	force	It was a take--off on a joint USPS-PRC task force recommendation in the early '90s for a four-year rate cycle with a mid-cycle adjustment.
force.n.33	force	n	force	There are many reasons for this shift away from home sewing, including the growing number of women in the labor force.
force.n.34	force	n	force	Language of pity and the force of wrong.
force.n.35	force	n	forces	The cover review of a new Madeleine Albright biography argues that she had a personal stake in the Kosovo conflict because Slobodan Milosevic represents the two evil forces that shaped her childhood: communism, which her father claimed drove him from his beloved Czechoslovakia, and ethnic hatred, which led to the Holocaust in which three of her grandparents perished.
force.n.36	force	n	force	The paradigm of the exploitative, oppressive relationship in the American experience is, of course, slavery, and therefore in 1865, as the first task of the new constitutional order, we banned the very possibility of private relationships of slavery, established either by force or by consensual agreement between master and slave.
force.n.37	force	n	forces	The other, now more common, meaning harbors an element of deviousness: Stealth candidates in state and local elections in 1992 and 1994, for example, were Trojan stalking horses for fundamentalist Christian forces--men and women who emphasized popular, secular conservative issues in their campaigns but failed to disclose that their candidacies had been covertly planned and energized by the religious right.
