id	lemma	partOfSpeech	token	context
br-h01.snum=10	interest	n	interests	They are written by specialists in numerous types of business enterprises, cover a wide range of subjects, and are directed to the needs and interests of the small firm.
br-a01.snum=7	interest	n	interest	The grand jury commented on a number of other topics, among them the Atlanta and Fulton County purchasing departments which it said "are well operated and follow generally accepted practices which inure to the best interest of both governments''.
br-h16.snum=40	interest	n	interests	No previous antitrust case, he said, had involved interests of such magnitude or presented such complex problems of relief.
br-g18.snum=63	interest	n	interest	Somewhat uneven in interest for an average reader, eight or ten of these are among the finest of their kind in literature.
br-h01.snum=79	interest	n	interest	A 5-percent royalty is paid on any production during the period the contract is in effect; if the Government certifies that production may be possible from the property, the royalty obligation continues for the 10-year period usually specified in the contract or until the Government's contribution is repaid with interest .
br-j37.snum=4	interest	n	interests	All political interests supported electoral planning, although there are some signs that the inherent uncertainties of a popular judgment led to some procrastination.
br-h01.snum=80	interest	n	interest	The royalty applies to both principal and interest , but it never exceeds 5 percent.
br-e21.snum=89	interest	n	interests	- In addition to its recreation interests , water is needed for drinking, sanitation, and irrigation.
br-e21.snum=38	interest	n	interest	A site which overlooks a harbor or river may offer interest in the activities of boating traffic.
br-l11.snum=25	interest	n	interest	It's not too much to assume that you will have a more lasting interest in lemma=paper
br-l18.snum=10	interest	n	interest	All this went through Casey's mind in the first instant, but what held his interest was the fact that these two should be together at all.
br-j30.snum=46	interest	n	interest	He did not really listen to others, had little interest in their ideas, and wanted to have his own way - which was the only right way.
br-e21.snum=59	interest	n	interest	The fish, animals, and birds which may be found at the site are another interest .
br-e21.snum=42	interest	n	interest	Water interest is one of the most valuable factors you can find for a recreation site.
br-a01.snum=4	interest	n	interest	"Only a relative handful of such reports was received'', the jury said, "considering the widespread interest in the election, the number of voters and the size of this city''.
br-k27.snum=26	interest	n	interests	The doctor, with the air of a man whose professional interests have found scope, drew Alex's attention to those excellences which might otherwise have escaped him: the fine color in comb and wattles, the length and quality of neck and saddle hackles, the firm, wide spread of the toes, and a rare justness in the formation of the ear lappets.
br-e31.snum=20	interest	n	interests	The Outdoor Education Project took cognizance of the fact, so often overlooked, that athletic activities stressed in most school programs have little or no relationship to the physical and mental needs and interests of later life.
br-f44.snum=1	interest	n	interest	In general, religious interest seems to exist in all parts of the metropolis; congregational membership, however, is another thing.
br-e21.snum=45	interest	n	interest	A body of water is usually the center of interest at parks which attract the greatest picnic and camping use.
br-j58.snum=12	interest	n	interest	Although Rhode Islanders were preparing for the state elections, they watched John Brown's trial with extreme interest .
br-j41.snum=67	interest	n	interest	The presumption in the literature would appear to be that the basic wage rate would be unchanged in this case, on the grounds that it is "clearly"not in the interest of the industry to raise wages gratuitously.
br-g18.snum=64	interest	n	interest	They comprise a great variety of scene and interest : grim episodes of war, idyllic interludes, superb canvases of world-shaking events, and delightfully humorous sketches of odd characters.
br-e21.snum=60	interest	n	interest	Fishing interest calls for a check of the species found, quantity and size, the season they are available, and the stocking program of the fish commission.
br-f13.snum=117	interest	n	interest	To figure the value of the farm in terms of investment income, divide the estimated annual net farm income by the percentage that you could expect to get in interest if the money were invested in some other way.
br-e21.snum=69	interest	n	interest	An old shipwreck, a high dam, an old covered bridge, a place to find agates or other semi-precious stones or a place to pan gold, etcetera may be of interest .
interest.n.bnc.00055581	interest	n	interest	By now urgently needing at least 100 replacements for its geriatric locomotive fleet, Railfreight initially appeared to show deep  interest  in its own General Motors stud, but in the event the order went to Brush Traction of Loughborough.
interest.n.bnc.00063909	interest	n	interest	As a point of  interest , our branch also collects used English and foreign stamps, while any foreign coins left over from your holidays would be welcome, too !
