id	lemma	partOfSpeech	token	context
strike.v.1	strike	v	struck	Traditional eight bells are struck.
strike.v.2	strike	v	strike	He was ready to strike at "the head of the snake."
strike.v.3	strike	v	struck	It's reported that one of the Baghdad sites struck by cruise missiles was the home of the youngest of Saddam Hussein's three daughters.
strike.v.4	strike	v	struck	"The residents of the Golan were sent to build their homes opposite Syria with the concurrence of every government since 1967, and the roots they struck in the basalt soil are deeper than those of the settlers in Judea and Samaria," the paper said.
strike.v.5	strike	v	strikes	The accompanying photograph reinforces the squeaky-clean image--the picture might have been the only one available, or one of a small handful, but it strikes a note that will carry through the spot: Harmon is always well-dressed, and he is always smiling.
strike.v.6	strike	v	struck	It always struck me as strange that in the period when crime was increasing in cities, politicians blamed the problem on the pathologies in the inner-city communities.
strike.v.7	strike	v	Strikes	William Safire Language Maven Strikes Again.
strike.v.8	strike	v	struck	well Texas has uh Texas has uh has always struck me i mean i i i have lived in and out of Texas both in the service and and uh uh short business stints and it seems to me they are a pretty pretty tough law and order state but but yet that does not seem to have effected the amount of violent right in the state just citing that you know
strike.v.9	strike	v	struck	Tim was struck by a portion of one WSO assailant's head.
strike.v.10	strike	v	strikes	The billiard balls are in such and such positions on the billiard table, the cue is moved with such and such velocity and strikes a given ball in such and such a position with such and such velocity.
strike.v.11	strike	v	strike	Once again, it's easy to imagine party committees and advocacy groups making inventive and persuasive ads that don't depict or refer to a candidate, but strike the same themes as the campaign's ads established outside the 60-day period.
strike.v.12	strike	v	struck	Iwas also struck by my observation of him at the first meeting of the Cabinet Committee on Economic Policy, shortly after the inauguration.
strike.v.13	strike	v	struck	Has Rage Against the Machine finally struck a balance between political preaching and guitar-heavy rap-rock fusion?
strike.v.14	strike	v	struck	It's as if, having lost the Melfi method of making Tony seem human, the writers have struck on another way to do it: play him off someone really angry and crazy, so that the Soprano MO comes off as sanity itself.
strike.v.15	strike	v	struck	None of his answers struck me as especially stupid or brilliant, but rather they were rather convincingly earnest.
strike.v.16	strike	v	struck	Over time, however, as the power of authoritative institutions waned--church, state, even family--I was increasingly struck by the reality that while many have handled their "moral freedom" responsibly, many others have used lack of external constraints to exploit and prey on others--personally, financially, sexually, violently, etc.
strike.v.17	strike	v	strike	"At every step, we have been clear-headed in endeavoring to strike a careful balance between ... what is best economically and is also politically realistic," he said.
strike.v.18	strike	v	struck	Onomatoplazia struck a delightful chord for me.
strike.v.20	strike	v	strike	It's certainly a striking fact that male gorillas are twice the size of females; but looking from gorillas to humans, what should strike us is not that men are somewhat bigger than women, but that they are nowhere near twice as big.
strike.v.22	strike	v	strikes	Cloning is less personal than cuckoldry, but it strikes a similar chord: Someone has got the reproductive edge on you.
strike.v.23	strike	v	strike	They no longer require him to strike any references that show alcohol treatment is effective.
strike.v.24	strike	v	strike	Sharif was cordial but disagreed with the U.S. decision to strike.
strike.v.26	strike	v	strike	I must say, though, that since I spend much of my time immersed in the 18 th century, the crazily ritualistic aspects of the campaign strike me very forcefully.
strike.v.27	strike	v	struck	The hand-held scanner I have used is very tricky and sensitive, and, as the Writer's Guide admonishes, creates as many problems as it solves; but I am going to pursue the subject nonetheless, hoping that a useful balance might be struck in which less time is spent correcting than in initial keyboarding plus correcting.
strike.v.28	strike	v	strikes	yeah yeah well do you think that one reason maybe that the the funding level is as high as it is is because AIDS perhaps strikes uh a vocal group of people
strike.v.30	strike	v	struck	That struck me as dubious.
strike.v.31	strike	v	strikes	An AP dispatch quoted in both USAT and the WSJ states that the Saudis will not allow any Iraq strikes to originate from their country.
strike.v.32	strike	v	struck	The cable TV industry struck the fatal blow.
strike.v.33	strike	v	strikes	There is, of course, no final word on this subject, but I should like to add one more brief quotation that strikes at the heart of the matter:
strike.v.34	strike	v	struck	We struck a blow for little people of all ages.
strike.v.35	strike	v	strike	Left to decide what part of the 1996 Act to strike as invalid, the court concluded that congressional intent regarding severability was unclear.
strike.v.36	strike	v	struck	However, legend says that, just as the executioner raised his sword, a lightning bolt struck and broke it in two.
strike.v.37	strike	v	struck	Hilfiger knew he had struck gold when he noticed black kids mixing the preppy look with sports gear on the street.
strike.v.38	strike	v	strike	At the same time, failure to strike Iraq after weeks of warlike rhetoric could have cost the United States its credibility, Le Figaro said, adding that "by saving himself, Saddam Hussein has also saved Bill Clinton."
strike.v.39	strike	v	striking	But I only need to use your examples as proof that what the Internet has wrought in an unbelievably short time has been profound--the entire computer industry (as evidenced by Michael Dell's success) has been turned on its ear, the retail industry is reeling (did you see the many news stories today about Nordstrom's striking a deal with a well-known Silicon Valley venture firm to jumpstart its Web efforts?), and traditional media companies are in full-scale alert.
strike.v.40	strike	v	strike	Other southern pronunciations that strike the northern ear as different are:
strike.v.42	strike	v	strike	If Congress "would not have enacted those provisions which are within its power, independently of that which is not," then courts must strike the provisions as a piece.
strike.v.43	strike	v	strike	So long as minorities strike a pose of diasporan dispossession, they give tacit approval to a notion of "prior" Americanness that excludes them.
strike.v.44	strike	v	strike	But what will become of The New Yorker ? During Tina's tenure, the magazine's editors were always talking about "the mix"--the never-ending struggle to strike the right balance between the slashy and the serious.
