id	lemma	partOfSpeech	token	context
write.v.1	write	v	writes	He also writes confusing prose.
write.v.2	write	v	written	i mean you can just sit you know those little booklets that come along with it and you can just see the things that they're trying to show with music my my little boy has gotten so into it that he's identified the the people that have written certain songs and he buys the
write.v.3	write	v	write	I like writing stories and poems and I write them for school a lot and I'm part of a magazine to write stories and poems and we draw too, to put stories that students write in the magazine for school.
write.v.4	write	v	write	I could read and write before I went to school, because Mama had a lot of time to spend with me.
write.v.5	write	v	write	Um, the poem, the poetry that I write, and the songs that I write, um, depending on whether I felt that it has meet, met, I guess, my criteria for excellence, um, I, I am working on compiling my poetry.
write.v.6	write	v	write	yeah yeah but i'm even talking i'm i'm not even i'm not even talking about higher education we're i'm talking about the the kids that we've got now they come out of high school that can't read and write and that also it just even the ones that that do read and write that really have a very poor poor grasp of of what a secondary education should have given them
write.v.7	write	v	writing	I, I can't remember when I wasn't writing poetry.
write.v.8	write	v	writes	well of course the question is what Gorbachev does i guess he goes and writes his memoirs or something
write.v.9	write	v	writes	authors authors like Bobbie Ann Mason she's from Kentucky and writes a lot of just kind of contemporary realism sort of stuff um John Barthelme who wrote he just died a few years ago and he wrote kind of weird avant-garde
write.v.10	write	v	writes	There's something, well not only that aspect of the way that the writer, he writes, he basically gives two different endings to the story.
write.v.11	write	v	wrote	that he's written yeah yeah uh i think his name was Bachman he wrote under the name of Bachman
write.v.12	write	v	write	I lay my head down on the desk and cried because I had to learn how to write a long name and everyone else's was short.
write.v.13	write	v	write	that they're going to write a book they're gonna go on talk shows they're gonna that that that's a reward
write.v.14	write	v	wrote	but i knew that David Bowie produced it right so if David Bowie wrote a song and somebody did it i ran bought i bought the album you know
write.v.15	write	v	written	even uh be punished let alone put to death for it i mean look at the mentality of your average person who smokes cigarettes they don't think they're ever going to get cancer and yet it's written on every single package most people who murder someone don't even get caught let alone prosecuted to the to the extent of the law
write.v.16	write	v	write	i use mine a great deal um for groceries for everything that i can and then just write one check at the end of the month for the entire thing right
write.v.17	write	v	written	and you can pick up any of his stuff and you can just sort of try it and if you like his style well he's written i'd say twenty or twenty five
write.v.18	write	v	wrote	Snow wrote his famous essay about the war between the "two cultures," between the essentially literary sensibility that we expect of a card-carrying intellectual and the scientific/mathematical outlook that is arguably the true glory of our civilization.
write.v.19	write	v	writing	but she seems to me to be you know pretty quick and smart and she's already reading and writing and stuff like that and she just turned five last month
