id	lemma	partOfSpeech	token	context
warm.j.1	warm	j	warm	And I have no doubt that Yitzhak Rabin joins in these warm thanks.
warm.j.2	warm	j	warm	and that warm fuzzy that we're talking about i never could get that warm fuzzy feeling in the pit of my stomach about are these people really telling me the truth or more importantly all the truth
warm.j.3	warm	j	warm	) Notwithstanding everyone's reluctance, Lehrman got several minutes of film that brought dozens of bit players and their world to life--the seductive Sandor Ferenczi at a caf, (he once conducted affairs with a patient and her mother at the same time), the warm and animated Princess Marie Bonaparte graciously introducing everybody to everybody else at tea parties (she later rescued Freud from the Nazis), a dashing and alarmingly radiant Wilhelm Reich (he lated invented orgone therapy).
warm.j.4	warm	j	warm	It is interesting to see how warm he grew toward Alexander Hamilton (he signed his letters "I am Your Affectionate"), and how awkward and self-conscious toward Jefferson, whose allies were berating Washington "in such exaggerated and indecent terms as could scarcely be applied to a Nero; a notorious defaulter; or even to a common pick-pocket."
warm.j.5	warm	j	warm	In one of Bob Dole's worst hours, his wife Elizabeth follows her brilliant performance at the Republican Convention with a warm, well-filmed 30-second appeal on his behalf.
warm.j.6	warm	j	warm	Having recently traveled to many of the places Applebome visited, I found his warm but withering portrait of Dixie to ring true.
warm.j.7	warm	j	warm	A warm profile of playwright Wendy Wasserstein, whose new Broadway play opens this month, depicts her as an establishment figure who still thinks of herself as an outsider.
warm.j.8	warm	j	warm	Guest rooms are residential and warm, with framed collages of vintage Chicago postcards on the walls."
warm.j.9	warm	j	warm	The DO must be maintained at a minimum of 4.0 mg/L for marine and warm water, freshwater species, and 6.0 mg/L for cold-water, freshwater species.
warm.j.10	warm	j	warm	Behind the colonnade, which was fitted with retractable glass panels that could be opened during warm weather, was a two-story-high hall lit by three large skylights.
warm.j.11	warm	j	warm	and uh i i don't know no i know eastern now the other thing we do here of course is a single not quite a single climate we have uh we do have some snow in the wintertime and it can be quite warm in the summertime not hot like uh i lived in the midwest for a while
warm.j.12	warm	j	warm	quickening sap and warm breezes
warm.j.13	warm	j	warm	Giotto breathes a warm humanity into his Madonna Enthroned (1310) that distinguishes it from the more formal pictures of the subject by Cimabue and Duccio in the same room.
warm.j.14	warm	j	warm	Although the Mediterranean Sea is rather overfished and the waters are not warm enough to support brightly colored tropical fish, there are still numerous varieties to spot in the rocky shallows, including octopi that make their homes in tiny crevices.
warm.j.16	warm	j	warm	you know because apparently people i i read somewhere that you can replace your urine with ginger with warm Sprite or something Mountain Dew and it tests you know that it tests like urine and you know it tests okay obviously
warm.j.17	warm	j	warm	creeping neuropathic foot pain, attributable once again to what were blithely called medication side-effects, he therefore gave himself a shake, eschewed a wipe, preferring the prospect of a warm lavage, and turned on the shower, lighting a cigarette to enhance the waiting time while the hot water made its way from the distant heater to his bathroom.
warm.j.18	warm	j	warm	He was brilliant: The minieditorials were concise, witty, and warm.
warm.j.19	warm	j	Warm	3 Warm parenting lets children know that adults believe they can succeed.
warm.j.20	warm	j	warm	Pat Buchanan ( The McLaughlin Group ) and George Will ( This Week ) were lonely dissenters, taking the view that warm relations with a hideous human-rights violator are not especially praiseworthy.
warm.j.21	warm	j	warm	For example, when warm food becomes farm wood, the result is neither meaningful nor pleasing to the ear.
warm.j.22	warm	j	warm	our our weather is like we have a we have a the warm raining season is now is April
warm.j.23	warm	j	warm	Even the commercial swill ( Deep Impact , Armageddon , The Mask of Zorro , Small Soldiers , Snake Eyes , Halloween: H20 ) has been of a high grade, and Saving Private Ryan and Return to Paradise were Vitalis slaps in the kisser for people woozy from all the warm weather escapism.
warm.j.24	warm	j	warm	The eastern third of the Algarve is a more sedate marriage of coast and ocean, with warm waters and hot sands stretching past the wetlands of Ria Formosa to the Spanish border.
warm.j.25	warm	j	warm	It's not a very warm or kind world, or one with much room for originality or playfulness or waywardness or even what I would call "romance."
warm.j.26	warm	j	warm	Chambers gave me warm feelings of assurance when I consulted it later that day.
warm.j.27	warm	j	warm	The Pacific Ocean generates warm, moist air, which flows into Western Washington and bumps into the Cascade Mountains.
warm.j.28	warm	j	warm	To work well, the emotional tone of scaolding must be warm, sympathetic, and responsive.
warm.j.29	warm	j	warm	Also in ancient times shepherds built fires to keep themselves warm and to scare off the wolves.
warm.j.30	warm	j	warm	. . his body is beautiful, athletic, warm and welcoming . . . his mouth softly moving, thrilling, familiar . . . his baseball hands, his football legs . . I realize now that I wasn't jealous of him because Dad liked him best, but of my dad because Blake liked him more than me . . . Dad sees us kissing and me lying on top, getting ready to fuck . . .maybe it's Blake on top . . . he tells Mom . . . she tells him it's ok.
warm.j.31	warm	j	warm	A common element in the lives of such resilient youngsters, as I noted in Chapter 1, is an unusually warm, positive relationship with at least one parent or a close tie with an adult outside the immediate family.
warm.j.32	warm	j	warm	Jordan is the greatest endorser in history because he's "at once credible and incredible"--an unbelievable athlete and a warm, charming person.
warm.j.33	warm	j	warm	But when she's on, Byatt's writing "leaps and pirouettes, shimmies and shivers" (Gabriella Stern, the Wall Street Journal ) and has an "aura of extravagant ingenuity" (David Barber, the Boston Globe ). A few find the tales a bit too similar--there is a theme throughout of the conflict between the warm southern temperament and the cold northern one--but most deem the sameness unimportant when the writing is so superb.
warm.j.34	warm	j	Warm	Warm parenting fosters considerate sibling interaction, which prompts positive parental communication in the future.
warm.j.35	warm	j	warm	because she you know they keep it warm with for all the older people and she keeps it year round
warm.j.36	warm	j	warm	and he ate dinner and his work was outside and in the winter time by the time he was warm he was asleep so it wasn't that he was
warm.j.37	warm	j	warm	Um, and then we went to, let's see For, I want to say it's Fort Myers Beach I think, the beach is on the West Coast, we went down, it's about an hour from my grandma's and uh, it's a really nice beach, it's uh, was pretty warm that day.
warm.j.38	warm	j	warm	Moreover, despite the popular view that neighborhoods are cozy and warm, they also have enormous capacity for pettiness and hostility.
warm.j.39	warm	j	warm	uh-huh well it seems like you know warmer warmer even in the winter you go from your warm car to your warm building so there really isn't that much of a of a difference or in the summer it's it's mostly air-conditioning course you do wear cooler things but i um don't work outside the home right now i have four little ones and so my
warm.j.40	warm	j	warm	well i had kind of gotten used to uh centigrade temperature you know if it's between zero and ten it's cold and if it's between ten and twenty it's not too bad if it's between twenty and thirty it's pretty warm and if it's more than thirty it's just hotter than all get out so
