id	lemma	partOfSpeech	token	context
serve.v.1	serve	v	serving	"Unless the legal aid is in the community, you can't say you are serving the poor," Mintie said.
serve.v.2	serve	v	serves	Krugman serves only himself and business concerns like Microsoft (now with its new spin-doctoring arm, Slate) that pamper him.
serve.v.3	serve	v	served	A story sings the praises of the federal Legal Services Corp., describing how one of its lawyers has served a poor Appalachian town devotedly for 25 years.
serve.v.4	serve	v	serve	But few Internet service providers serve rural America, because the current number of consumers is too small for them to make money.
serve.v.5	serve	v	serve	Our only consensus is that "government should serve the ordinary, hard-working individual--providing safety, public goods like roads and parks and the tools necessary to seek opportunity, like education.
serve.v.6	serve	v	serve	The Community Legal Resources Network ''helps lawyers become economically viable so they can serve the poor and lower middle class, who often can't afford legal representation,'' said Dorothy Zellner, the law school's spokeswoman.
serve.v.7	serve	v	serve	For Pleasant Run to continue to serve abused and neglected children and their families, we need your support.
serve.v.8	serve	v	serving	Our ServerSearch TM team traveled the globe in pursuit of the very best software for serving you, our readers.
serve.v.9	serve	v	serve	Your gift of $[ ] helped us fulfill our mission to serve the community.
serve.v.10	serve	v	serve	The centers that serve these areas, Mary Rigg Neighborhood Center, Hawthorne Community Center, Southwest Multi-Service Center, and Christamore House, have teamed up to run an exciting job readiness program for 14 and 15 year old area residents called the Summer Enrichment Program.
serve.v.11	serve	v	served	With his father seeking re-election to his Senate seat that fall, Gore Jr. enlisted in the Army and served as a reporter.
serve.v.12	serve	v	served	The LAT and USAT fronts run stories about the arrest for spying of a former Army sergeant who served as a codebreaker, allegedly for selling (for $60,000) the identity of Soviet sites to be nuked by the U.S. if the Soviet Union started a nuclear war.
serve.v.13	serve	v	serve	We recently published a study of the characteristic hyperthermic responses represented as epileptiform-like population spike activity accompanied by spreading depression (SD) in a rat hippocampal slice, which may serve as an in vitro model of febrile seizures [ 8 ] . The hyperthermic response was age-dependent, occurring almost exclusively in young, but not newborn, rats.
serve.v.14	serve	v	served	Having started out neutral, Ecevit had subsequently decided that Turkey's best interests in dealing with the Kurdish threat from northern Iraq would be better served by closer collaboration with the administration in Baghdad.
serve.v.15	serve	v	serve	If you enter the words "Bill Bradley and health care" into Yahoo, the engine will actually serve up some relevant sites, including Bradley's official campaign site and a homemade Bradley on the issues site . On Lycos, you get nothing so informative.
serve.v.16	serve	v	serves	And by making Hercules a sports star and another character a Hollywood agent, the movie proves that "Walt's art form is still sassy and snazzy" (Richard Corliss, Time ). (Disney serves up tie-ins galore on its site.)
serve.v.18	serve	v	serve	Sometimes functional requirements override other considerations; a laboratory that does not serve its scientists is a failed work of architecture, no matter how beautiful its design.
serve.v.19	serve	v	serve	For example, as a way to develop a cadre of experienced and diverse leaders, the CFO Council Fellows Program was initiated in April of 1998 with the selection of nine fellows to serve 1year appointments at host organizations.
serve.v.20	serve	v	served	that's interesting well have you ever served on a jury
serve.v.21	serve	v	served	This situation served to reinforce religious folk practices and rituals brought from Mexico, many based on a syncretism of Indian religious beliefs and medieval Catholicism from the sixteenth century.
serve.v.22	serve	v	serving	and i i just don't think that you know we as a society can afford to continue to have these people that are repeat offenders being paroled after serving
serve.v.23	serve	v	serve	okay well i'm a Vietnam era veteran and uh i was uh uh fortunate not to have to serve in the theater however uh my my support roll in the service was to support those in the theater of operation uh i'm of the old school that believes that um the uh uh contracts that we made back years ago uh needed to be honored however uh i think we could've executed the war and gotten it over a whole lot quicker oh but those are my personal thoughts and i think that if we'd let the generals run the war like we let the generals run World War Two we'd have got it over a whole lot quicker and lost a lot fewer people but as it was the politicians ran the the Korean conflict and ultimately the Vietnam thing and we managed to come out uh losers all way around and so this is what triggered ultimately triggered the us uh uh the United States per se being uh deciding to get out of the role of world policeman your views
serve.v.24	serve	v	serving	2 For purposes of this paper, "cream skimming" refers to concentration on serving only those markets that exhibit lower-than-average delivery costs, regardless of the characteristic that causes those costs to be less than average.
serve.v.25	serve	v	Serve	Serve stew and greens side by side.
serve.v.26	serve	v	serve	In a real engine, of course, the role of the red handle is carried out by various gears, rods, escapements, and other mechanical devices that serve an essential role: The handle and you, or the gears, rods, and escapements, literally organize the flow of the recurrent process.
serve.v.27	serve	v	serving	But there arises then the question of equality in the exercise of basic legal rights, like owning property, serving on a jury, and testifying as a witness in court.
serve.v.28	serve	v	serve	Now, the two have a choice: Return to Penang and serve at least three years under barbaric conditions, or let a good and decent man be hanged.
serve.v.29	serve	v	served	In their love lives, each actress served as Miracle-Gro to an especially prized kind of male creativity.
serve.v.30	serve	v	served	These Western ideas, which seemed to amuse Kamehameha, were introduced by a new friend, another famous English explorer, Captain George Vancouver, who had once served under Captain Cook.
serve.v.31	serve	v	served	ut in an order for dinner, specifying when you would like it served. Although the presence of electricity in many of the villages along the main trekking r
serve.v.32	serve	v	serve	How do the make-believe scenes just described, and others like them, serve as major sources of development?
serve.v.33	serve	v	serve	An epidemiologic shift from screening to surveillance, from individual patients inside the ED to populations of patients outside the ED, will serve to understand at-risk behaviors of groups of patients, the agent/vehicle of morbidity and mortality, alcohol, and the environment in which these groups interface with alcohol.
serve.v.34	serve	v	serve	The patterns of tissue expression as profiled by RT-PCR and the frequency with which ESTs originated from brain cDNA libraries (Figure 2), serve to highlight five genes that are highly expressed in the brain: P24, SSADH, GPLD1, KIAA0386, and KIAA0319.
serve.v.35	serve	v	served	Most of his previous Jesuitical initiatives--against jaywalking, speeding, gridlock, and the failure to wear seatbelts, among others--have been announced well in advance, so that notice was served that as of a certain date, things were going to be different.
serve.v.36	serve	v	serving	For the Clear Skies Act, EPA's projections reflect that the majority of FGD installations will involve a single absorber unit installation per plant; however, the maximum projected number of scrubbers retrofitted at any facility is three absorber modules serving six boilers with a maximum of 2400
serve.v.37	serve	v	serving	The problem with the quotations is that they are often quite long and neither interesting nor revealing, often serving to support a point made by the author, whom I would be happy to believe on his own recognizance.
serve.v.38	serve	v	served	The Salt Lake City librarians had prepared an equally exhaustive program of requirements, so whichever architect was chosen commodity probably would be well served.
serve.v.39	serve	v	serve	Where the placa appears signifies that territory as belonging to that gang, and it may also serve as a challenge to other gangs.
serve.v.40	serve	v	served	In the U.S. about one fifth of the routes served by rural carriers are in high-density suburban areas.
serve.v.41	serve	v	serves	With most tube T-shirts, for instance, the die-cutter serves the twin functions of pulling the knit material into the machine and centering it under the die before cutting.
serve.v.42	serve	v	serve	and the food is good and of course you your service is pretty good because it's serve yourself can't complain too much they they they have people come around and uh
serve.v.43	serve	v	serve	The presentation also covered Hawaii's use of videoconferencing to serve clients, New Jersey's voice over IP (VOIP) technology, and Iowa's computer guide for lowincome residents.
serve.v.44	serve	v	serve	It is Estrich who should be embarrassed, for having concocted a fantasy to serve her partisan agenda.
serve.v.45	serve	v	serving	For future reference, should a serving person deliver substandard service, the diner is perfectly within his or her rights to specify "no tip."
serve.v.46	serve	v	served	These served the city from the time of Kleisthenes and his Council of 500 in the late fifth century b.c.
serve.v.47	serve	v	served	Although they knew each other from school; although their groups were defined by flimsy, irrelevant criteria; and although self-interest was not served; they discriminated faithfully.
serve.v.48	serve	v	serves	He says the proposed deal serves the public interest by restricting cigarette advertising and marketing, and by requiring the tobacco companies to cough up billions if youth smoking fails to decline dramatically.
serve.v.49	serve	v	serve	Gratifying social ties, in turn, serve as vital contexts for further cognitive and social development.
serve.v.50	serve	v	serving	But our impression, after talking to serving officials, is that even this enlarged staff is consumed by meetings on day-to-day issues, sifting each day's threat information and trying to coordinate everyday operations.
