id	lemma	partOfSpeech	token	context
appear.v.1	appear	v	appear	Tone it down a tad, or at least bring a froth cup when you appear before cameras.)
appear.v.2	appear	v	appears	There is, the narrator answers as the HRC logo (a yellow equal sign, re-emphasizing how mainstream this cause is) appears on-screen: Call the Human Rights Campaign, toll free.
appear.v.3	appear	v	appearing	First, there was the critical moment of moral doubt: The day after appearing on Nightline , Fitzsimmons says, he felt "physically ill.
appear.v.4	appear	v	appeared	Using GAPDH mRNA expression as a control, expression of Abcg5 and Abcg8 mRNAs appeared to be increased in liver from SHR compared to Sprague Dawley (Fig.
appear.v.5	appear	v	appeared	Would I feel different if this sexy plus-50 cavalcade appeared in People magazine?
appear.v.6	appear	v	appear	Slate mail server have meant that many responses arrived too late to appear in the quiz.
appear.v.7	appear	v	appear	White clapboard walls, black shutters, and pedimented porches started to appear in McKim, Mead & White houses.
appear.v.8	appear	v	appear	The benefits of these reductions do not appear to have been monetized in the analysis.
appear.v.9	appear	v	appears	She habitually appears late at night, to men who are out alone, some intentionally, others innocently on their way home from work.
appear.v.10	appear	v	appeared	and then uh it it's it appeared that maybe it probably wasn't the neighbor
appear.v.11	appear	v	appears	Indeed, a well-formed lockstitch is smooth and appears the same when viewed from either the top or bottom ply.
appear.v.12	appear	v	appeared	Cy and Vyv spent an hour before dinner conferring with MonaLisa and Novy, who appeared much assured by the conversation.
appear.v.13	appear	v	appear	well uh i think she's mostly German Shepherd uh she was uh uh a person lives across the street from me uh brought her home from work because a coworker of hers uh had this dog appear on its front doorstep somebody somebody abandoned her and she's only about oh six between six and eight six to eight weeks old
appear.v.14	appear	v	appears	As this occurs, each species appears in an increasing number of clauses, so as C/V increases, at some point the satisfiability of the Ksat system went from easy to hard.
appear.v.15	appear	v	appears	The reference to God appears in neither of the drafts that his assistants, John Hay and John Nicolay, said were the prepared texts.
appear.v.16	appear	v	appeared	I find it sad, moreover, to read the same tired tripe over and over from the pen of a writer who once appeared on her way to being a great poet and gave it all up to write a single column, over and over, for the past 15 years.
