id	lemma	partOfSpeech	token	context
live.v.1	live	v	live	A > succession of discoveries has taught us about archeabacteria, very ancient and primitive single-cell organisms that live in the places you'd least expect anything to call home.
live.v.2	live	v	lived	I honestly believe that if Reagan and Gorbachev had not come to power when they did--if Brezhnev had lived, and if Carter had served a second term, and Mondale and Dukakis had succeeded him--the Soviet empire would be intact today.
live.v.3	live	v	lived	Yes, in Keats' poems, life has a dreamy quality--but this is not a gorgeous swoon so much as the sense that somewhere, out of sight, we have already lived our actual lives, and that the life we are forced to feel through now is a posthumous remembrance of that earlier life, full of pain and loss.
live.v.4	live	v	live	While many District residents live in poverty, Sensenbrenner is worth nearly $8 million, lives in Virginia, and is dubbed "the biggest tightwad in Congress with taxpayer dollars" by his chief of staff.
live.v.5	live	v	living	(You can hear brief clips of Ginsberg reading from "" and ".") Sports mogul Jack Kent Cooke was remembered as a voracious, colorful rags-to-riches entrepreneur who built two dynasties (the Los Angeles Lakers and Washington Redskins) while living a sumptuous life that included four successive wives, two of them too young to be his daughters.
live.v.6	live	v	lived	But The Best American Recipes 1999 reflects life as it is lived.
live.v.7	live	v	living	As others follow, they begin to experience the jealousy, desire, and misery of a physical existence (this is the period in which we are living).
live.v.8	live	v	live	Not only have I read your Broken Windows article and value it's important impact on criminal justice policy, but its thesis goes to the heart of how we make urban areas communities again, places where we can work and live.
live.v.9	live	v	lives	An old and trusted friend, "Jane," who lives in Los Angeles and works in television suggested I send her the manuscript of a novel I wrote because she had a friend who knows an agent who was looking for works by women about women.
live.v.10	live	v	lived	Time 's eight page package regrets that Sinatra didn't die as he lived: fighting.
live.v.11	live	v	live	More than 97 million people live in areas that do not yet meet the health-based 1-hour ozone standard (based on 1997-1999 data).
live.v.13	live	v	living	I admire the Tugendhat House, but I could not imagine living in it.
live.v.14	live	v	lived	okay see that's something in Minneapolis they're really strict on in terms of you got to put everything in its own little bag and really presort it really you know tightly but when i lived in Orlando it's like you could put almost anything in there and they'd just sort it out for you it was really pretty good if you're lazy like i am so
