id	lemma	partOfSpeech	token	context
transfer.v.1	transfer	v	transferred	It straight-out says "The Democratic National Committee quietly transferred at least $32 million to state Democratic parties in the last election as part of an elaborate plan to spend more money than federal election law appeared to allow on a massive advertising campaign that indirectly helped re-elect President Clinton."
transfer.v.2	transfer	v	transfer	Presumably writing before the Taliban announced its new restrictions on bin Laden, commentator Joseph Samaha of Saudi-owned al-Hayat described him in an editorial Thursday as one of the great beneficiaries of the American-sponsored "communications revolution," which enabled him to transfer money undetected around the world and to reach every corner of the "information village."
transfer.v.3	transfer	v	transferred	The article reveals that he recently transferred a huge chunk of stock to his charitable foundation, boosting its endowment to $17 billion.
transfer.v.4	transfer	v	transferred	"The US Administration stated on January 12 that all documents on 'the Iranian case' have been transferred to the competent Russian agencies through diplomatic channels," Segodnya said.
transfer.v.5	transfer	v	transfer	Bin Ladin relied on the established hawala networks operating in Pakistan, in Dubai, and throughout the Middle East to transfer funds efficiently.
transfer.v.6	transfer	v	transferred	The Post and LAT lead with President Clinton's unveiling today of sweeping privacy rules protecting patients' medical records, a story already broken by the NYT (see Wednesday's TP ). USAT leads with the news that Saudi businessmen have transferred tens of millions of dollars to suspected terrorist Osama bin Laden over the past five years.
transfer.v.7	transfer	v	transfer	The popular philosophy of income redistribution requires us to transfer income from the few high earners of today, while the popular philosophies of conservation and "fiscal responsibility" require us to transfer income to the many high earners of tomorrow.
transfer.v.8	transfer	v	transfer	The other papers put the story inside, with all the coverage explaining the judge's reasoning: If Lee were out, he might be able to transfer to a foreign power the seven highly sensitive data tapes he admits making but that are currently missing.
transfer.v.9	transfer	v	transferring	Wednesday's action bars Brown from transferring the money until the appeals court rules.
transfer.v.10	transfer	v	transferred	It is still possible to steal confidential information that is transferred on the net, and so we need at a minimum some law of privacy and trade secrets.
transfer.v.11	transfer	v	transferred	The DNA from one of these cells was then transferred into an unfertilized sheep egg cell from which they had carefully removed the DNA.
transfer.v.12	transfer	v	transfer	and i get paid very little but um you know i try to use that money for food money Jim gives me a certain amount money you know we just transfer it into my account and then i use that for food household expenses and then i add my own check to that and then with that i try and handle
transfer.v.13	transfer	v	transferred	In addition, the 911 system struggled with the volume of calls and rigid standard operating procedures according to which calls conveying crucial information had to wait to be transferred to either EMS or FDNY dispatch.
transfer.v.14	transfer	v	transfer	Some of the people, of course, lose more than 20 percent of their money, and in doing so effectively transfer their cash to those who lose less or who--rarity of rarities--actually win.
transfer.v.15	transfer	v	transferred	The Washington-based Legal Services Corp. wants the buildings transferred to the S.C.
transfer.v.16	transfer	v	transferred	However, good-government groups, like Common Cause and the Center for Public Integrity, emphasize that these figures , based on reports filed with the Federal Election Commission, are deceptive . They exclude donations to state parties that are transferred to both federal and nonfederal candidates.
transfer.v.17	transfer	v	transferred	Because GLIMMER selectively identifies ORFs that match a statistical model of a gene for the organism [ 29], GLIMMER may miss genes that were laterally transferred or acquired more recently from other genomes.
transfer.v.18	transfer	v	transferring	Segal said raising money to help Legal Aid is critical "to help battered women, people transferring from welfare to jobs in the economy, and the elderly.
transfer.v.19	transfer	v	transfer	Congress has used its delegation power to transfer its authority to states on several occasions.
transfer.v.20	transfer	v	transferred	His lawyers tell the DOJ that when Lee transferred classified files to an unprotected local area network, he was merely making backups in case the originals crashed.
transfer.v.21	transfer	v	transferred	In fact, as Lingua Franca 's trusty researchers have confirmed, the Bell archives were transferred to the Library of Congress more than twenty years ago, and the National Geographic Society's Bell Room no longer exists.
transfer.v.22	transfer	v	transfer	Fifth, you transfer your book from your PC's Rocket Library to your Rocket, which has 4 mb of memory (enough to hold 20 medium-length novels).
transfer.v.23	transfer	v	transferred	and uh the place i just transferred jobs not too long ago and so i went through the whole process and the
transfer.v.24	transfer	v	transfer	The lean retailer can also transfer to its suppliers the functions (and costs) of creating floor-ready merchandise, activities that traditional retailers handled in the past.
transfer.v.25	transfer	v	transferred	The compassionate Dog tenderly licks the burned face of the baby and tells the devil, firmly but respectfully, "the merits of offering incense, flowers, alms, etc. are all transferred to you; the mangala-gatha just referred to have been recited in order to appease you (pannaharatthaya: as a gift) and you should therefore leave the patient in deference to the Sangha (bhikkhusangha-garavena)."
transfer.v.26	transfer	v	transferred	yeah that's nice i'd started to redo the basement in uh in our house in New Hampshire i was going to make it into like a family room and i'd started putting the flooring in and stuff but i never finished it the uh we got transferred out here
transfer.v.27	transfer	v	transfer	It takes another hour to search for the Book of the Dead's opposite number, which will theoretically send Imhotep back to the cosmic soup from which he sprang before he can transfer the heroine's soul to the embalmed remains of his lady love.
transfer.v.28	transfer	v	transferring	Static-renewal tests - The test organisms are exposed to a fresh solution of the same concentration of sample every 24 h or other prescribed interval, either by transferring the test organisms from one test chamber to another, or by replacing all or a portion of solution in the test chambers.
transfer.v.29	transfer	v	transferred	Most other vehicle words transferred their meanings from horse to motor with less fuss.
transfer.v.30	transfer	v	transfer	The compromise position of several committees has been to transfer responsibility for visa policy to the proposed department, while retaining the cadre of overseas visa officers within State.
transfer.v.31	transfer	v	transfer	As children learn about mental states from conversing and engaging in make-believe with adults, they transfer this knowledge to sociodramatic play with peers.
transfer.v.32	transfer	v	transferring	To make it look more authentic, Sedelmaier corrupted the new animation by transferring the negative to a second one to make the cartoon look 25 years old.
transfer.v.33	transfer	v	transferred	If this group does not show excessive mortality or obvious signs of stress in a few hours, the remainder of the test organisms are transferred to the dilution water.
transfer.v.34	transfer	v	transferred	and uh he was a native and had gone to school there and got transferred to Colorado where i was living
transfer.v.35	transfer	v	transferred	they i don't see them getting i mean when i was undergraduate i went to a relatively small school for my first two years and then i transferred to a very large school
transfer.v.36	transfer	v	transfer	Clearly the Postal Service could do more to transfer some of these operations to the private sector through worksharing discounts.
transfer.v.37	transfer	v	transferring	The Enquirer does not say whether Lieberman is related to Evelyn Lieberman, the Clinton aide who helped send Monica into this spiral by transferring her from the White House to the Pentagon after she showed inordinate interest in the president.
transfer.v.38	transfer	v	transfer	So I was in those situations where I first, come first, transfer last, come first to transfer out.
transfer.v.39	transfer	v	transfers	The secretary transfers the CIA's money to the DCI but disburses the national agencies' money directly.
transfer.v.40	transfer	v	transferred	Many of these words are used figuratively, and others have simply transferred their meanings to modern objects and conditions, especially those having to do with rail and motor transport.
transfer.v.41	transfer	v	transferred	uh no uh oh several years before well it's a long thirty minute story but uh when my father died in nineteen fifty eight uh i uh transferred the title to my sister
transfer.v.42	transfer	v	transferred	It is generally seen as a triumph that the classical thermodynamic concepts of temperature, pressure, and entropy were reduced to statistical features of idealized sets of gas particles: temperature becoming the average kinetic energy of the particles, pressure the momentum transferred to the walls of the vessel, and entropy a measure of the number of microstates per macrostate.
transfer.v.43	transfer	v	transferred	Saeed al Ghamdi transferred to a university in al Qassim, but he soon stopped talking to his family and dropped out of school without informing them.
transfer.v.44	transfer	v	transferred	The original law signed by the governor required screening of all injured patients admitted to an acute care hospital as well as injured patients who required the activation of a trauma team response or who were transferred to or from an acute care institution.
transfer.v.45	transfer	v	transferred	Responsibility for KSM was transferred to this branch, which gave the CIA a "man-to-man" focus but was not an analytical unit.
transfer.v.46	transfer	v	transferring	Certain provisions unique to the Acid Rain Program are moved to Subpart 1 of Part B. Further, for the Acid Rain Program and the new trading programs, the existing Section 403 is revised to provide that only the signature of the party transferring allowances (not the signatures of both parties to the transfer) is necessary for the transfer to be effective.
transfer.v.47	transfer	v	transferred	I doubt that it is accurate to define gunsel as a `callow youth,' a sense that probably rubbed off from the character played by Elisha Cook, Jr. in The Maltese Falcon: though he was referred to (by Bogart, as I recall) as a `punk' and `gunsel' and was portrayed as ineffectual, that does not justify a transferred definition: gunsel , probably from Yiddish, is a less common, old-fashioned term for `gunman, body guard, torpedo, hit man,' and the like, simply a `criminal who carries a gun,' and needs no (additional) pejorative treatment.
transfer.v.48	transfer	v	transferred	um actually married in Pittsburgh and that's that's not what they want to hear on this call uh at any rate we came back here with my husband was transferred around uh up to Minnesota and now back to Texas with T i
transfer.v.49	transfer	v	transferred	Winnie found himself in England when the regiment was transferred to England in the Great War (or World War I).
transfer.v.50	transfer	v	transfer	Companies such as Politics Online handle the donation transactions and instantaneously transfer the dough into the campaign bank accounts for 10 percent of the take.
transfer.v.51	transfer	v	transferred	we've transferred around and our last area was in a rural section right on the lake uh on Lake Erie so the lake life appealed to me and my husband's working and he left it up to me if i worked or not
transfer.v.52	transfer	v	transfer	Two reforms were needed if these cultural programs were to survive: (1) they had to transfer more government dough to Podunk; (2) they had to become more prole-friendly.
transfer.v.53	transfer	v	transferring	Al Qaeda frequently moved the money it raised by hawala, an informal and ancient trust-based system for transferring funds.
transfer.v.54	transfer	v	transfer	The big story today is what happens when blue tape meets red tape, with the House Judiciary wrangle over the release of Starr report evidence--including the Clinton video--leading at USA Today , the Washington Post , and the Los Angeles Times . The New York Times puts that story on the top front, but goes instead with Congress' likely decision to transfer control of satellite exports back to the State Dept. from the Commerce Dept., a development with its roots in a now-nearly forgotten Clinton technology-transfer-for-political-donations scandal broken last spring by the Times , a development nobody else's front page covers.
transfer.v.55	transfer	v	transfers	Reversing roles and recasting the behemoth, the spot transfers the old-world authenticity popularly associated with microbrews to Miller.
transfer.v.56	transfer	v	transfered	If I give my information to Site 1, and then it is transfered without my consent to an affiliated site, that could well amount to a breach of duty that exposes the operators of both sites to serious liabilities.
transfer.v.57	transfer	v	transferred	He suggested that it was a transferred use of the Queensland Aboriginal word for a particularly noisy bird and that the connection was made by percipient Aborigines who applied it first to the German missionaries of 1838, having noted their garrulousness.
transfer.v.58	transfer	v	transferring	Um, she had lost some credits in transferring.
transfer.v.59	transfer	v	transferred	2 Upon arrival at the test site, the organisms are transferred to receiving water if receiving water is to be used as the test dilution water.
transfer.v.60	transfer	v	transferred	The term was in use long before hippies were a gleam in anyone's eye; it is probably an extension from the theatrical term for the villain of the piece, later transferred to mean `serious, important.
transfer.v.61	transfer	v	transferred	For the standard operating procedure and only a few people being available, causing calls to be transferred, see FDNY interview 28, Dispatch (Jan.
transfer.v.62	transfer	v	transfer	Banks and insurance companies already use digital signatures to transfer large sums of money online.
transfer.v.63	transfer	v	transfer	A WP front-pager reports that George W. Bush vowed yesterday that if elected president, he would strip federal funding from failing public schools and give the money to parents for tutors or to help them transfer their kids to other schools, including private ones.
transfer.v.64	transfer	v	transferred	Allowances, once allocated or auctioned to a person by the Administrator, may be received, held, and temporarily or permanently transferred in accordance with this title and the regulations of the Administrator without regard to whether or not a permit is in effect under title V or section 404 with respect to the unit for which such allowance was originally allocated and recorded.
transfer.v.65	transfer	v	transfer	It is often impossible for translators, for example, to transfer the implications and undercurrents suggested by modified English spellings into another language.
transfer.v.66	transfer	v	transferred	Upon arrival at the test site, organisms are transferred to receiving water if receiving water is to be used as the test dilution water.
transfer.v.67	transfer	v	transferred	Instead of printing out intake forms and faxing them to the other providers, who then must manually enter the data into their systems, intake information will be transferred electronically from one system to the other.
transfer.v.68	transfer	v	transfer	Hawalas typically do not have a large central control office for settling transactions, maintaining instead a loose association with other hawaladars to transfer value, generally without any formal or legally binding agreements.
transfer.v.69	transfer	v	transferring	As of December 31, 2001, Legal Services of Northwest Indiana, Inc. joined with Legal Services Organization of Indiana, Inc. (LSOI) by transferring its assets to LSOI.
transfer.v.70	transfer	v	transferred	Six weeks before the September 11 attacks, control of the WTC was transferred by net lease to a private developer, Silverstein Properties.
transfer.v.71	transfer	v	transferred	It must be emphasized, of course, that language preceded numeracy, but it is interesting to see how very early in man's acculturation the ability to deal with the abstract notion of counting manifested itself and was then transferred into an encodable form.
transfer.v.72	transfer	v	transferred	Mal ojo may be transferred by a peculiar person who gazes at a weaker person, a woman or a child, and the ill effects are felt immediately.
transfer.v.73	transfer	v	transferred	uh i i trained my uh my wife in the house in in doing things in fact uh when i uh first transferred down to uh Texas Instruments back in nineteen eighty seven um
transfer.v.74	transfer	v	transferred	In Louisiana the name was transferred to a freshwater turtle with far more modest size and amatory tenacity, but the metaphor persisted.
transfer.v.75	transfer	v	transferred	Revenue is shown when it is recognized, and it is shown as transferred to others when the cash is disbursed or the property is delivered.
transfer.v.76	transfer	v	transferred	well you get it the way you want it and just perfect and sit back for a while i hope y'all don't have to get transferred or anything now that you got it the way you want it
transfer.v.77	transfer	v	transferred	The Internet has simply transferred this principle to cyberspace.
transfer.v.78	transfer	v	transfer	He added that the reason Israel was so calm in advance of the attack was that it had concluded there were no launchers or ballistic missiles to threaten it in western Iraq, and that even if Saddam decided to launch the few "Hussein" missiles and improved Scuds he still had, he would need more than 24 hours to transfer them from their hiding places to an area within range of Israel.
transfer.v.79	transfer	v	transferred	After 1945, many works originally in the eastern half of the city or Potsdam were transferred to a new home in the west.
transfer.v.80	transfer	v	transferred	And my father was transferred to Pensacola, FL.
transfer.v.81	transfer	v	transferred	The explanation is basic physics: At the dead spot, 100 percent of the ball's energy is transferred to the racket, which, were it in full swing on a tennis court, would return the energy to the ball, guaranteeing a power serve.
transfer.v.82	transfer	v	transferred	After this time, the property and decision rights must be transferred to an individual or group.
