id	lemma	partOfSpeech	token	context
dark.j.2	dark	j	dark	"We All are relieved to lay aside our fight-or-flight reflexes and to commemorate our births from out of the dark centers of the women, to feel the complexity of our love and frustration with each other, to stretch our cognition to encompass the thoughts of every entity we know."
dark.j.3	dark	j	dark	While reading "Allen Ginsberg's Secret," by Paul Berman, regarding the poet's confession of altering a poem Norman Podhoretz had submitted to the Columbia Review , I was struck by a dark thought: What if Allen Ginsberg and Norman Podhoretz were the same person?
dark.j.5	dark	j	dark	Then again, there are passages of dark fury--the outraged indignation of the Swede's wised-up brother, Jerry the Miami heart surgeon, who can't stand the innocence any longer, and whose drumbeat imprecations achieve a kind of poetry:
dark.j.6	dark	j	dark	The plot is labyrinthine and the body count high, but critics agree that the film is "dark, dangerous, and a great deal of wicked, amoral fun" (Kenneth Turan, the Los Angeles Times ). Many compare Ritchie's style to Quentin Tarantino's.
dark.j.7	dark	j	dark	Arizona is the spoiler, having ousted tournament favorite Kansas and the only remaining dark horse, Providence, which was led by the memorable point guard God Shammgod.
dark.j.8	dark	j	dark	Rove understands, as few Republicans do, what a dark side the GOP represents to voters.
dark.j.9	dark	j	dark	This is an interesting one: the term in AE is oreo , after the tradename of a dark double chocolate cookie with white cream between, a confection not encountered (by me) in Britain.
dark.j.10	dark	j	dark	Mies, looking older than his forty years, wears a Homburg, a long dark ulster, and spats.
dark.j.12	dark	j	dark	Yet when the first hard frost comes, when the birches have been swung, their crimson leaves scattered carelessly, when crystals splint shallow ponds and old egrets stand dark watch the coming dawn, long-legged, knowing how winter is thin, when the first phase transition of water to ice forms slight solidity across meadow streams, small creatures of flesh and concept tiptoe gingerly to some far side where, perhaps, something new is to be found.
dark.j.13	dark	j	dark	The interior of the palace is very dark, and the use of flash is forbidden, so photographers should think twice before paying the extra fee for bringing in a camera or video equipment.
dark.j.14	dark	j	dark	I like their dark rooms with wood paneling, hammer-beam ceilings, and traditional oak furniture.
dark.j.15	dark	j	dark	25 All the digits are represented in the now-familiar sequence of light and dark bars of differing widths.
dark.j.16	dark	j	dark	Her baby's sun faded in the dark and clammy Pacific Northwest under Mona's sister's minging care.
dark.j.17	dark	j	dark	He is correct to identify the glibness, guile, and style with which Reed manipulates mass audiences, but he doesn't point out that this masks a dark, self-serving ambition.
dark.j.18	dark	j	dark	David Lifton, famous for his theory that JFK's body was surgically altered before the autopsy, has written elsewhere that portions of the head shot sequence look suspiciously dark to him and that some of JFK's "movements" may be special effects.
dark.j.19	dark	j	dark	From 1965 to 1967, he works exclusively on the chapel project, and the paintings become so dark that some of them are virtually black on black.
dark.j.20	dark	j	dark	The unlit stairwells filled with smoke and were so dark as to be impassable.
dark.j.21	dark	j	dark	The cable network's animated show about third graders obsessed with violence and bodily emissions "has replaced Beavis and Butt-head as America's premiere gross national product" (Ken Tucker, Entertainment Weekly ). Critics attribute the show's cult following to the timeless power of bathroom humor and to its dark and clever plots, such as a thwarted assassination attempt on Kathie Lee Gifford.
dark.j.22	dark	j	dark	People began as insects who inhabited the dark, watery first world.
dark.j.23	dark	j	dark	4.79-80) is not a reference to the hosiery worn by our kind of jogger, but to a dark woolen cloth.
dark.j.24	dark	j	dark	My dear, I was in a dark grotto, like Capri, and everything smelled so astringently sea clean."
dark.j.25	dark	j	dark	The interior of the island is a wonderful mixture of mountainous dark pine forest and farmland.
dark.j.26	dark	j	dark	Here was a man who whispered terrible, dark things about himself under his breath.
dark.j.27	dark	j	dark	Barry Watson as eldest son Matt has the soulful eyes, clean-cut yet girlish features, and long dark shag of Keith Partridge.
dark.j.28	dark	j	dark	It is so delightfully dark ages to see this kind of mumbo jumbo reported right next to the real news.
dark.j.29	dark	j	dark	But U.S. officials now say that the agent was gathering intelligence on another country--most likely Iran--and that the Germans ordered the diplomat out because they're tired of the United States using their country as a spy nest and keeping them in the dark about it.
dark.j.30	dark	j	dark	when i was out walking it was more of a pre dawn type pretty but huh-uh he didn't think it looked pre dawn to him it looked dark and even he was real concerned about that so
dark.j.31	dark	j	dark	The fake ad becomes a moment of dark revelation--a window into John's true character.
dark.j.32	dark	j	dark	just Dallas in general i don't know i think back of when i was uh younger and in my party days some of those things i did you know i wouldn't be caught dead like being out that late at night in a dark parking lot so
dark.j.35	dark	j	dark	Your response to ""--recommending that a soon-to-be-married couple break off relations with highly unsupportive soon-to-be in-laws--struck a deep, dark chord in me.
dark.j.36	dark	j	dark	A few hours later, the Gore campaign headquarters in Nashville, Tenn., made available for inspection by reporters a battered paperback copy of Thomas Kuhn's landmark book with a dark stain in the margin beside the underlined sentence, "One final example of scientific discovery, that of the Leyden jar, belongs to a class that may be described as theory-induced."
dark.j.37	dark	j	dark	When I look back now at the Vietnam era and recall what people (including me) thought and said, I think a dark cloud must have passed over the country.
dark.j.38	dark	j	dark	Lit. horse-shit color: dark green
dark.j.39	dark	j	dark	A scream was forced from her lips as they were pressed against the firm mouth and bulging chest of this man with magnetic dark eyes.
dark.j.40	dark	j	dark	Caricatures scrawled on the dim walls behind them echo their dark shapes.
dark.j.41	dark	j	dark	Berlin has many reminders of its dark past, but this has particular impact.
dark.j.42	dark	j	dark	It's a nasty, muggy morning where I am, the worst of both seasons: dark as only fall mornings can be, but still as humid as summer.
dark.j.43	dark	j	dark	what else is there there's another color dark gray that's it
dark.j.44	dark	j	dark	It's snowing, it's getting dark, and it's the only way we can get picked up by the infra red sensors."
dark.j.45	dark	j	dark	He is the least likely of the suitors, but the odd fragments he has assembled serve as answers to the princess's dark riddles, which leave his brothers stammering.
dark.j.46	dark	j	dark	A story says that legal publisher Steve Brill will launch a glossy, hard-hitting media-criticism magazine called Content . Mel Gibson is on the cover: The puff inside implies, unpersuasively, that he has a deep, dark soul.
dark.j.48	dark	j	dark	Alot of the dark humor of the book comes from Rosenbaum's straight-faced attempts to lay out the rival theories of Hitler Studies one by one.
dark.j.49	dark	j	dark	The colorful little symbols filling the grids remind me of Gustav Klimt (whom Close studied in Vienna in 1964), especially when Close is luxuriating in the dark tangle of the artist Kiki Smith's hair ( Kiki , 1993).
dark.j.50	dark	j	dark	I certainly don't need to hear this fetishized event described again, and I respect his choice of Altamont as the more relevant chapter in rock's dark lineage.
dark.j.52	dark	j	dark	Then opened apparently for more living,I put my laundry in a dryer and my father was reading The New Republic --concentrating, with his reading glasses,and caring about the truth, despite all the sun and all the sandwiches and tennis and driving, and I lovedhim reading there in his dark pink shirt.
dark.j.53	dark	j	dark	It was a short run from there to the distillation of epinephrine from Drixan inhalers and a growing taste for perspiring, gasping conversations with his only friend, Ambrose Broussard, a very dark French Canadian, originally Indian, farmboy.
dark.j.54	dark	j	dark	uh i don't remember it was i had my parents buy everything and i ended up it was their table their kitchen table it came out really dark
dark.j.56	dark	j	dark	(It gets dark so early when you lie in bed brooding until 2 in the afternoon.)
dark.j.58	dark	j	dark	It has a number of bridges spanning its route, creating a shadowy, dark, and almost somber appearance.
dark.j.59	dark	j	dark	These animals were caged individually and housed in the Brigham Young University Bio-Ag vivarium and maintained on a 10-hour dark 14-hour light schedule (lights on 1400-0400).
dark.j.60	dark	j	dark	If anything, say the pundits, Clinton is shrewd to solidify political support during these dark days.
dark.j.61	dark	j	dark	Wigand's dark night of the soul is in a hotel, indicted, financially ruined, threatened with death, minus his wife and daughters; Bergman's is in an expensive-looking beach house with his warmly supportive spouse (Lindsay Crouse).
dark.j.62	dark	j	dark	oh i get that too because i i'm in a van pool and i'm in the van you know uh two hours a day an yes yes and in the in the morning i try to sleep because it's it's dark thirty
dark.j.63	dark	j	dark	In the ambulatory behind the altar is a brilliantly sculpted alabaster monument, the tomb of bishop Alonso de Madrigal, whose dark complexion won him the nickname el tostado (the toasted one).
dark.j.64	dark	j	dark	it's a lot of trouble to to take care of that and of course the kids say then why bother just let me wear what i want and and yet we can't to that either i'd like to see them go to to not necessarily a uniform but saying that they've got to wear a button down shirt you know that would that would alleviate any T-shirts with sayings on them but if they could wear a button-down shirt and a pair of dark slacks and they could buy th em anywhere they wanted and you know and
dark.j.65	dark	j	dark	Indeed, Washington wore a dark brown suit, entirely made in America, for his first inaugural on April 30, 1789.
dark.j.66	dark	j	dark	Meanwhile, is that computer you got your father for Christmas--hoping to bring the old man out of the Stone Age, for heaven's sake--sitting mockingly dark and silent in the den, unused and unloved?
dark.j.67	dark	j	dark	and uh it's it's definitely been amazing to to see the transformation we took we took after pictures it's a shame that we didn't take before pictures because yeah it was just uh as i said rusted dents and the color was that dark dark green that's almost
dark.j.69	dark	j	dark	There is no dark side to Pooh, no complicated European soul.
dark.j.70	dark	j	dark	We get a brief glimpse of a dark glowing warmth in cut glass as the pouch falls away, much as a shift might fall from the shoulders of a man's lover.
dark.j.72	dark	j	dark	yeah and i didn't like that you know why i didn't like that movie it was so dark i couldn't see
dark.j.73	dark	j	dark	Despite A-list star power (Nick Nolte, Sean Penn, John Travolta, George Clooney) and spectacular cinematography, even positive critics concede the film is "too dark and cluttered and mysterious to ever achieve the popular acceptance of Spielberg's movie" (Dave Kehr, the Daily News ). The biggest complaints are about the film's lack of plot and dialogue (almost all the speaking in the film is voice-over), which borders on becoming "precious, self-conscious and even self-indulgent" (Kenneth Turan, the Los Angeles Times ). (This unofficial site has photographs from the film and message boards; or you can read about the practical joking on the set here.)
dark.j.74	dark	j	dark	He calls Eastwood "one of the great ironists of the age" and a "postmodern" hero: "Clint's gift," he writes, forever on a first-name basis with his subject, "is to let us see the dark comedy in the American male's contorting, distorting attempts to achieve his masteries of the moment while at the same time not entirely discrediting the tradition that makes him bid that effort."
dark.j.75	dark	j	dark	The Big Thinkers found only the dark lining in our silver cloud.
dark.j.76	dark	j	dark	Critics say Mendes improves upon the 1972 film version of the musical, which starred Liza Minnelli, by rendering it dark and raunchy.
dark.j.77	dark	j	dark	But I think it also offered a glimpse of Hatch's dark side--an envy that makes him into a more interesting character than I previously thought.
dark.j.78	dark	j	dark	people lying around in the park and it was dark and and i i just got scared i wound up running back to the car
dark.j.79	dark	j	dark	so we pitched a tent in the dark yard actually and his father and and the little boy and i all went out and had you know a a boy's a boys' night out
dark.j.81	dark	j	dark	Clinton should wear his soberest Leader-of-the-Free-World outfit: dark blue suit, white shirt, dark tie.
dark.j.82	dark	j	dark	And when dark tempests mimic thunder made -
dark.j.83	dark	j	dark	And I hate short sleeved shirts when they wear them with dark neckties, skinny swine knocking on closed doors; and I had a habit of counting bricks, a nice obsession compared with
dark.j.85	dark	j	dark	The original Godzilla is a dragon , a mythical destroyer who's close in spirit to the Jewish legend of the Golem--the colossal, indestructible clay man summoned up out of all the dark forces of this world who can't be destroyed by any of this world's weapons.
