id	lemma	partOfSpeech	token	context
severe.j.1	severe	j	severe	The NYT focuses on one Chechen village, a former refuge for a Chechen rebel commander, which has recently suffered severe attacks even though there is currently no indication of rebel presence in the village.
severe.j.3	severe	j	severe	The most severe form is infibulation, also known as pharaonic circumcision.
severe.j.4	severe	j	severe	Yet a certain number of children and adolescents, despite exposure to severe family adversity, escape these diculties and adjust well.
severe.j.5	severe	j	severe	Integrated mental health and substance abuse treatment for severe psychiatric disorders.
severe.j.6	severe	j	severe	The NYT is more firm about saying that if this is indeed the case it could be a severe setback for gene therapy.
severe.j.7	severe	j	severe	These Year 2000 conversion efforts are often conducted under severe time constraints that, without adequate management attention, could result in a weakening of controls over the integrity of data and programs and over the confidentiality of sensitive data.
severe.j.9	severe	j	severe	The Access to Justice Commission was created in 1996 as a coordinating body to seek support for legal services programs and develop strategies to address the severe lack of access to justice that had been identified earlier by a State Bar-sponsored blue ribbon study group.
severe.j.10	severe	j	severe	Ingest these toxic bacteria, and you experience watery diarrhea and severe abdominal pain at first, bloody stools next.
severe.j.11	severe	j	severe	This is good news for patients coping with severe restrictions on what they can and must not eat, but a study by Ludvig Sollid and colleagues in this issue of PLoS Medicine suggests that oats are not safe in all cases.
severe.j.12	severe	j	severe	screening with a low cut point on the AUDIT identified more people with severe alcohol problems and alcohol dependence than did not using a uniform screening method.
severe.j.13	severe	j	severe	Under Secretary of State for Political Affairs Marc Grossman knew of Sheehan's severe demands and instructed Ambassador Milam to reiterate them to the Taliban.
severe.j.14	severe	j	severe	A decade earlier, the British government led by Margaret Thatcher was facing severe economic troubles and insistent calls for a change of policy to deal with them.
severe.j.15	severe	j	severe	Patients in the emergency setting range from those with no alcohol problems to those with severe dependence.
severe.j.16	severe	j	severe	Within 15 minutes after the impact, debilitating smoke had reached at least one location on the 100th floor, and severe smoke conditions were reported throughout floors in the 90s and 100s over the course of the following half hour.
severe.j.17	severe	j	severe	Not only would that explain Alexander's fever, chills, and severe bowel distress, the scholars say, but the disease can induce a rare complication called "ascending paralysis," which looks like rigor mortis even though the afflicted person may not yet be dead.
severe.j.18	severe	j	severe	In general, more severe responses (such as acute effects) occur at higher concentrations of the toxicant, and less severe responses (such as chronic effects) occur at lower concentrations.
severe.j.19	severe	j	severe	I saw equally severe prejudice against people of darker skin, often including Negroes, by non-Whites in two major Asian countries in which I worked (1968-70, 1978-83) and in fourteen sub-Saharan African countries in which I worked (1972-74).
severe.j.20	severe	j	severe	The Cotswold style, with its relatively severe details and blunt forms, created a very different setting from French Provincial, which tended to have more delicate details, from Free Style with its almost rustic atmosphere, or from sturdy Colonial.
severe.j.21	severe	j	severe	Research shows, for example, that patients' SF-36 scores consistently improve after hip-replacement surgery (for severe arthritis) and prostate surgery (for trouble urinating) when they're done right.
severe.j.22	severe	j	severe	Patients with severe dependence have a disproportionate share of alcohol-related medical consequences, but it is estimated that such patients generate only a fraction of all alcohol-related problems.
