id	lemma	partOfSpeech	token	context
br-e28.snum=52	different	a	different	Are you experimenting with different selling slants in developing new customers?
br-j06.snum=59	different	a	different	Rather large differences were still found between reaction cells from different manifold fillings.
br-f24.snum=46	different	a	different	They spread over an area no larger than Oregon; yet they include peoples as different from one another as Oregonians are from Patagonians.
br-a15.snum=89	different	a	different	The truth is, though, that men react differently to different treatment.
br-k13.snum=102	different	a	different	When they got home Harold was grateful for the stillness in the apartment, and thought how, under different circumstances, they might have stayed on here, in these old-fashioned, high-ceilinged rooms that reminded him of the Irelands' apartment in the East Eighties.
br-j29.snum=14	different	a	different	The final sample was not significantly different from a normal distribution in regard to reading achievement or intelligence test scores.
br-e04.snum=59	different	a	different	Some of them are obvious, such as the fact that we associate recorded and live music with our responses and behavior in different types of environments and social settings.
br-r05.snum=74	different	a	different	There are many grammatical misconstructions other than dangling modifiers and anatomicals which permit two different interpretations.
br-j20.snum=28	different	a	different	We will denote the values of f ( t ) on different components by **f.
br-j03.snum=24	different	a	different	It is presumed that this negative head was associated with some geometric factor of the assembly, since different readings were obtained with the same fluid and the only apparent difference was the assembly and disassembly of the apparatus.
br-g11.snum=21	different	a	different	I want, therefore, to discuss a second and quite different fruit of science, the connection between scientific understanding and fear.
br-e01.snum=53	different	a	different	But contest definition-that dramatic muscular separation of every muscle group that seems as though it must have been carved by a sculptor's chisel-is something quite different .
br-f44.snum=31	different	a	different	Missionary outreach by friendly contact looks somewhat different when one reflects on what is known about friendly contact in metropolitan neighborhoods; the majority of such contacts are with people of similar social and economic position; association by level of achievement is the dominant principle of informal relations.
br-j70.snum=91	different	a	different	A series of eight special tests were conducted at different rotor speeds to determine the oxygen transfer rate.
br-g20.snum=58	different	a	different	The connective system, or network, is tailored to meet the requirements of the objective, and it is therefore not surprising that a military body acting as a single coordinated unit has a different communication network than a factory, a college, or a rural village.
br-e21.snum=34	different	a	different	Frontage on a body of clear, clean water will be vastly different from the same amount of frontage on polluted water.
br-k05.snum=147	different	a	different	Yet this scream had a different note in it.
br-l10.snum=108	different	a	different	On Blanche Jacobs, Kitti Gilborn's death had a quite different effect.
br-j41.snum=68	different	a	different	From this presumption it is an easy step to the conclusion that any observed increases in the basic wage rate must be due to union behavior different and more aggressive than assumed in our model.
br-j54.snum=73	different	a	different	Plate 12 illustrates four examples, which are Ripe or Late Geometric work of common spirit but of different schools.
br-j34.snum=25	different	a	different	One issue that must be faced is the relative difficulty of analysis of different phonologic subsystems.
br-j22.snum=67	different	a	different	Foreign policy now takes on a different perspective and must become skilled not merely at response but also at projection.
br-e28.snum=37	different	a	different	The change may require different products, pricing, packaging, warehousing, salesmanship, advertising and executive attention - practically every link in the marketing network may have to be adjusted.
br-j02.snum=41	different	a	different	Figures 1 to 3 show photographic and schematic views of the test stand and of two different models of the anode holder.
br-d01.snum=47	different	a	different	Yet are not we of the mid twentieth century, who rightly do not believe there is any such "thing"as the devil, just as bad off as they-only in a different way?
different.a.bnc.00020308	different	a	different	The tears on her face were a  different  colour now.
different.a.bnc.00043733	different	a	different	There is one well-known materialist account of  different  modes of knowledge that might seem to be useful here in preserving the mode of knowledge approach against the need for the more drastic behaviouristic alternative.
different.a.bnc.00002704	different	a	different	Newer approaches to history can give accounts which do not have landmark events and which tell us about  different  aspects of the past, such as social conditions.
different.a.bnc.00035404	different	a	different	Whereas an opponent may be able to cope with a single technique, it is much more difficult when the attack is continuous, incorporating both linear and circular blows delivered to  different , often widely separated targets.
different.a.bnc.00049084	different	a	different	Vitamin B The B vitamins are a very complex group, with each individual B vitamin contributing to a  different  aspect of fitness.
different.a.bnc.00021350	different	a	different	I don't know how many times I'd done the Harwich-to-London run, but the journey seemed  different  that day like a well-known view captured in a freshly painted picture.
different.a.bnc.00008858	different	a	different	But that did not mean that the ethos of a Roman catholic state would be in any way diminished, only that the form of political religious power would be  different .
different.a.bnc.00003336	different	a	different	But one feature of a catalogue of an exhibition for a living artist which is  different  is the likely inclusion of reminiscences from colleagues and members of the artist's family, who may make enlightening comments.
different.a.bnc.00034554	different	a	different	The second thing to note is that each offence carries its own scale of penalties, and penalties for one offence are not added on to penalties imposed for a  different  offence.
different.a.bnc.00002845	different	a	different	Robert Paine, writing in the Pelican volume on Japan, had an answer: There can be no doubt that the climate of Japan imposed on her artists a  different  attitude towards art problems.
different.a.bnc.00044399	different	a	different	A  different  and apparently much more specific line of research, however, developed from another of Adrian's electrophysiological experiments.
different.a.bnc.00043611	different	a	different	For this sentence to express something, John must refer to a unique individual, but tall must express a feature that is general, that is, that many  different  things might possess.
different.a.bnc.00002374	different	a	different	They are capable of assessing modern art in its own terms, partly from experience gained through judging work of other periods within quite  different  terms.
different.a.bnc.00044391	different	a	different	By using computers to integrate the information from a large number of  different  viewpoints round the skull, it is possible to visualize the appearance of a slice through the brain and build up a full three-dimensional image.
different.a.bnc.00044656	different	a	different	What you have are groups of people who display superficially similar symptoms for a variety of  different  reasons.
different.a.bnc.00048203	different	a	different	She's a  different  player now, goes to the net more and so on.
different.a.bnc.00039943	different	a	different	Having found both America and Canada limiting for  different  reasons he took the only other course open to him, he went east: to Europe which then meant London.
different.a.bnc.00002774	different	a	different	No prizes can be offered for pointing out that at a given moment there are artists of several generations working and in very  different  ways.
different.a.bnc.00007702	different	a	different	The real work of acting takes on a  different  dimension.
different.a.bnc.00018636	different	a	different	Is this possibility genuinely  different  from the existing regional models?
