id	lemma	partOfSpeech	token	context
ask.v.1	ask	v	ask	I ask because my practice has always been to allow about five minutes grace, then remove it.
ask.v.2	ask	v	asking	When Waldrop's book came out, I wrote him as politely as I could, asking exactly how he had managed to come up with his version of events.
ask.v.3	ask	v	ask	We cannot bring class-action suits, and we cannot ask for attorney's fees when we win a case.
ask.v.4	ask	v	asks	"The enormous legal assistance gap cannot be tolerated by a just society, by a society that asks people to be governed by the rule of law," said Miller. "
ask.v.5	ask	v	ask	Over the years, pro-choicers have continued to invoke medical expertise, particularly by rigging polls to ask whether "a woman and her doctor" (as opposed to a woman alone) should be entrusted with the abortion decision.
ask.v.6	ask	v	asks	Here's how the Candidate Selector works: The site asks your positions on 17 issues, from abortion to defense spending to free trade, and also asks you to choose whether you feel "strongly" or "somewhat strongly" about each of those stands.
ask.v.7	ask	v	ask	If women know they are not going to be supported by welfare checks but are going to have to work, they are apt to ask more of the men in their lives--specifically, they are apt to ask that men contribute by going to work.
ask.v.8	ask	v	ask	Not only can employers ask, they can require it; and if you refuse more than once to do something your employer has asked just because nobody put it in your job description, you might even be denied unemployment benefits when they fire you.
ask.v.9	ask	v	asked	How much would you have to pay somebody to do a job like that, I asked.
ask.v.10	ask	v	asked	He suggested that his situation was different from Bill Clinton's because his affairs were "not with employees on my staff, and I have never been asked to testify under oath about them."
ask.v.11	ask	v	asks	It also asks that the requirement to charge twice as much as USPS for urgent delivery be changed to $2 more than USPS's rate.
ask.v.12	ask	v	asked	The weekly poll on the Web site of the Democratic National Committee asked visitors: "As the nation approaches a new millennium, what are the most important priorities facing our next president?
ask.v.13	ask	v	asked	After four students complained to the administration about her behavior in the classroom last spring, Sandra Flitterman-Lewis was asked to sign a release form requiring her to be medically examined before teaching again this fall.
ask.v.14	ask	v	asked	asked the Wall Street Journal . Probably not, said most analysts, while agreeing that the market was likely to keep lurching in response to changes in economic indicators.
ask.v.15	ask	v	ask	Then make a similar call posing as a reporter from the Washington Post . I needn't ask which call would get returned.
