id	lemma	partOfSpeech	token	context
wait.v.1	wait	v	waiting	(Many observers believe the Chinese won't negotiate with the 61-year-old because they are waiting for him to die.
wait.v.2	wait	v	waiting	Some current nominees have been waiting a considerable time for a Senate Judiciary Committee vote or a final floor vote."
wait.v.3	wait	v	waiting	People who register to vote when they are engaged by a political Web site are more likely to turn out than folks who register while waiting in line at the DMV.
wait.v.4	wait	v	waiting	I'm waiting for the brief accusing Microsoft of running Area 51 and being responsible for the Roswell Incident.
wait.v.5	wait	v	wait	We should not delay the public health and environmental benefits from reduction of these emissions while we wait for consensus to develop on CO2.
wait.v.6	wait	v	waiting	you yeah real good point but i was thinking you know i was while i was waiting for a connection i was just thinking about it i said you know the i don't know if without the Vietnam War if we would have had you know all the hippie era the protestors demonstrations um you know and the the effect that it had on Rock and Roll and you know all of the uh the baby boomers i mean i i think it you know has a profound effect on all of us
wait.v.7	wait	v	wait	If the truck is late, the driver often has to wait until the end of the day to unload, if allowed to do so at all.
wait.v.8	wait	v	waiting	Routing through several nodes, he finds that a message is waiting, has been waiting for quite a while.
wait.v.9	wait	v	wait	well yeah and um actually i'm very interested we are my husband and i are thinking very soon um about having children and i think that i am just um a little bit uh brainwashed or whatever by just thinking that kids are so wonderful and cute and i can't wait to have one and i don't see the real responsibility of it
wait.v.10	wait	v	wait	revolutions and desires for change that's going on over there when that first started going on there was a politician in the US i don't even remember his name but uh he made a a not so widely publicized comment that said just wait awhile and see how much US aid ends up going that way
wait.v.11	wait	v	waiting	Ongoing rate day coverage of traders waiting, guessing, floating rumors, cursing, waiting.
wait.v.12	wait	v	waiting	We welcome scrutiny into our advertising campaign and our organization, but here's one suggestion: How about waiting for some results before deciding this can't possibly work, and how about reading the existing research that shows it can ("The Impact of Anti-Drug Advertising," Johns Hopkins University; "Does Anti-Drug Advertising Work," New York University's Stern School of Business)?
wait.v.13	wait	v	wait	I couldn't wait to get e-mail at my office, because I hate returning phone calls.
wait.v.14	wait	v	waiting	Brief interventions may play an important role in motivating such patients to accept a treatment referral or can be used to establish motivation while waiting for access to publicly funded treatment.
wait.v.15	wait	v	waited	And, uh, he just followed our footprints back to the house and waited until earlier the next morning to uh, come to say anything.
