id	lemma	partOfSpeech	token	context
state.n.1	state	n	states	Neurological studies find that areas of the brain associated with visual imagery and emotion are particularly active during dream states.
state.n.2	state	n	state	The government will pay hospitals not to train doctors . This nationalizes a $400-million New York state subsidy scheme that aims to reduce the surplus of doctors.
state.n.3	state	n	states	In 1729 Benjamin Franklin said a journalist ought to be qualified with an extensive acquaintance with languages, a great easiness and command of writing and relating things clearly and intelligibly, and, in a few words, he should be able to speak of war both by land and sea, be well acquainted with geography, with the history of the time, with the several interests of princes and states, the secrets of courts, and the manners and customs of all nations.
state.n.4	state	n	states	The Times reports that state lawmakers are bearing the brunt of reform: states adopted 1,400 health-care bills last year, and another 16,000 proposals have been introduced for 2000.
state.n.5	state	n	states	The writer does not explore what might happen if, as critics fear, "rogue states develop the capacity to attack our cities," as former U.N. delegate Jeane Kirkpatrick put it.
state.n.6	state	n	states	Western states have already made significant headway in identifying future SO2 reductions necessary to meet air quality goals in the Western Regional Air Partnership ("WRAP") agreement between EPA, Western states, tribes, industry and environmental groups.
state.n.7	state	n	states	Twenty-seven of the fifty states have names taken from the 300 different Indian languages that were spoken on this continent when the first European settlers arrived.
state.n.8	state	n	states	capital punishment needs to stay within the system not all states have them but i you know was that was that the i'm not sure if that was in was that the man that that claimed he was abused or
state.n.9	state	n	state	A suit manufacturer might cut the cloth for the suit in one plant, ship the coat parts to another, and ship the pants parts to yet another plant in another state.
state.n.10	state	n	State	The legitimacy of the State is called into question for the first time in at least 30 years, and the anti-authoritarianism which characterizes the youth rebellion turns into rejection of the State, a refusal to be socialized into American society.
state.n.11	state	n	state	but i had the feeling that no matter who i listened to it wasn't that they weren't telling me the truth i felt that someone was lying to me and there's nothing there still at this state that i can put my finger on and say oh here's where they lied to me
state.n.12	state	n	state	yeah um and and and it also makes it possible you i think before we did any kind of budgeting we we were in a constant state of saying we can't afford anything
state.n.13	state	n	states	But it is just such detailed wiggling by the coupled system that allows discovery of the preadaptation that a particular wiggling of one molecule senses a subset of states of another molecule and is useful for some survival purpose.
state.n.14	state	n	State	No State shall deny to any person within its jurisdiction the equal protection of the laws.
state.n.15	state	n	state	When he died of a stroke in 1992 (too early to see his adored Frank Gifford dragged from an athletic state of grace into the oily tabloid muck), he left behind no significant paper trail other than the memoirs that made his name.
state.n.16	state	n	state	Political theory distinguishes between a hard state (a state with a relentlessly efficient, perhaps authoritarian, central government and a high regard for Darwinian market dynamics) and a soft state (which features messy pluralism and aggravating domestic politics in an environment of at least intermittent concern for the general welfare).
state.n.17	state	n	state	It's also true, of course, that a junior copy editor for the New York Times is obviously more vital to the nation than an elected official of the state of Georgia.
state.n.18	state	n	state	Slowly, that network of activists took over school boards, county commissions, and state political parties.
state.n.19	state	n	state	In the Texas case, reports USAT , the defendant companies have agreed to pay about $15 billion over 25 years to reimburse the state for expenses it incurred in the treatment of smoking-related illnesses.
state.n.20	state	n	state	I just get all flustered when I have to prove it under the stern, judgmental eyes of the state.
state.n.21	state	n	states	There is no federal legislation to this effect so the result is that in states that have parity laws, many people are still not guaranteed comparable coverage for AOD treatment because their insurance plans are governed by federal law under the Employee's Retirement Income Security Act (ERISA).
state.n.22	state	n	state	"If every lawyer in the state of Texas was doing pro bono work, then that still wouldn't be enough," he said.
state.n.23	state	n	states	Unlike the oil states (or Afghanistan, where real economic development has barely begun), the other Arab nations and Pakistan once had seemed headed toward balanced modernization.
state.n.24	state	n	state	"Why would a Jew make a peace treaty with a Jewish state?"
