id	lemma	partOfSpeech	token	context
strong.j.1	strong	j	strong	We like our strong military; indeed, Bob Dole wants it stronger.
strong.j.2	strong	j	strong	Free-trade advocates said they are too strong (they may prompt retaliatory measures from affected countries).
strong.j.3	strong	j	strong	As Prudie's hero Henry David Thoreau observed, "Some circumstantial evidence is very strong, as when you find a trout in the milk."
strong.j.4	strong	j	Strong	How Strong Is the Case Against Linda Tripp?
strong.j.5	strong	j	strong	We have some firms that are strong and some firms that have struggled," she says.
strong.j.6	strong	j	strong	In other words, the Yemenis provided strong evidence connecting the Cole attack to al Qaeda during the second half of November, identifying individual operatives whom the United States knew were part of al Qaeda.
strong.j.7	strong	j	strong	As an eyewitness to some of the events, Blackard provides especially strong corroboration.
strong.j.8	strong	j	strong	Productivity growth remains very strong, at 4.1 percent in the most recent quarter, though the rate of that growth has slowed slightly (very slightly).
strong.j.9	strong	j	strong	We all hear constantly that strong principals play a large part in creating strong schools, but I was struck that Bennett had very little to say about them and their role--except as the last resort for disgruntled parents.
strong.j.10	strong	j	strong	It's a given that strong familial relationships help keep kids on the straight path.
strong.j.11	strong	j	strong	Lay in with a strong will and a strong arm.
strong.j.12	strong	j	strong	Together we can build strong kids, strong families and a strong community.
strong.j.13	strong	j	strong	An inside story at the WP piggybacks on a story in this week's New Republic amassing strong evidence that Tom DeLay, a leading congressional doubter of President Clinton's truthfulness under oath, said under oath in a civil case that he was not an officer of a Texas pest control company even though at about the same time he reported to Congress that he was the company's chairman.
strong.j.14	strong	j	strong	Alternating attempts to indict and extradite Ruiz Massieu have strained U.S.-Mexican relations for years, but the case for indictment has grown so strong, says the NYT , that the Mexican government now supports the proceedings.
strong.j.15	strong	j	strong	In so doing, says Fish, Locke defines religion away, or at least all religions with strong beliefs and problematic forms of public worship.
strong.j.16	strong	j	strong	"The Beast stands for strong, mutually antagonistic governments everywhere," says the press magnate, Lord Copper, in Evelyn Waugh's Scoop . That is a pretty good attitude to have about domestic politics.
strong.j.17	strong	j	strong	I now invite you to continue to support the mission and the message that is so important to building strong kids, strong families and strong communities.
strong.j.18	strong	j	strong	Political Washington is desperate for a Democratic horse race, but a horse race can only happen if Bradley is perceived to be strong, and he will only be perceived to be strong if everyone says he is.
strong.j.19	strong	j	strong	Furthermore, this approach attempted to channel relatively strong outside support for combating terrorism into backing for across-the-board funding increases.
strong.j.20	strong	j	strong	During evolution, after all, having a baby come out of your womb was reasonably strong evidence of kinship.
