id	lemma	partOfSpeech	token	context
number.n.1	number	n	number	The story is accompanied by a box of tips, including: always buckle up (hitting that partition with your head is a leading cause of passenger injuries) and always request a receipt (most receipts give the cab's number).
number.n.2	number	n	number	Although this hypothesis focuses on archaea and E. coli , the model of distant gene transfer as a major contributor of "new" virulence genes to pathogens or potential pathogens has broad applicability to a large number of pathogenic systems.
number.n.3	number	n	number	"I was instrumental in having him rewrite a number of passages, because I said to the people at Greenwood [Publishing Group] that these would destroy his book--they were so beyond the pale in terms of factuality.
number.n.4	number	n	numbers	Because the company wouldn't comply, says the Times , the intruder has released some of the card numbers on the Internet and claims to have used some for himself.
number.n.5	number	n	number	For various technical reasons, it is difficult to exactly compare the number of people (including children) on welfare with the total African-American population (including children) over time.
number.n.6	number	n	numbers	Administrator (by a date set, and on a bid schedule provided, by the Administrator) offers to purchase specified numbers of allowances at specified prices.
number.n.7	number	n	number	After giving an American telephone receptionist my phone number, I added, My local is 222.
number.n.8	number	n	number	A number of years ago I accompanied the architect Jack Diamond on a visit to a building that he had just completed at York University in Toronto.
number.n.9	number	n	number	In the preamble to the rule, HUD states that it may not conduct or sponsor and a person is not required to respond to a collection of information until OMB has issued the control number.
number.n.10	number	n	number	um-hum it because it turns out that Monday night of all of the other nights of the week generally is the one that has the least number of other outside influences going on so we find that it works out quite well and uh we actually look forward to it because we get to spend so little time together otherwise and uh as i said each one of us'll plan uh something for the particular Monday and it can be anything because it is kind of a a church sponsored thing once in a while we'll have a a religious lesson maybe once a month that alternates amongst us but uh we might go to a movie or we might watch something here or play a game or just sit and read or uh or whatever that individual feels that they would like to do that's what we do
number.n.11	number	n	numbers	you bet i really like it the way they do it in the in the military they go by social security numbers and they take the last number and uh so it uh and it it or or just pick a last number social security numbers uh and that's the way they do it and it works really well
number.n.12	number	n	number	is about an hour away from us and they have had an increase a big increase in the number of murders this year too and they said that um the murders have been on the rise where some of the other crimes have either stayed the same or declined but the more violent crimes like rapes and murders have you know increased and i and i think like you said it's a lot linked to the drugs to the drug
number.n.13	number	n	Number	Number of cases in which the USPS was told by the Postal Rate Many years ago, when I was just starting my government career, one of my mentors gave me some advice, in the way of a quote purportedly from one Petronius Arbiter in 210 B.C.
number.n.14	number	n	number	Labor conditions have deteriorated for a number of reasons: the decline in the coverage of collective bargaining agreements with their provisions for regulation of contract shops; the difficulty of policing contributions for health and pension funds from employers in this sector; the increase in immigrants, legal and illegal, concentrated in certain areas; the intense competition from imports; and the sharp drop in employment in apparel in some markets.
number.n.15	number	n	number	delay, excruciating wait while the bike is put on the rack . . . I searched the tall room under the eaves, strewn with papers and junk, searching, searching for the paper with the phone number . . . calling information, getting a number, not clear whether it's the number for an operator or a direct line.
number.n.16	number	n	number	and uh of course it's a nine hundred number which that means they're going to charge you you know fifteen or twenty dollars just to make the phone call
number.n.17	number	n	numbers	yeah this is not a real good time of day because most people listed their home numbers and of course they're gone
number.n.18	number	n	number	The relationship between H-2A workers' unwillingness to complain and their bonded status is illustrated by the fact that when the possibility arose that Florida H-2A sugar industry workers may be able to remain permanently in the United States and work anywhere in the U.S., the number of workers willing to complain to legal services significantly increased.
number.n.19	number	n	number	The number of orbits among configurations that constitute the power set of classes of the 100 spins is vastly larger than the number of static categories.
number.n.20	number	n	number	As long as the Union was fixed at a certain number of slave states and a certain number of free, both sides could calculate the future.
number.n.21	number	n	number	Please include your address and daytime phone number (for confirmation only).
number.n.22	number	n	numbers	Hispanic Americans comprise the largest ethnic group of all, with numbers fast approaching 40 percent of the population.
number.n.23	number	n	number	The building has welcomed a number of world leaders to its meeting rooms, including Sir Winston Churchill and John F. Kennedy.
number.n.24	number	n	number	Then again, considering that 98 percent of all pop songs are gender-neutral (though Pat Buchanan toyed with "You Can't Get a Man With a Gun"), the number seems to have been especially picked for the blithe insouciance it shows toward the Dole campaign's "gender gap."
number.n.25	number	n	number	But few Internet service providers serve rural America, because the current number of consumers is too small for them to make money.
number.n.26	number	n	number	The number of low-income audits also nearly doubled after 1990, when the IRS began categorizing nonfilers about whom it lacked information in the $25,000-and-under category.
number.n.27	number	n	number	Has this subsidy contributed to an increase in the number of years it takes to graduate?
number.n.28	number	n	number	But why is that number growing at all?
number.n.29	number	n	number	The same logic applies to increasing returns on the demand side: As a manufacturer, if I know that a typical customer's choice of browser depends both on the price and on the number of other people using that browser, I will initially make my own browser cheap--maybe even free--so as to build market share.
number.n.30	number	n	number	USA Today goes with the latest in a string of encouraging crime stories: the paper's own survey of 1998 homicide statistics shows that the total number of murders in America's ten largest cities is down 12 percent compared to 1997.
number.n.31	number	n	numbers	There, in an elevated style more common to Roman public address than to newspaperese, was the argument for voting one's conscience rather than one's poll numbers: "Greatness and transcendence are why people join political parties, and why they go to war.
number.n.32	number	n	number	The piece posed a number of issues that cried out for further attention.
number.n.33	number	n	number	1) total amount of research to investigate the modality, 2) methodological quality of research, 3) number of studies demonstrating improved outcomes, and 4) cost effectiveness.
number.n.34	number	n	number	Khallad added that because pledging bayat was secret, the number of al Qaeda members can only be speculative.
number.n.36	number	n	numbers	Maybe they were spooked by Primus' statistical calculations showing some deterioration in the income of the bottom 10 percent of single parents, even though those numbers have been looking a lot better recently.
number.n.37	number	n	number	A stock listed on only one exchange during the day--say, the New York Stock Exchange or the Nasdaq--can be traded after-hours on any number of ECNs.
number.n.38	number	n	numbers	Solid numbers are hard to come by but, examples the Journal , the AMA recently contributed to Ted Kennedy for the first time ever.
number.n.39	number	n	number	While Reuters reported from Moscow that 10 percent of Russians may be infected with AIDS within the next five years, Japan's leading newspaper, Asahi Shimbun , said Wednesday that while AIDS is declining in other developed countries, the number of new cases in Japan is on the rise.
number.n.40	number	n	number	The repeatability or precision of toxicity tests is also a function of the number of test organisms used at each toxicant concentration.
number.n.41	number	n	number	In short, the perception of these terms is culture-dependent, and culture is akin to language in the sense that while a large number of people might be said to speak a language, we know that it is made up of a larger number of dialects which, in turn, are made up of a still larger number of idiolects.
number.n.42	number	n	number	Based on the number and complexity of the comments, APHIS decided to issue only a small portion of the proposed rule at this time and to review and reanalyze the other portions of the rule before issuing them as final.
number.n.43	number	n	number	um i say that uh health care is probably definitely number one though uh you can wind up just losing you know losing all your salary can't can't even begin to pay for what you can wind up losing you know with a major illness or something
number.n.44	number	n	number	right a certain number of appeals and then that's it don't stretch it out for years get it over with and get it done
number.n.45	number	n	number	i mean we all know that that's not necessarily true but i i think that there are there are advantages to having seniority and uh turnover or not having a complete turnover every some small number of years i think there are i mean there's an institutional memory that you need to maintain
number.n.46	number	n	number	yeah that it is and it is hard to do i mean it is easier to do at home even the walking which i can do right here the idea of getting of getting in a car to drive to a a place which a number of my friends keep suggesting just exhausts me because i drive so much in my job and i just am not going to get back in the car to drive somewhere you know and there are all these people there and you have to put on these clothes and and i uh so i'd much rather do it here now my daughter has a
number.n.47	number	n	number	the best the best you get on jury selection is is if you've got to pick a jury of twelve people you get a certain number of what they call preemptory strikes and a certain number of of um each side gets those and and then there are are strikes you know an unlimited number of strikes for what they call for cause
number.n.48	number	n	number	i think it was uh particularly in light of recent events a really unfortunate mistake Communism was self destructing even then and uh the history of Vietnam which has been uh represented in a number of different commentaries and documentaries one on the public broadcasting system uh it seems that it just didn't have to happen and i think uh its a valuable uh if painful lesson for this country
number.n.49	number	n	number	For a number of years, some mailers have pursued the idea of establishing customized postal rates and/or terms of service through negotiation with the Postal Service.
number.n.50	number	n	number	a small number of assaults uh well if we have one murder a year
