id	lemma	partOfSpeech	token	context
sight.n.1	sight	n	sight	An article profiles Leon Wieseltier, the crack literary editor of the New Republic . Wieseltier virtually dropped out of sight after hobnobbing with the literati elite during his mid-'80s "summit of punditry."
sight.n.2	sight	n	sights	which was fun just to get to kind of walk around and see the sights down there and do that kind of thing
sight.n.4	sight	n	sights	There, some of the world's most pretentious and absurd architecture beckons visitors from around the world to see such sights as in-house acrobats or an art museum, a battle of full-size pirate ships, or to tour an ersatz Paris, Egypt or other improbable replication.
sight.n.5	sight	n	sight	When an organ seller is trying to decide whether the terrible dangers from kidney removal or the certain loss of sight from surrendering an eye is worth a sudden cash infusion, his effort to identify his best interest will be confused by how the question is framed, by difficulties sorting out the statistical risks, by the vision of all that money, and many other factors.
sight.n.6	sight	n	sights	By this, I mean neither impoverished conditions nor excessive bombardment with sights and sounds but input that the child can absorb, as indicated by his or her approach, interest, and concentration.
sight.n.7	sight	n	sight	A word of warning to those desperately seeking non-holiday fare: Although there's not an Xmas tree or menorah in sight, steer clear of NBC's retelling of Shakespeare's The Tempest (Sun.
sight.n.8	sight	n	sights	During the '60s, when my family took a vacation to see the East Coast sights, we stayed at the Fairfax, because (we were told) it was the cheapest hotel in town.
sight.n.9	sight	n	sight	One unexpected sight, in a remote valley near Cala Llonga, is a civilized, meticulously tended, exquisitely green golf course.
sight.n.10	sight	n	sight	The altar where the blood will be spilled is out of sight, behind a wall where a loudspeaker screeches hymns to Kali.
sight.n.11	sight	n	sights	The Enquirer provides details about how Monica set her sights on her man, went after him despite all obstacles, and how and where she consummated the affair with ...
sight.n.12	sight	n	sights	Take Larry, who when brought as an infant to a highly stimulating laboratory playroom, was agitated and upset by all the new sights, sounds, and people.
sight.n.13	sight	n	sight	yeah we get you know reports from the police will give us warnings about this neighborhood and some activity that's occurring there and then you know occasionally it works its way around to our neighborhood and we have to keep a real close rein on them won't even let them go out of our sight for a while and then
sight.n.15	sight	n	sight	Some might argue that because the United States lagged in recognizing equal legal rights for women, the mood of 1863 would have been hostile to recognizing that women as well as men were equal in the sight of God.
sight.n.16	sight	n	sight	Children who are repeatedly criticized, shouted at, and slapped are likely to display the unacceptable response again as soon as adults are out of sight and they can get away with it.
sight.n.17	sight	n	sight	Living in Afghanistan, interacting constantly with the Taliban, the al Qaeda leaders would never lose sight of the situation in that country.
sight.n.18	sight	n	sight	Thus, I would urge the Congress to not lose sight of the important balance between mandates, requests, and research and development in the mix of GAO's work supporting the Congress.
sight.n.19	sight	n	sight	well i could do it now but she gets lonely in the morning and i feel better um she has a crazy father out there somewhere that i just don't let her out of my sight so
sight.n.20	sight	n	sight	Mrs. Dalloway and Septimus never meet, but Gorris brings them in sight of each other at the start of the film; and news of Septimus' fate triggers Mrs. Dalloway's tortured and then euphoric final musings--the epiphany that brings the movie to its poetic conclusion.
sight.n.21	sight	n	sight	Two-piece bathing suits are so much a part of wholesome American life that the world's wives and daughters have been wearing them for decades, and navels of all ages are a customary sight.
sight.n.22	sight	n	sight	Under snow, its classical shapes--domes and pediments, octagons and pyramids--are linked in a geometry that remains generally pure, thanks to the speed with which government shuts down at the first sight of falling flakes."
sight.n.23	sight	n	sight	i think they will as long as they can but the problem obviously is the cost of health care as you know it's just going completely out of sight
sight.n.24	sight	n	sight	In 1975, this, and not a celebrity or a promotional motive anywhere in sight (do I need to point out that William Y is an invention of the author's?)
sight.n.25	sight	n	sight	The word popped out: Fallovian . Could I have been witnessing the birth of an eponym--as wondrous a sight in its way as our recent glimpse of an island-in-the-making off the coast of Hawaii?
