id	lemma	partOfSpeech	token	context
read.v.1	read	v	read	The Indonesian press and Singapore's Straits Times discount the rumors as utterly false, citing the deplorable readiness of people to believe everything they read on the Internet.
read.v.2	read	v	reading	And I was encouraged by the few occasions on which the authors elaborate and suggest projects such as analyzing a 1945 newspaper report about the Yalta conference, reading immigrant diaries, staging a re-enactment of the surrender at Appomattox, having a visitor come in to talk about life in the Depression.
read.v.3	read	v	reading	But census data reveal that time devoted to reading books continues to expand, with the average person spending more than 100 hours a year with the printed word.
read.v.4	read	v	read	While I have read some of your work and even used it in classes, clearly I should have got to know you before this week.
read.v.5	read	v	read	No, on second thought, didn't I read that same story in the Times in 1979?
read.v.6	read	v	read	She certainly didn't deserve the Pulitzer (even though it's a bogus award, an example of the media elite slapping each other on the back), especially when Nat Hentoff, now one of the few reasons to read the Voice , was her competitor.
read.v.7	read	v	reading	This book (the possession of which may become a substitute for reading it, to paraphrase Anthony Burgess in The New York Times Book Review ) should appeal to anyone over the age of thirty who has developed a sufficiently mature sense of reality to become a cynic.
read.v.8	read	v	reads	had a few things she had to get fixed on it and we just so now you just pressed pressed a couple of the buttons up in the uh the air conditioning panel i think and uh and it reads out codes that way
read.v.9	read	v	reading	generally i get most of my news from uh the radio and then sometimes um if i've got time i'll be reading the front page of the newspaper and just fall off on the articles that i like
read.v.10	read	v	read	my mother's fairly well read she didn't actually know about this local case it was of rather small import uh but i would agree with you that that not necessarily does somebody have to be ignorant not to know but they'd have to have met
read.v.11	read	v	read	yeah and i can i can understand that i think i think about uh you know and they say that now uh a lot of the new cars for instance i read an article not long ago about this uh uh new Honda that they had come out that they're identifying on the car those uh particular different parts uh uh that are plastic so that that whenever the car is worn out and dismantled uh they can recycle the the plastic components
read.v.12	read	v	reads	A business card taped below the peephole reads
read.v.13	read	v	read	so you know people who don't readily read the newspapers in our town or whatever it's not many from the local communities but uh
read.v.14	read	v	read	i think they can read the price tag on the cans of food
read.v.15	read	v	read	but i i did read the book i have do have i have six years of college so i did read and study about the Vietnam War though so i am pretty familiar you know i'm more familiar with it than
read.v.16	read	v	read	Last week, William F. Buckley Jr. read a Slate "Book Club" about his latest novel, The Redhunter: A Novel Based on the Life and Times of Senator Joe McCarthy , and decided enough was enough.
read.v.17	read	v	read	Steve had carefully read about sixty papers on regulated genes with K = known inputs, where the data was available at the level of actual binding of trans acting factors to cis sites and the turning on of transcription.
read.v.18	read	v	read	Furthermore, as Justice Harlan pointed out, the Court had read the new rights established by the Reconstruction Amendments as though they were just like other restrictions imposed on state governments, for example, the prohibitions against the states enacting bills of attainder, impairing the obligations of contract, or granting titles of nobility.
read.v.19	read	v	reads	The sign reads: "National Gaming Impact Study Commission."
read.v.20	read	v	reads	The quote he keeps using as his smoking gun--"this ordeal as a whole may be over"--is wrested from a fuller sentence, which reads, "Perhaps this is why so many of us find it hard to accept that this ordeal as a whole may be over."
read.v.21	read	v	read	(Click to read the full text of the resolution.)
read.v.22	read	v	read	(For more on the hack ethic, click to read Gladwell's exegesis.)
read.v.23	read	v	read	In any case, offering an assessment of an encyclopedia without having read it is like assessing an issue of Slate that hasn't been posted.
read.v.24	read	v	read	There are lots of brand new ones in the sideboard in the dining room, and I would have thought you'd find it inconvenient to read or wash dishes in the dark.
read.v.25	read	v	read	Your assignment--if you should decide to accept it--is to buy the book and read it cover to cover in preparation for asking questions.
read.v.26	read	v	read	And you can read about Bird's punctuality fetish .
read.v.27	read	v	read	If you're interested, you can read my response in the November-December issue of Kuttner's journal.
read.v.28	read	v	reading	93 Compared to infrequent users, children highly involved in video games spend less time productively, more often watching cartoons and less often reading.
read.v.29	read	v	read	Watching a C-SPAN replay last night of President Clinton's press conference (click here to watch it; click here to read a transcript), Chatterbox was struck by the chief executive's comfort and ease.
read.v.30	read	v	read	But do I read you correctly to say that you long for the mores of the year 1910, before the progressive income tax turned us red-blooded Americans into collectivist mice at the mercy of the Big State?
read.v.31	read	v	read	The most disturbing thing "Today's Papers" has read on the job yet was in Sunday's LAT , which published an interview with a teenaged boy, David Cash, who apparently learned right after the fact that his friend had murdered a seven-year-old girl in a Las Vegas casino bathroom and yet did nothing.
read.v.32	read	v	read	The White House, to be sure, read the political signals coming from Capitol Hill, but the Congress largely acceded to the executive branch's funding requests.
