id	lemma	partOfSpeech	token	context
lose.v.1	lose	v	lost	Uh, then the Depression came and apparently everyone lost all their money.
lose.v.2	lose	v	lose	any time they call me in but i still have to figure out if i work too many days then i lose all my state aid and if i don't work enough days then i don't get enough to meet the bills and it's like a juggling act every single month
lose.v.3	lose	v	lost	All the other critics in America--"our official arbiters of culture"--"have lost the gift of being able to comprehend a work of art that does not reflect their immediate experience; they have become afraid of genuine art."
lose.v.4	lose	v	lost	Hard-hearted minds relent and rigor's tears abound,And envy strangely rues his end, in who no fault was found.Knowledge her light hath lost, valor hath slain her knight,Sidney is dead, dead is my friend, dead is the world's delight.
lose.v.5	lose	v	lose	i prefer my my performers to be pretty sober you know just uh just so that you know that if they're jamming you know that they don't just lose themselves and you know go into la la land
lose.v.6	lose	v	lose	Yet, if our liberties are curtailed, we lose the values that we are struggling to defend.
lose.v.7	lose	v	lost	At last month's convention in Dearborn, Perot lost control of the party and thus the implied power to be or choose its nominee.
lose.v.8	lose	v	losing	"I have a deadbeat father I have never met," Nussle said on the House floor in 1995, arguing for a provision to compel states to get tougher on child-support collection or risk losing federal aid.
lose.v.9	lose	v	losing	i think i think though that movies are losing their luster kind of i think movies are losing their attractiveness just to a lot of people just i think i don't know because of the cost and i think it it's just losing its originality
lose.v.10	lose	v	lose	uh you got me i you know i think that there's coming to a point real soon when ticket prices are going to be to the point where the average fan can't go and once you do that you lose everything i mean
lose.v.11	lose	v	lose	Because large states were more powerful, they also had more to lose.
lose.v.12	lose	v	lost	The Learjet carrying him and five others lost contact with air-traffic controllers shortly after takeoff from Orlando, Fla.
lose.v.13	lose	v	lose	You have been an important and upstanding publication, and I would hate to lose you now.
lose.v.14	lose	v	lose	You are getting older by the minute and one day soon you will be looking at men as old as Bob Dole (see the "" column), and it may be your husband, so don't lose the information, dearie.
lose.v.15	lose	v	lost	oh oh yeah the one she the first one she quit they'd lost his medicine
lose.v.16	lose	v	lost	No matter how carefully Starr's sympathizers explained the distinction between the two cases--and even the superior gravity of the criminal case over the civil case--journalists fell back on the Clintonite spin that, as Tom Brokaw put it, Starr's probe "grew out of the Paula Jones case" and had therefore lost its viability.
lose.v.17	lose	v	lose	If politicians took to telling the truth, journalists would lose their role as interpreters.
lose.v.18	lose	v	lost	Its stock market has lost more than half its value this year, including a 10 percent drop Monday before rallying Tuesday.
lose.v.19	lose	v	losing	Recent Wyncom flops: Spending weeks and losing half a million dollars getting just 5,250 people into Denver's big basketball arena to hear Tom Peters, and losing $700,000 when only 2,700 folks showed up at the Georgia Dome to hear Covey and Colin Powell.
lose.v.20	lose	v	lose	In the cyberfuture, all the middlemen will lose their jobs.
lose.v.21	lose	v	losing	For both these to be true, rich countries would have to be losing jobs and productive capacity and getting richer at the same time, even as developing countries would be taking away jobs, growing faster, and yet getting poorer.
lose.v.22	lose	v	lost	When one side of a flint used in a flintlock weapon had worn away, it lost proper contact with the frizzen and caused inadequate sparking to set off the powder charge.
lose.v.23	lose	v	lost	By 1978, Radio City had lost its glamour, and the owners of Rockefeller Center decided to demolish the aging hall.
lose.v.24	lose	v	lost	Imagine we found 170,076 such instances (a national projection based on a sample) and estimated that, cumulatively, over $500 million was lost to the states.
lose.v.25	lose	v	lose	gets pretty boring or like uh you know lifting weights because i can't count more than to three before i get bored and then i lose track of the repetitions but uh the uh you know the the gym's open say for volleyball on every Wednesday so so that's regular
lose.v.26	lose	v	lose	It could easily lose business, even if it is the low-cost carrier.
lose.v.27	lose	v	lost	Yet some users of this software have been able to decrease the amount of cloth lost in this way by as much as 2 percent.
lose.v.28	lose	v	losing	Many children are losing their parents before learning how to farm, to prepare food and to fend for themselves.
lose.v.29	lose	v	losing	military factions that would oppose each other and and they would vie for leadership and uh the people who are well off there the middle upper class if there is such a thing uh they would probably be at a disadvantage losing possibility of losing their uh their assets or wealth
lose.v.30	lose	v	lose	, NBC] had four witnesses giving corroborating testimony--citizens with nothing to gain [italics mine] and possibly much to lose by going public," Rabinowitz wrote on Feb. 19.
lose.v.31	lose	v	lost	Faced with the fact that your side in fact lost the election, you simply declare Blair an honorary Tory.
lose.v.32	lose	v	lost	The LAT tells of Russians lining up at banks nationwide to withdraw their savings, and captures the spirit on those sidewalks with quotes from a 76-year-old widow who says she lost her life savings once before during a currency reform.
lose.v.33	lose	v	lost	Another limitation of this seminal study is that 50% of participants were lost to follow-up at 12 months.
lose.v.34	lose	v	lost	Critics also point out that Wolf has defended former Surgeon General Joycelyn Elders, who lost her job in part for advocating similar ideas about masturbation.
lose.v.35	lose	v	losing	Analysts predict that 1) peace talks will suffer in the short term because Netanyahu must rely increasingly on right-wing support, but 2) to avoid losing a parliamentary vote of confidence, Netanyahu will soon call new elections, which he might well lose.
lose.v.36	lose	v	lost	Mexico's ruling party lost control of the national assembly for the first time in 68 years.
lose.v.37	lose	v	loses	Also after 1987, the exchanges agreed to curtail computer trading of futures when the Dow Jones industrial average either gains or loses 50 points.
lose.v.38	lose	v	losing	Not that there's anything wrong with losing money: Isn't the current (Dec.
lose.v.39	lose	v	lost	The stress pattern of a place-name expression can sometimes differentiate between two meanings, but this clue can be lost if names alternate between languages.
lose.v.40	lose	v	lose	and and that's what what really upsets a lot of people who are you know very straight and probably wouldn't ever think of using drugs but the idea that they could lose their jobs
lose.v.41	lose	v	lost	All mothers who have lost children identify with her, and feel her pain.
lose.v.42	lose	v	lose	now i mean you want to lose your hearing
lose.v.43	lose	v	losing	um it really wasn't my choice though i mean i ended up having i ended up actually losing my credit cards um i ended up going through a credit counseling service
lose.v.44	lose	v	losing	because i felt that i was losing something or taking something away from me
lose.v.45	lose	v	lost	Sadly, my copy of the "illustrated edition" was lost in a college dorm long ago and far away.
lose.v.46	lose	v	lost	Of course, after the fact, you could say the invitation was ex post fucto --lost in the mail.
lose.v.47	lose	v	lost	Now it has lost its distinctively German character to become a cosmopolitan restaurant row offering Vietnamese, Japanese, Scandinavian, Italian, and French cuisine.
lose.v.48	lose	v	lost	By that time, the employee is long gone, lost to some little start-up about to have an initial public offering.
lose.v.49	lose	v	losing	One solution is for the bookstores to own the Web sites; B & N won't mind losing business to one of its own subsidiaries.
lose.v.50	lose	v	lost	Finally, you really lost me on that last curve--about Gingrichian buck-raking, and rich old Eleanor inveighing against the greed of others.
lose.v.51	lose	v	lost	Real Quiet lost the Belmont Stakes to Victory Gallop by a nose.
lose.v.52	lose	v	lost	Among those fooled by the Six Degrees of Separation -style setup was Harvard sociologist William Julius Wilson, who lost $175.
lose.v.53	lose	v	losing	AT&T--though it is gradually losing market share and lives in fear of Baby Bells entering the market--still dominates long distance.
lose.v.54	lose	v	lost	7. "A company called Plains All American Pipelines said it had lost $160 million on 'unauthorized' transactions by a trader for the company.
lose.v.55	lose	v	lose	Between 1975 and 2000, the Third World will lose 40 percent of its remaining forest cover.
lose.v.56	lose	v	lost	McKim, much to his chagrin, not only lost but placed third behind Howard & Cauldwell.
lose.v.57	lose	v	lose	i need to lose fifty pounds you know i need to lose at least twenty you know but uh you know it's it's just uh i'm busy i'm doing a lot of traveling and uh it it creates a problem uh you know when you're on the road what sort of uh uh what what what other programs other than say running have you have you ever done anything at all
lose.v.58	lose	v	lost	Thus, profitable volume would be lost.
lose.v.59	lose	v	lose	In a dream you may stray and lose your way home.
lose.v.60	lose	v	lose	and realized that that was the first time in my life i had seen trees lose their leaves and uh and course when spring and everything came out again
lose.v.61	lose	v	lost	The losses continued in 1999--from January to the end of September Tiger lost 23 percent, compared with a gain of 5 percent for the average S&P 500 stock.
lose.v.62	lose	v	lose	I find it upsetting that someone could so quickly lose faith in the possibility of technological innovation in an industry that has been around for less than six years.
lose.v.63	lose	v	lose	These inside-the-Beltway issues and their small, but vocal, constituencies make this election Bill Clinton's to lose.
lose.v.64	lose	v	lost	Zeuxis tried to lift the curtain, and lost the contest.
lose.v.65	lose	v	lose	This might mean, in the short term, that cities such as Pittsburgh or Montreal would lose franchises.
lose.v.66	lose	v	lose	It's a picture of a needy young woman, one whom any older man with something to lose--or half a brain--would have the sense to avoid.
lose.v.67	lose	v	lost	If we lost the key, that would be that.
lose.v.68	lose	v	lose	I guess I should have expected that this comment would generate letters along the lines of, "Well, if you lose your comfortable position as an American professor you can always find another job--as long as you are 12 years old and willing to work for 40 cents an hour."
lose.v.69	lose	v	lost	So the question is, has [that ability] been lost in humans?
lose.v.70	lose	v	lose	And from time to time, toddlers lose control.
lose.v.71	lose	v	lose	The Times cites experts who believe that barring a medical miracle, Botswana and Zimbabwe will lose up to a fifth of their populations to AIDS in the next decade.
lose.v.72	lose	v	lose	Many young surgeons become interested in alcohol interventions and write grants, but when their studies are not funded, they lose interest and move on to other subjects.
lose.v.73	lose	v	lose	The museum's defenders argued that there's nothing to lose in trying.
lose.v.74	lose	v	lose	Robert Redford's annual independent-film festival continues to lose its luster.
lose.v.75	lose	v	lost	Tennis prodigy Venus Williams lost in the finals of the U.S.
lose.v.76	lose	v	lose	But I think they would lose market share if they did not allow users to disable the system with a click of the mouse, which I take it, they do."
lose.v.77	lose	v	lost	With his anti-war father, Al Gore Sr., fighting a bitter re-election battle in Tennessee, Gore Jr's orders for Vietnam were mysteriously delayed for more than a year, until after his father had lost the election in November 1970.
lose.v.79	lose	v	lost	But if people are not humble enough to doubt their own control over the vast complexities of the language and if, to boot, they are ignorant of the content of even the most basic available resources, then any hope of their learning how literate people express themselves is lost.
lose.v.80	lose	v	lost	yes um well that's what we have had here in Dallas for oh for the past year we lost so many people due to crime this past year so what do you think is the solution to any of this
lose.v.81	lose	v	losing	yes well i know uh that's been the concern in Europe they hadn't uh we have friends in Germany and uh have family that live near the Black Forest area and large areas of the forest are being hurt from the cars because when we switched uh switched to the unleaded gas and and had the emission control advice uh devices required on the cars uh that's something that Europe didn't do right away and now they're doing that and i guess it started in the last few years because they have found that in that particular part of the country that's the only pollution that's been there it's not an area that is industry but they were losing a lot of uh trees and a lot of
lose.v.82	lose	v	losing	um-hum um-hum yeah yeah in fact my my uh my grandmother does that a lot because she's blind or what she's losing her sight or whatever but yeah that of in i can imagine you know if you're driving cross country
lose.v.83	lose	v	lost	Intuitively, phase information can get lost more readily when two lumpy parts of a geometry couple than when two flat parts of a geometry couple.
lose.v.84	lose	v	lost	Newspapers that once policed corporations have been absorbed by the same corporations and have lost the taste for bare-fisted combat.
lose.v.85	lose	v	lost	(If the aqueduct were above ground, the water would almost all be lost through evaporation.)
lose.v.86	lose	v	loses	If imposing micropayments or other explicit user fees loses you many users, you'll decide to stay free and collect your micropayments through ads.
lose.v.87	lose	v	losing	A University of Michigan-educated labor lawyer, Hoffa takes over as President of the International Brotherhood of Teamsters two years after losing an election that was eventually overturned because of his opponent's corrupt campaign financing.
lose.v.88	lose	v	lose	The only thing still standing is the entitlements middle-class voters feared they might lose to visionaries on the right or the left.
lose.v.89	lose	v	lost	Having lost top executives in recent months, Gates and Ballmer sought to convey that Microsoft has divisional leaders who can work together to beat AOL and other rivals.
lose.v.90	lose	v	loses	He'll get the credit if it passes and Clinton will get the blame if it loses.
lose.v.91	lose	v	lose	The subtle theory is that Weld knows he will lose but is positioning himself for a GOP presidential run in 2000.
lose.v.92	lose	v	lost	An article deplores modern libraries for buying too many expensive, hard-to-use computers and too few books: "Unique, anomalous, unconventional knowledge" is being lost.
lose.v.93	lose	v	lose	John, lose the happy pills--or change pharmacists.
lose.v.94	lose	v	lose	If Hanks had been forced to deal with his own incipient racism, that would have made his "life sentence" seem fitting--he had to lose his mortality to gain second sight--and the movie would have a real wallop.
lose.v.95	lose	v	lost	Not coincidentally, perhaps, the two weekly recaps that went unwritten would have had to detail a stock market tumbling steadily downhill, a Net sector in which investors appeared to have lost all faith, and interest rates that had reached a two-year high.
lose.v.96	lose	v	lost	This was an age of exiguous technicality in English as well as Latin and French, an age when the failure of a syllable lost the cause.
lose.v.97	lose	v	lose	Certain "eligible individuals" who lose group health insurance coverage are assured availability of coverage in the individual market, on a guaranteed issue basis, without preexisting condition exclusions.
lose.v.98	lose	v	lose	you go you know three or four hours before the game you go set up we set a table up we do some cooking some barbecueing have a few drinks and then go in and see the game and see the Patriots lose and then go home and eat drink some more
lose.v.99	lose	v	losing	Retailers no longer needed to carry such large inventories, the risk of losing shipments was reduced, and delivery was more certain on a specified schedule.
