id	lemma	partOfSpeech	token	context
br-e11.snum=49	add	v	add	Fry in butter a small minced onion, rub with a tablespoonful of flour, add half a cup of cream, six beaten eggs, pepper, celery salt, a teaspoonful of minced chives, a dash of cayenne, and a pinch of nutmeg.
br-e15.snum=18	add	v	adding	Check thickness of clay and build up thin areas by moistening surface with a little water and adding small pieces of clay.
br-g06.snum=56	add	v	added	"Then I return to the United States for engagements at the Hollywood Bowl and in Philadelphia'', he added .
br-a23.snum=15	add	v	added	The conversion to magnetic tape is not yet completed, he said, and added Field's long service in state government and welfare employ gave him familiarity with the welfare program.
br-e27.snum=79	add	v	add	To include in feed, add phenothiazine to supply 0.5 to 1 gram per sheep daily.
br-j17.snum=10	add	v	added	It should be added that in man neocortical hypothalamic interrelations probably play a role in the fusion of emotional processes with those underlying perception, memory, imagination, and creativity.
br-b05.snum=34	add	v	added	The result: $ 1.1 billion added to the deficit in the federal budget.
br-a31.snum=16	add	v	added	Al has added some sidemen to the act which makes for a smoother operation but it's substantially the same format heard last spring.
br-p07.snum=70	add	v	added	He paused, then added , "Everything on a ship is a weapon.
br-j06.snum=65	add	v	added	When typical reaction cells to which 0.3 of an atmosphere of oxygen had been added were illuminated, chlorine and phosgene were produced.
br-k28.snum=130	add	v	added	Leave that fool picture out'', she added sharply.
br-g06.snum=87	add	v	added	Since attack serves to stimulate interest in broadcasts, I added to my opening statement a sentence in which I claimed that German youth seemed to lack the enthusiasm which is a necessary ingredient of anger, and might be classified as uninterested and bored rather than angry.
br-f44.snum=29	add	v	add	If we add to these contacts with friendly members the "contacts with an organization of the church"( 11.2 per cent of the cases ), then a substantial two thirds of all recruitment is through friendly contact.
br-a04.snum=13	add	v	add	But he hastened to add that, if United States policies were not always clear, despite Mr. Rusk's analysis of the various global danger points and setbacks for the West, this may merely mean the new administration has not yet firmly fixed its policy.
br-c12.snum=60	add	v	adds	The fact that Sloan was an extrovert, concerned primarily with what he saw, adds greatly to the value of his art as a human chronicle.
br-e14.snum=99	add	v	Add	 Add remaining ingredients and bring to a boil.
